Word	zh-CN
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	土豚
aback	吓了一跳
abacus	算盘
abalone	鲍鱼
abandon	放弃
abandoned	弃
abandonment	放弃
abashed	愧
abate	杀
abatement	减排
abba	ABBA
abbey	僧院
abbot	方丈
abbreviate	简略
abbreviation	缩写
abdomen	腹部
abdominal	腹部的
abduct	拐
abduction	绑架
aberrant	异常
aberration	像差
abeyance	暂时保留
abhor	痛恨
abhorrence	深恶痛绝
abhorrent	可恶
abide	遵守
abiding	守法
ability	能力
abject	卑劣
ablation	切除
ablaze	炽盛
able	能够
abnormal	不正常
abnormality	异常
aboard	船上
abode	住所
abolish	废除
abolition	废除
abominable	可恶
abominate	鄙弃
abomination	厌恶
aboriginal	土著
abort	退出
abortion	流产
abortive	未遂
abound	盛产
abovementioned	上述
abracadabra	胡言乱语
abrasion	磨损
abrasive	磨料
abreast	并肩
abroad	国外
abrogate	废除
abrupt	突兀
abruptly	突然
abscess	脓肿
absence	缺席
absent	缺席
absentee	缺席者
absenteeism	旷工
absinthe	苦艾酒
absolute	绝对
absolution	赦免
absolve	开脱
absorb	吸收
absorbed	吸收
absorbent	吸水
absorbing	吸收
absorption	吸收
abstain	避免
abstention	弃权
abstinence	节制
abstract	抽象
abstraction	抽象化
absurd	荒诞
absurdity	荒谬
abundance	丰富
abundant	丰富
abuse	滥用
abused	滥用
abusive	滥用的
abutment	邻接
aby	NO TRANSLATION
abysmal	深
abyss	深渊
academic	学术的
academy	学院
accede	加入
accelerant	促进剂
accelerate	加速
accelerated	加速
acceleration	促进
accelerator	加速器
accent	口音
accentuate	加重
accept	接受
acceptable	接受
acceptance	验收
acceptances	承兑汇票
access	访问
accessible	无障碍
accession	加入
accessory	附件
accident	事故
accidental	偶然
accidentally	偶然
acclaim	欢呼
accolade	荣誉
accommodate	容纳
accommodation	住所
accompaniment	伴奏
accompany	陪
accompanying	随同
accomplice	同案犯
accomplish	完成
accomplished	完成
accomplishment	成就
accord	符合
accordance	按照
accordion	手风琴
account	帐户
accountability	问责
accountable	问责
accountant	会计
accounting	会计
accounts	账户
accredited	认可
accretion	吸积
accrue	累积
accueil	NO TRANSLATION
accumulate	积累
accumulation	积累
accuracy	准确性
accurate	准确
accursed	诅咒
accusation	指控
accusative	宾格
accuse	告
accused	被告
accuser	原告
accusing	指责
accustomed	惯常的
ace	高手
acetic	醋
acetylene	乙炔
ache	疼痛
achieve	实现
achieved	实现
achievement	成就
aching	疼痛
achy	微弱
acid	酸
acidity	酸度
acknowledge	确认
acknowledged	承认
acknowledgement	承认
acknowledgment	承认
acme	顶点
acne	粉刺
acorn	橡子
acoustic	声
acoustics	声学
acquaint	认识
acquaintance	熟人
acquainted	熟悉
acquiescence	默认
acquire	获得
acquiring	收购
acquisition	获得
acquisitions	收购
acquit	开释
acquittal	开释
acre	英亩
acreage	面积
acres	亩
acrobat	杂技演员
acrylic	丙烯酸树脂
act	法案
acting	演戏
action	行动
action figure	行动图
actionable	诉
activate	启用
activation	激活
active	活性
activist	活动家
activity	活动
actor	演员
actress	演员
actual	实际
actuality	现实
actuary	精算师
acuity	敏锐
acumen	头脑
acupuncture	针刺
acute	急性
acutely	急性
ad	广告
adage	谚语
adamant	坚决
adapt	适应
adaptable	适应性强
adaptation	适应
add	加
added	添加
addendum	附录
adder	加法器
addict	瘾君子
addicted	上瘾
addiction	瘾
addictive	上瘾
addition	加成
additional	额外
additive	添加剂
address	地址
addressee	收件人
addresses	地址
adept	拿手
adequacy	充足
adequate	充足
adhere	附着
adherence	附着
adherent	追随者
adhering	秉承
adhesion	粘着
adhesive	胶粘剂
adieu	再见
adipose	脂肪
adjacency	邻接
adjacent	邻
adjective	形容词
adjoining	隔壁的
adjourn	休会
adjournment	休会
adjudicate	裁定
adjudication	裁决
adjunct	附件
adjust	调整
adjuster	调整
adjustment	调整
adjuvant	辅助
admin	管理
administer	管理
administration	行政
administrative	行政的
administrator	管理员
admirable	令人钦佩
admiral	上将
admiralty	金钟
admiration	钦佩
admire	欣赏
admired	尊敬的
admirer	爱慕者
admiring	欣赏
admissibility	受理
admissible	受理
admission	入场
admit	承认
admittance	准入
admitted	承认
admitting	承认
admixture	混合物
admonition	警告
ado	忙乱
adobe	土砖
adolescence	青春期
adolescent	青少年
adopt	采用
adoption	采用
adoptive	养
adorable	可爱的
adoration	崇拜
adore	崇拜
adoring	崇拜
adorn	装饰
adornment	装饰
adrenalin	肾上腺素
adrenaline	肾上腺素
adrift	漂浮
adult	成人
adulterated	掺假
adulterer	奸夫
adultery	通奸
adulthood	成年
advance	提前
advanced	高级
advancement	进步
advancing	前进
advantage	优点
advantageous	有利
advent	来临
adventure	冒险
adventurer	冒险家
adventures	冒险
adventurous	爱冒险的
adversary	对手
adverse	不利的
adversity	逆境
advertise	广告
advertisement	广告
advertising	广告
adverts	广告
advice	忠告
advisable	可取
advise	劝告
advised	建议
advisement	周密
adviser	顾问
advisor	顾问
advisory	咨询
advocacy	拥护
advocate	主张
aegis	庇护
aeration	通风
aerial	天线
aerobics	有氧运动
