Word	ms
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	abak
abacus	abacus
abalone	abalone
abandon	abaikan
abandoned	ditinggalkan
abandonment	ditinggalkan
abashed	abashed
abate	abate
abatement	pengurangan
abba	abba
abbey	biara
abbot	NO TRANSLATION
abbreviate	singkatan
abbreviation	singkatan
abdomen	abdomen
abdominal	perut
abduct	menculik
abduction	penculikan
aberrant	menyimpang
aberration	penyimpangan
abeyance	abeyance
abhor	abhor
abhorrence	penghinaan
abhorrent	abhorrent
abide	bertahan
abiding	bertahan
ability	kebolehan
abject	hina
ablation	ablation
ablaze	terbakar
able	mampu
abnormal	tidak normal
abnormality	kelainan
aboard	di atas kapal
abode	tinggal
abolish	memansuhkan
abolition	pemansuhan
abominable	abominable
abominate	abominate
abomination	kekejian
aboriginal	orang asli
abort	abort
abortion	pengguguran
abortive	abortif
abound	berlimpah
abovementioned	Seperti yg diatas
abracadabra	abracadabra
abrasion	lelasan
abrasive	kasar
abreast	mengikuti
abroad	di luar negara
abrogate	membatalkan
abrupt	mendadak
abruptly	tiba-tiba
abscess	abses
absence	ketiadaan
absent	tidak hadir
absentee	tidak hadir
absenteeism	ketidakhadiran
absinthe	absinthe
absolute	mutlak
absolution	absolution
absolve	membebaskan
absorb	menyerap
absorbed	diserap
absorbent	penyerap
absorbing	menyerap
absorption	penyerapan
abstain	abstain
abstention	abstention
abstinence	pantang
abstract	abstrak
abstraction	abstraksi
absurd	tidak masuk akal
absurdity	tidak masuk akal
abundance	banyak
abundant	banyak
abuse	penyalahgunaan
abused	didera
abusive	kesat
abutment	abutment
aby	NO TRANSLATION
abysmal	tidak semestinya
abyss	abyss
academic	akademik
academy	Akademi
accede	menyetujui
accelerant	accelerant
accelerate	mempercepatkan
accelerated	dipercepatkan
acceleration	pecutan
accelerator	pemecut
accent	aksen
accentuate	menyerlahkan
accept	terima
acceptable	boleh diterima
acceptance	penerimaan
acceptances	penerimaan
access	akses
accessible	boleh diakses
accession	penyertaan
accessory	aksesori
accident	kemalangan
accidental	tidak sengaja
accidentally	secara tidak sengaja
acclaim	pujian
accolade	anugerah
accommodate	menampung
accommodation	penginapan
accompaniment	iringan
accompany	menemani
accompanying	mengiringi
accomplice	bersaudara
accomplish	berjaya
accomplished	dicapai
accomplishment	pencapaian
accord	sesuai dengan
accordance	mengikut
accordion	akordion
account	akaun
accountability	akauntabiliti
accountable	bertanggungjawab
accountant	akauntan
accounting	perakaunan
accounts	akaun
accredited	diiktiraf
accretion	pertambahan
accrue	terakru
accueil	NO TRANSLATION
accumulate	berkumpul
accumulation	pengumpulan
accuracy	ketepatan
accurate	tepat
accursed	terkutuk
accusation	tuduhan
accusative	akusatif
accuse	menuduh
accused	dituduh
accuser	penuduh
accusing	menuduh
accustomed	biasa
ace	ace
acetic	asetik
acetylene	asetilena
ache	sakit
achieve	mencapai
achieved	dicapai
achievement	pencapaian
aching	sakit
achy	achy
acid	asid
acidity	keasidan
acknowledge	mengakui
acknowledged	diakui
acknowledgement	pengiktirafan
acknowledgment	pengiktirafan
acme	acme
acne	jerawat
acorn	acorn
acoustic	akustik
acoustics	akustik
acquaint	beritahu
acquaintance	kenalan
acquainted	berkenalan
acquiescence	persetujuan
acquire	memperoleh
acquiring	memperoleh
acquisition	pengambilalihan
acquisitions	pengambilalihan
acquit	membebaskan
acquittal	pembebasan
acre	acre
acreage	keluasan
acres	ekar
acrobat	akrobat
acrylic	akrilik
act	bertindak
acting	bertindak
action	tindakan
action figure	figura aksi
actionable	boleh dilakukan
activate	aktifkan
activation	pengaktifan
active	aktif
activist	aktivis
activity	aktiviti
actor	pelakon
actress	pelakon
actual	sebenarnya
actuality	sebenarnya
actuary	aktuari
acuity	ketajaman
acumen	akal
acupuncture	akupunktur
acute	akut
acutely	akut
ad	iklan
adage	pepatah
adamant	bersungguh-sungguh
adapt	menyesuaikan
adaptable	boleh disesuaikan
adaptation	adaptasi
add	Tambah
added	tambahnya
addendum	addendum
adder	penambah
addict	penagih
addicted	ketagihan
addiction	ketagihan
addictive	ketagihan
addition	tambahan
additional	tambahan
additive	aditif
address	alamat
addressee	penerima
addresses	alamat
adept	mahir
adequacy	kecukupan
adequate	mencukupi
adhere	mematuhi
adherence	kepatuhan
adherent	pengikutnya
adhering	berpegang teguh
adhesion	lekat
adhesive	pelekat
adieu	adieu
adipose	adipose
adjacency	bersebelahan
adjacent	bersebelahan
adjective	kata sifat
adjoining	bersebelahan
adjourn	menangguhkan
adjournment	penangguhan
adjudicate	mengadili
adjudication	adjudikasi
adjunct	tambahan
adjust	melaraskan
adjuster	adjuster
adjustment	pelarasan
adjuvant	adjuvant
admin	admin
administer	mentadbir
administration	pentadbiran
administrative	pentadbiran
administrator	pentadbir
admirable	terpuji
admiral	admiral
admiralty	admiralty
admiration	kekaguman
admire	mengagumi
admired	dikagumi
admirer	peminat
admiring	mengagumi
admissibility	kebolehterimaan
admissible	boleh diterima
admission	kemasukan
admit	mengaku
admittance	kemasukan
admitted	mengaku
admitting	mengaku
admixture	admixture
admonition	peringatan
