Word	mi
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	Tuhinga o mua
abacus	Tuhinga
abalone	abalone
abandon	whakarerea
abandoned	ka whakarerea
abandonment	Tuhinga
abashed	Tuhinga o mua
abate	Tuhinga
abatement	whakaheke
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	poto
abbreviation	whakawhitinga
abdomen	puku
abdominal	Tuhinga
abduct	tohaina
abduction	whakaheke
aberrant	whakaheke
aberration	whakaheke
abeyance	Tuhinga o mua
abhor	whakarihariha
abhorrence	whakahianga
abhorrent	whakahiahia
abide	noho
abiding	e noho ana
ability	te kaha
abject	whakaiti
ablation	Tuhinga
ablaze	whakawera
able	taea
abnormal	he kino
abnormality	kino
aboard	i runga
abode	noho
abolish	whakakorea
abolition	whakakore
abominable	whakarihariha
abominate	whakarihariha
abomination	mea whakarihariha
aboriginal	Tuhinga o mua
abort	takahi
abortion	mate mate
abortive	whakaheke
abound	nui
abovementioned	i runga ake nei
abracadabra	abracadabra
abrasion	abrasion
abrasive	aprasive
abreast	Tuhinga
abroad	i waho
abrogate	whakakorea
abrupt	Tuhinga o mua
abruptly	Tuhinga o mua
abscess	Tuhinga o mua
absence	te kore
absent	ngaro
absentee	ngaro
absenteeism	absenteeism
absinthe	absinthe
absolute	tino
absolution	Tuhinga o mua
absolve	Tuhinga
absorb	tohua
absorbed	ka kaha
absorbent	kaipupuri
absorbing	pakaru
absorption	te whakamahinga
abstain	aukati
abstention	Tuhinga
abstinence	Tuhinga
abstract	Tuhinga
abstraction	abstraction
absurd	kore he
absurdity	Tuhinga o mua
abundance	nui
abundant	nui
abuse	tukino
abused	tukino
abusive	whakapehapeha
abutment	Tuhinga
aby	NO TRANSLATION
abysmal	Tuhinga
abyss	abyss
academic	mātauranga
academy	mātauranga
accede	Tuhinga
accelerant	tere
accelerate	whakatere
accelerated	kua whakanuia
acceleration	whakatere
accelerator	whakatere
accent	reo
accentuate	whakanui
accept	whakaae
acceptable	whakaaetia
acceptance	whakaaetanga
acceptances	whakaaetanga
access	uru
accessible	wātea
accession	Tuhinga
accessory	taputapu
accident	aituā
accidental	haumaru
accidentally	i te mate
acclaim	whakanui
accolade	Tuhinga
accommodate	whakauru
accommodation	nohoanga
accompaniment	Tuhinga
accompany	haere tahi
accompanying	whai tahi
accomplice	kaihautanga
accomplish	whakatutuki
accomplished	kua oti
accomplishment	te whakatutukitanga
accord	whakaaetanga
accordance	tika
accordion	Tuhinga
account	pūkete
accountability	te kawenga takohanga
accountable	whakautu
accountant	kaute
accounting	kaute
accounts	nama
accredited	i whakaaetia
accretion	whakawhitinga
accrue	nui ake
accueil	NO TRANSLATION
accumulate	kohikohi
accumulation	kohikohi
accuracy	tika
accurate	tika
accursed	kua kanga
accusation	whakapae
accusative	Tuhinga o mua
accuse	whakapae
accused	whakapae
accuser	kaiwhakapae
accusing	whakapae
accustomed	e mohiotia ana
ace	Tuhinga o mua
acetic	Tuhinga
acetylene	acetylene
ache	mate
achieve	whakatutuki
achieved	kua tutuki
achievement	paetae
aching	Tuhinga o mua
achy	Tuhinga
acid	waikawa
acidity	waikawa
acknowledge	whakaae
acknowledged	i whakaaetia
acknowledgement	whakaaetanga
acknowledgment	whakaaetanga
acme	acme
acne	Tuhinga
acorn	Tuhinga o mua
acoustic	Tuhinga
acoustics	acoustics
acquaint	mohio
acquaintance	mohio
acquainted	mohio
acquiescence	whakaaetanga
acquire	whiwhi
acquiring	whiwhi
acquisition	te hoko
acquisitions	hokohoko
acquit	Tuhinga o mua
acquittal	Tuhinga o mua
acre	eka
acreage	Tuhinga
acres	eka
acrobat	Tuhinga
acrylic	karaka
act	mahi
acting	mahi
action	mahi
action figure	tohu mahi
actionable	mahi
activate	whakahohe
activation	whakahohe
active	kaha
activist	kaitautoko
activity	mahi
actor	kaiwhakaari
actress	kaiwhakaari
actual	Tuhinga
actuality	Tuhinga
actuary	kaupapa mahi
acuity	Tuhinga
acumen	acumen
acupuncture	acupuncture
acute	Tuhinga
acutely	Tuhinga
ad	ad
adage	Tuhinga
adamant	Tuhinga o mua
adapt	te urutau
adaptable	ka taea te whakarerekē
adaptation	te urupare
add	tāpiri
added	tapiritia
addendum	Tuhinga
adder	Tuhinga
addict	kaitohutohu
addicted	ka whakahekehia
addiction	pangia
addictive	pakihi
addition	tāpiri
additional	atu
additive	tāpiri
address	wāhitau
addressee	kaiwawao
addresses	wāhitau
adept	he pai
adequacy	tika
adequate	tika
adhere	piri
adherence	te piri
adherent	piri
adhering	whakatairanga
adhesion	adhesion
adhesive	awhi
adieu	adieu
adipose	paku
adjacency	Tuhinga
adjacent	tata
adjective	whakahua
adjoining	e piri ana
adjourn	Tuhinga
adjournment	Tuhinga o mua
adjudicate	whakatau
adjudication	whakatau whakawa
adjunct	Tuhinga
adjust	whakatika
adjuster	whakatikatika
adjustment	whakatikatika
adjuvant	adjuvant
admin	kaiwhakahaere
administer	whakahaere
administration	whakahaere
administrative	whakahaere
administrator	kaiwhakahaere
admirable	whakahiahia
admiral	admiral
