Word	hi
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	एर्डवार्क
aback	अचंभे
abacus	अबेकस
abalone	ऐबालोन
abandon	छोड़ देना
abandoned	त्यागा हुआ
abandonment	संन्यास
abashed	घबराया हुआ
abate	रोक-थाम करना
abatement	कमी
abba	अब्बा
abbey	ऐबी
abbot	NO TRANSLATION
abbreviate	संक्षिप्त करना
abbreviation	संक्षिप्त नाम
abdomen	पेट
abdominal	पेट
abduct	अपहरण करना
abduction	अपहरण
aberrant	धर्मपथ से हटनेवाला
aberration	विपथन
abeyance	दुविधा
abhor	घृणा करना
abhorrence	घृणा
abhorrent	घिनौना
abide	रहना
abiding	स्थायी
ability	योग्यता
abject	अधम
ablation	पृथक करना
ablaze	जलता हुआ
able	योग्य
abnormal	असामान्य
abnormality	विषमता
aboard	समीप
abode	निवास
abolish	समाप्त करना
abolition	उन्मूलन
abominable	घिनौना
abominate	घृणा करना
abomination	abomination
aboriginal	आदिवासी
abort	गर्भपात
abortion	गर्भपात
abortive	निष्फल
abound	प्रचुर मात्रा में
abovementioned	उपरोक्त
abracadabra	मंत्र
abrasion	घर्षण
abrasive	अपघर्षक
abreast	बराबर में
abroad	विदेश में
abrogate	अभिनिषेध करना
abrupt	आकस्मिक
abruptly	एकाएक
abscess	फोड़ा
absence	अनुपस्थिति
absent	अनुपस्थित
absentee	अनुपस्थित होनेवाला
absenteeism	कार्य से अनुपस्थित होना
absinthe	चिरायता
absolute	पूर्ण
absolution	मुक्ति
absolve	दोषमुक्त करना
absorb	सोख लेना
absorbed	को अवशोषित
absorbent	शोषक
absorbing	अवशोषित
absorption	अवशोषण
abstain	बचना
abstention	बचाव
abstinence	परहेज़
abstract	सार
abstraction	मतिहीनता
absurd	बेतुका
absurdity	मूर्खता
abundance	प्रचुरता
abundant	प्रचुर
abuse	गाली
abused	साथ दुर्व्यवहार
abusive	अपमानजनक
abutment	सीमा
aby	NO TRANSLATION
abysmal	मात्र
abyss	रसातल
academic	शैक्षिक
academy	अकादमी
accede	मान लेना
accelerant	तेज़ करनेवाला
accelerate	में तेजी लाने के
accelerated	त्वरित
acceleration	त्वरण
accelerator	त्वरक
accent	उच्चारण
accentuate	बढ़
accept	स्वीकार करना
acceptable	स्वीकार्य
acceptance	स्वीकार
acceptances	स्वीकृतियां
access	पहुंच
accessible	सुलभ
accession	परिग्रहण
accessory	सहायक
accident	दुर्घटना
accidental	आकस्मिक
accidentally	अकस्मात
acclaim	प्रशंसा
accolade	सम्मान
accommodate	समायोजित
accommodation	आवास
accompaniment	संगत
accompany	साथ
accompanying	साथ में
accomplice	साथी
accomplish	पूरा
accomplished	पूरा किया
accomplishment	उपलब्धि
accord	समझौते
accordance	अनुसार
accordion	अकॉर्डियन
account	लेखा
accountability	जवाबदेही
accountable	उत्तरदायी
accountant	मुनीम
accounting	लेखांकन
accounts	हिसाब किताब
accredited	मान्यता प्राप्त
accretion	एक साथ वृद्धि
accrue	उपाजित होना
accueil	NO TRANSLATION
accumulate	संचय करें
accumulation	संचय
accuracy	शुद्धता
accurate	शुद्ध
accursed	शापित
accusation	आरोप
accusative	कर्म कारक
accuse	आरोप
accused	अभियुक्त
accuser	अभियोक्ता
accusing	आरोप लगा
accustomed	आदी
ace	इक्का
acetic	खट्टा
acetylene	एसिटिलीन
ache	दर्द
achieve	प्राप्त
achieved	हासिल
achievement	उपलब्धि
aching	दर्द
achy	achy
acid	अम्ल
acidity	पेट की गैस
acknowledge	स्वीकार करते हैं
acknowledged	स्वीकार किया
acknowledgement	अभिस्वीकृति
acknowledgment	अभिस्वीकृति
acme	परिपूर्णता
acne	मुँहासे
acorn	बलूत का फल
acoustic	ध्वनिक
acoustics	ध्वनि-विज्ञान
acquaint	परिचित
acquaintance	जान पहचान
acquainted	परिचित
acquiescence	रज़ामंदी
acquire	अधिग्रहण
acquiring	प्राप्त
acquisition	अर्जन
acquisitions	अधिग्रहण
acquit	बरी करना
acquittal	दोषमुक्ति
acre	एकड़
acreage	एकड़
acres	एकड़ जमीन
acrobat	नट
acrylic	ऐक्रेलिक
act	अधिनियम
acting	अभिनय
action	कार्य
action figure	कार्रवाई का आंकड़ा
actionable	कार्रवाई योग्य
activate	सक्रिय
activation	सक्रियण
active	सक्रिय
activist	कार्यकर्ता
activity	गतिविधि
actor	अभिनेता
actress	अभिनेत्री
actual	वास्तविक
actuality	सत्यता
actuary	मुंशी
acuity	तीक्ष्णता
acumen	कुशाग्रता
acupuncture	एक्यूपंक्चर
acute	तीव्र
acutely	तीव्रता से
ad	विज्ञापन
adage	कहावत
adamant	अटल
adapt	अनुकूल बनाना
adaptable	अनुकूलनीय
adaptation	अनुकूलन
add	जोड़ना
added	जोड़ा
addendum	परिशिष्ट
adder	योजक
addict	व्यसनी
addicted	लत लग
addiction	लत
addictive	नशे की लत
addition	इसके अलावा
additional	अतिरिक्त
additive	additive
address	पता
addressee	पत्र पानेवाला
addresses	पतों
adept	निपुण
adequacy	पर्याप्तता
adequate	पर्याप्त
adhere	पालन ​​करना
adherence	अनुपालन
