Word	az
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	sanki
abacus	abacus
abalone	abalone
abandon	tərk et
abandoned	tərk etdi
abandonment	ləğv
abashed	xəyanət etdi
abate	boşaltın
abatement	azaldılması
abba	abba
abbey	abbey
abbot	abbot
abbreviate	qısaltmaq
abbreviation	kısaltma
abdomen	qarın
abdominal	qarın
abduct	qaçırmaq
abduction	qaçırma
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	abhor
abhorrence	abhorrence
abhorrent	nifrət
abide	riayət edin
abiding	əbədi
ability	bacarığı
abject	abd
ablation	ablation
ablaze	yandırdılar
able	bacardı
abnormal	anormal
abnormality	anormallik
aboard	xaricdə
abode	məskunlaşma yeri
abolish	ləğv et
abolition	ləğv
abominable	qüsursuz
abominate	kədərlənmək
abomination	iyrənclik
aboriginal	aboriginal
abort	abort
abortion	abort
abortive	abortiv
abound	bolluq
abovementioned	yuxarıda qeyd olunan
abracadabra	abracadabra
abrasion	aşınma
abrasive	aşındırıcı
abreast	ayağa qalxdılar
abroad	xaricdə
abrogate	qaçmaq
abrupt	kəskin
abruptly	Kobudcasına
abscess	absesi
absence	olmaması
absent	yoxdur
absentee	xaricində
absenteeism	pozulma
absinthe	absinthe
absolute	mütləq
absolution	absurd
absolve	mütləq
absorb	udmaq
absorbed	udulmuşdu
absorbent	emici
absorbing	udma
absorption	absorbsiya
abstain	çəkinməyin
abstention	qəsd
abstinence	əxlaqsızlıq
abstract	mücərrəd
abstraction	soyutma
absurd	absurd
absurdity	absurdluq
abundance	bolluq
abundant	zəngin
abuse	sui-istifadə
abused	sui-istifadə
abusive	təhqiramiz
abutment	abutment
aby	NO TRANSLATION
abysmal	dəhşətli
abyss	uçurum
academic	akademik
academy	akademiya
accede	qoşulmaq
accelerant	sürətləndirici
accelerate	sürətləndirmək
accelerated	sürətləndi
acceleration	sürətləndirmək
accelerator	sürətləndirici
accent	vurğu
accentuate	vurğulamaq
accept	qəbul et
acceptable	məqbul
acceptance	qəbul
acceptances	qəbul edir
access	Giriş
accessible	əlçatan
accession	qoşulma
accessory	Aksesuar
accident	qəza
accidental	təsadüfən
accidentally	təsadüfən
acclaim	bəyənmə
accolade	mükafat
accommodate	yerləşdirmək
accommodation	yaşayış
accompaniment	müşayiət
accompany	müşayiət edir
accompanying	müşayiət edən
accomplice	tərəfdaş
accomplish	yerinə yetirmək
accomplished	həyata keçirildi
accomplishment	nailiyyət
accord	uyğunluq
accordance	uyğun
accordion	akordeon
account	hesab
accountability	hesabatlılıq
accountable	hesabat verə bilər
accountant	mühasib
accounting	mühasibat
accounts	hesablar
accredited	akkreditə olunmuşdur
accretion	artım
accrue	yığmaq
accueil	NO TRANSLATION
accumulate	toplamaq
accumulation	akkumulyasiya
accuracy	dəqiqlik
accurate	dəqiqlik
accursed	lənətlənmişdir
accusation	ittiham
accusative	ittiham edir
accuse	ittiham etmək
accused	şübhəli
accuser	təqsirləndirən
accusing	ittiham edir
accustomed	alışmış
ace	ace
acetic	sirkə
acetylene	asetilen
ache	acı
achieve	nail olmaq
achieved	nail oldu
achievement	nailiyyət
aching	ağrı
achy	acıqlı
acid	turşu
acidity	turşuluq
acknowledge	etiraf et
acknowledged	etiraf etdi
acknowledgement	etiraf
acknowledgment	etiraf
acme	acme
acne	sızanaq
acorn	acorn
acoustic	akustik
acoustics	akustika
acquaint	tanış ol
acquaintance	tanışlıq
acquainted	tanış oldum
acquiescence	razılıq
acquire	əldə etmek
acquiring	əldə etmək
acquisition	satın alma
acquisitions	satın almalar
acquit	bəraət et
acquittal	bəraət
acre	acre
acreage	acreage
acres	dönər
acrobat	akrobat
acrylic	akril
act	hərəkət et
acting	fəaliyyət göstərən
action	hərəkət
action figure	hərəkət rəqəmi
actionable	hərəkətli
activate	aktivləşdirin
activation	aktivləşdirmə
active	aktiv
activist	aktivist
activity	fəaliyyəti
actor	aktyor
actress	aktrisa
actual	faktiki
actuality	aktuallıq
actuary	aktuar
acuity	kəskinlik
acumen	acumen
acupuncture	akupunktur
acute	kəskin
acutely	acutely
ad	reklam
adage	adadır
adamant	hörmətli
adapt	uyğunlaşmaq
adaptable	uyarlanabilir
adaptation	uyğunlaşma
add	əlavə edin
added	əlavə etdi
addendum	əlavə et
adder	tacir
addict	addict
addicted	asılılıq
addiction	asılılıq
addictive	asılılıq
addition	Əlavə
additional	Əlavə
additive	əlavəçi
address	ünvanı
addressee	alıcı
addresses	ünvanları
adept	usta
adequacy	adekvatlıq
adequate	adekvat
adhere	riayət edin
adherence	uyğunluq
adherent	bağlıdır
adhering	sadiqdir
adhesion	yapışma
adhesive	yapışan
adieu	adieu
adipose	adipoz
adjacency	bitişiklik
adjacent	bitişik
adjective	sifət
adjoining	bitişik
adjourn	gecikmə
adjournment	təxirə salınma
adjudicate	qərar verin
adjudication	məhkəmə qərarı
adjunct	əlavə
adjust	tənzimləyin
adjuster	tənzimləyici
adjustment	tənzimləmə
adjuvant	adjuvan
admin	admin
administer	idarə et
administration	administrasiya
administrative	inzibati
administrator	administrator
