Word	vi
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	kinh ngạc
abacus	bàn tính
abalone	bào ngư
abandon	từ bỏ
abandoned	bị bỏ rơi
abandonment	bỏ rơi
abashed	bừa bãi
abate	giảm giá
abatement	giảm giá
abba	abba
abbey	tu viện
abbot	NO TRANSLATION
abbreviate	viết tắt
abbreviation	viết tắt
abdomen	bụng
abdominal	bụng
abduct	bắt cóc
abduction	bắt cóc
aberrant	sai lầm
aberration	quang sai
abeyance	không tuân thủ
abhor	abhor
abhorrence	sự ghê tởm
abhorrent	abhorrent
abide	chịu đựng
abiding	tuân thủ
ability	có khả năng
abject	từ chối
ablation	sự cắt bỏ
ablaze	bốc cháy
able	có thể
abnormal	khác thường
abnormality	bất thường
aboard	cái bảng
abode	nơi ở
abolish	bỏ
abolition	bãi bỏ
abominable	đáng ghét
abominate	ghê tởm
abomination	sự ghê tởm
aboriginal	thổ dân
abort	hủy bỏ
abortion	sự phá thai
abortive	phá thai
abound	rất nhiều
abovementioned	nói trên
abracadabra	NO TRANSLATION
abrasion	mài mòn
abrasive	mài mòn
abreast	ngang nhau
abroad	ở nước ngoài
abrogate	bãi bỏ
abrupt	đột ngột
abruptly	đột ngột
abscess	áp xe
absence	vắng mặt
absent	vắng mặt
absentee	vắng mặt
absenteeism	vắng mặt
absinthe	absinthe
absolute	tuyệt đối
absolution	sự giải thể
absolve	tha thứ
absorb	hấp thụ
absorbed	hấp thu
absorbent	thấm hút
absorbing	hấp thụ
absorption	sự hấp thụ
abstain	kiêng
abstention	sự kiêng cử
abstinence	kiêng cử
abstract	trừu tượng
abstraction	sự trừu tượng
absurd	vô lý
absurdity	vô lý
abundance	sự phong phú
abundant	dồi dào
abuse	sự lạm dụng
abused	bị lạm dụng
abusive	lạm dụng
abutment	trụ cầu
aby	NO TRANSLATION
abysmal	thất bại
abyss	vực sâu
academic	học tập
academy	học viện
accede	gia nhập
accelerant	gia tốc
accelerate	tăng tốc
accelerated	tăng tốc
acceleration	sự tăng tốc
accelerator	máy gia tốc
accent	giọng
accentuate	làm nổi bật
accept	Chấp nhận
acceptable	có thể chấp nhận
acceptance	chấp thuận
acceptances	sự chấp nhận
access	truy cập
accessible	có thể truy cập
accession	gia nhập
accessory	phụ kiện
accident	Tai nạn
accidental	tình cờ
accidentally	vô tình
acclaim	hoan hô
accolade	công nhận
accommodate	chứa
accommodation	chỗ ở
accompaniment	đệm
accompany	đi cùng
accompanying	đi cùng
accomplice	đồng lõa
accomplish	hoàn thành
accomplished	hoàn thành
accomplishment	hoàn thành
accord	phù hợp
accordance	phù hợp
accordion	accordion
account	tài khoản
accountability	trách nhiệm giải trình
accountable	có trách nhiệm
accountant	viên kế toán
accounting	kế toán
accounts	tài khoản
accredited	được công nhận
accretion	bồi đắp
accrue	tích lũy
accueil	NO TRANSLATION
accumulate	tích trữ
accumulation	sự tích lũy
accuracy	độ chính xác
accurate	chính xác
accursed	bị buộc tội
accusation	tố cáo
accusative	tố cáo
accuse	cáo buộc
accused	bị cáo
accuser	người tố cáo
accusing	cáo buộc
accustomed	quen thuộc
ace	át chủ
acetic	acetic
acetylene	axetylen
ache	đau nhức
achieve	Hoàn thành
achieved	đạt được
achievement	thành tích
aching	đau nhức
achy	achy
acid	axit
acidity	tính axit
acknowledge	công nhận
acknowledged	thừa nhận
acknowledgement	nhìn nhận
acknowledgment	nhìn nhận
acme	acme
acne	mụn trứng cá
acorn	acorn
acoustic	âm thanh
acoustics	âm học
acquaint	làm quen
acquaintance	người quen
acquainted	hiểu biết
acquiescence	sự tán thành
acquire	có được, thu được
acquiring	mua lại
acquisition	mua lại
acquisitions	mua lại
acquit	tha bổng
acquittal	tha bổng
acre	mẫu Anh
acreage	diện tích
acres	mẫu Anh
acrobat	acrobat
acrylic	acrylic
act	hành động
acting	diễn xuất
action	hoạt động
action figure	hành động hình
actionable	có thể hành động
activate	kích hoạt
activation	kích hoạt
active	hoạt động
activist	nhà hoạt động
activity	Hoạt động
actor	diễn viên
actress	nữ diễn viên
actual	thực tế
actuality	thực tế
actuary	nhà thơ
acuity	trái cây
acumen	sự nhạy bén
acupuncture	châm cứu
acute	nhọn
acutely	sâu sắc
ad	quảng cáo
adage	câu ngạn ngữ
adamant	kiên quyết
adapt	phỏng theo
adaptable	thích nghi
adaptation	sự thích nghi
add	thêm vào
added	thêm
addendum	phụ lục
adder	người bổ sung
addict	con nghiện
addicted	nghiện
addiction	nghiện
addictive	gây nghiện
addition	thêm vào
additional	bổ sung
additive	phụ gia
address	địa chỉ nhà
addressee	người nhận
addresses	địa chỉ
adept	giỏi
adequacy	đầy đủ
adequate	đầy đủ
adhere	tuân thủ
adherence	tuân thủ
adherent	tuân thủ
adhering	tôn trọng
adhesion	độ bám dính
adhesive	dính
adieu	adieu
adipose	mỡ
adjacency	sự kề nhau
adjacent	liền kề
adjective	tính từ
adjoining	tiếp giáp
adjourn	hoãn lại
adjournment	hoãn lại
adjudicate	phân xử
adjudication	sự xét xử
adjunct	phụ trợ
adjust	điều chỉnh
