Word	fa
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	ناراحت
abacus	همسر
abalone	مرطوب کننده
abandon	رها کردن
abandoned	رها شده
abandonment	رها کردن
abashed	ناراحتی
abate	کاهش می یابد
abatement	کمبود
abba	آبا
abbey	ابی
abbot	NO TRANSLATION
abbreviate	مختصر
abbreviation	اختصار
abdomen	شکم
abdominal	شکم
abduct	ربوده شدن
abduction	آدم ربایی
aberrant	نادرست
aberration	انحراف
abeyance	تعطیلات
abhor	خجالت زده
abhorrence	نفرت انگیز
abhorrent	غم انگیز
abide	ثابت قدم ماندن
abiding	پایبند
ability	توانایی
abject	شگفت انگیز
ablation	تخریب
ablaze	سوزش
able	توانایی
abnormal	غیر طبیعی
abnormality	بی نظمی
aboard	روی صندلی
abode	محل سکونت
abolish	لغو کردن
abolition	لغو
abominable	منحرف
abominate	مرده
abomination	بی حوصلگی
aboriginal	بومی
abort	قطع شدن
abortion	سقط جنین
abortive	سقط جنین
abound	فراوان است
abovementioned	ذکر شده در بالا
abracadabra	ابراکادابرا
abrasion	سایش
abrasive	ساینده
abreast	متقابلا
abroad	خارج از کشور
abrogate	لغو کردن
abrupt	ناگهان
abruptly	ناگهان
abscess	آبسه
absence	غیبت
absent	غایب
absentee	غیبت
absenteeism	غیبت
absinthe	بنزین
absolute	مطلق
absolution	عزت نفس
absolve	آزادی
absorb	جذب
absorbed	جذب شده است
absorbent	جاذب
absorbing	جذب
absorption	جذب
abstain	استراحت کن
abstention	مخالفت
abstinence	استراحت
abstract	چکیده
abstraction	انتزاع - مفهوم - برداشت
absurd	چرند
absurdity	پوچ بودن
abundance	فراوانی
abundant	فراوان
abuse	سو استفاده کردن
abused	مورد آزار قرار گرفته
abusive	سوءاستفاده
abutment	آستانه
aby	NO TRANSLATION
abysmal	شرم آور
abyss	پرتگاه
academic	علمی
academy	آکادمی
accede	پیوستن
accelerant	شتاب
accelerate	سرعت بخشیدن
accelerated	تسریع شد
acceleration	شتاب
accelerator	شتاب دهنده
accent	لهجه
accentuate	برجسته کردن
accept	تایید کنید
acceptable	قابل قبول است
acceptance	پذیرش
acceptances	پذیرش
access	دسترسی به
accessible	در دسترس
accession	پیوستن
accessory	لوازم جانبی
accident	تصادف
accidental	تصادفی
accidentally	به طور تصادفی
acclaim	تحسین
accolade	تقدیر
accommodate	تطبیق
accommodation	محل اقامت
accompaniment	همراهی
accompany	همراهی کردن
accompanying	مشایعت
accomplice	همدستان
accomplish	انجام دادن
accomplished	انجام شده است
accomplishment	دستاورد
accord	توافق
accordance	مطابق با
accordion	آکوردئون
account	حساب
accountability	مسئوليت
accountable	پاسخگو
accountant	حسابدار
accounting	حسابداری
accounts	حساب ها
accredited	معتبر
accretion	افزایش
accrue	جمع کن
accueil	NO TRANSLATION
accumulate	انباشتن
accumulation	تجمع
accuracy	دقت
accurate	دقیق
accursed	نفرین شده
accusation	اتهام
accusative	اتهامی
accuse	متهم
accused	متهم
accuser	متهم
accusing	متهم
accustomed	عادت کرده است
ace	آقا
acetic	استیک
acetylene	استیلن
ache	درد
achieve	رسیدن
achieved	به دست آورد
achievement	دستاورد
aching	درد
achy	آهی کشیدم
acid	اسید
acidity	اسیدیته
acknowledge	اذعان
acknowledged	اذعان کرد
acknowledgement	تصدیق
acknowledgment	تصدیق
acme	آه
acne	آکنه
acorn	بلوط
acoustic	صوتی
acoustics	آکوستیک
acquaint	آشنایی
acquaintance	آشنایی
acquainted	آشنا
acquiescence	تساهل
acquire	به دست آوردن
acquiring	دستیابی به
acquisition	اکتساب، حاکمیت
acquisitions	دستاوردها
acquit	تبرئه
acquittal	تبرئه
acre	هکتار
acreage	زمین
acres	هکتار
acrobat	آکروبات
acrylic	اکریلیک
act	عمل کن
acting	بازیگری
action	عمل
action figure	شکل عمل
actionable	عملی است
activate	فعال کردن
activation	فعال سازی
active	فعال
activist	فعال
activity	فعالیت
actor	بازیگر
actress	بازیگر
actual	واقعی
actuality	واقعیت
actuary	حواله
acuity	شدت
acumen	تیزفهمی
acupuncture	طب سوزنی
acute	حاد
acutely	شدید
ad	آگهی
adage	ادای احترام
adamant	adamant
adapt	انطباق
adaptable	سازگار
adaptation	انطباق
add	اضافه کردن
added	اضافه
addendum	افزودن
adder	کمد
addict	معتاد
addicted	معتاد
addiction	اعتیاد
addictive	اعتیاد آور
addition	علاوه بر این
additional	اضافی
additive	افزودنی
address	نشانی
addressee	آدرس گیرنده
addresses	آدرس
adept	متخصص
adequacy	کفایت
adequate	کافی است
adhere	پایبند باشید
adherence	تبعیت
adherent	پایبند
adhering	پیوستن
adhesion	چسبندگی
adhesive	چسب
adieu	adieu
adipose	چربی
adjacency	مجاورت
adjacent	مجاور
adjective	صفت
adjoining	مجاور
adjourn	متوقف کردن
adjournment	تعطیلات
adjudicate	محاکمه
adjudication	قضاوت
adjunct	adjunct
adjust	تنظیم کنید
adjuster	تنظیم کننده
adjustment	تنظیم
adjuvant	adjuvant
admin	مدیر
administer	اداره کردن
administration	مدیریت
administrative	اداری
administrator	مدیر
