Word	ca
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	sorpresa
abacus	àbac
abalone	abalone
abandon	abandonar
abandoned	abandonat
abandonment	abandó
abashed	abashed
abate	abate
abatement	reducció
abba	abba
abbey	abadia
abbot	abat
abbreviate	abrevia
abbreviation	abreviatura
abdomen	abdomen
abdominal	abdominal
abduct	segrest
abduction	segrest
aberrant	aberrant
aberration	aberració
abeyance	suspensió
abhor	abhor
abhorrence	aversió
abhorrent	abominable
abide	acatar
abiding	complint
ability	habilitat
abject	abjecte
ablation	ablació
ablaze	incendi
able	capaç
abnormal	anormal
abnormality	anormalitat
aboard	a bord
abode	residència
abolish	abolir
abolition	abolició
abominable	abominable
abominate	abominar
abomination	abominació
aboriginal	aborigen
abort	avortar
abortion	avortament
abortive	abortiu
abound	abunden
abovementioned	anteriorment esmentat
abracadabra	abracadabra
abrasion	abrasió
abrasive	abrasiu
abreast	al corrent
abroad	a l'estranger
abrogate	cancel·lar
abrupt	abrupte
abruptly	bruscament
abscess	abscés
absence	absència
absent	absent
absentee	absent
absenteeism	absentisme
absinthe	absenta
absolute	absolut
absolution	absolució
absolve	absolver
absorb	absorbeix
absorbed	absorbit
absorbent	absorbent
absorbing	absorció
absorption	absorció
abstain	abstenir-se
abstention	abstenció
abstinence	abstinència
abstract	resum
abstraction	abstracció
absurd	absurd
absurdity	absurd
abundance	abundància
abundant	abundant
abuse	abús
abused	abusat
abusive	abusiu
abutment	pilar
aby	NO TRANSLATION
abysmal	abismal
abyss	abisme
academic	acadèmic
academy	acadèmia
accede	Accedir
accelerant	accelerant
accelerate	accelerar
accelerated	accelerat
acceleration	acceleració
accelerator	accelerador
accent	accent
accentuate	accentuar
accept	acceptar
acceptable	acceptable
acceptance	acceptació
acceptances	acceptacions
access	accés
accessible	accessible
accession	adhesió
accessory	accessori
accident	accident
accidental	accidental
accidentally	accidentalment
acclaim	aclamació
accolade	acolliment
accommodate	acomodar
accommodation	allotjament
accompaniment	acompanyament
accompany	acompanyar
accompanying	acompanyant
accomplice	còmplice
accomplish	aconseguir
accomplished	realitzat
accomplishment	realització
accord	acord
accordance	acord
accordion	acordió
account	compte
accountability	responsabilitat
accountable	responsable
accountant	comptador
accounting	comptabilitat
accounts	comptes
accredited	acreditat
accretion	acreció
accrue	acumular
accueil	NO TRANSLATION
accumulate	acumular
accumulation	acumulació
accuracy	precisió
accurate	precís
accursed	maldestre
accusation	acusació
accusative	acusatiu
accuse	acusar
accused	acusat
accuser	acusador
accusing	acusant
accustomed	acostumat
ace	as
acetic	acetic
acetylene	acetilè
ache	dolor
achieve	aconseguir
achieved	aconseguit
achievement	assoliment
aching	dolor
achy	adolorit
acid	àcid
acidity	acidesa
acknowledge	reconèixer
acknowledged	reconegut
acknowledgement	reconeixement
acknowledgment	reconeixement
acme	Acme
acne	acne
acorn	gla
acoustic	acústic
acoustics	acústica
acquaint	familiaritzar
acquaintance	conegut
acquainted	familiaritzat
acquiescence	aquiescència
acquire	adquirir
acquiring	adquirint
acquisition	adquisició
acquisitions	adquisicions
acquit	absència
acquittal	absolució
acre	acre
acreage	superfície
acres	acres
acrobat	Acrobat
acrylic	acrílic
act	actuar
acting	actuació
action	acció
action figure	figura d'acció
actionable	accionable
activate	activar
activation	activació
active	actiu
activist	activista
activity	activitat
actor	actor
actress	actriu
actual	actual
actuality	actualitat
actuary	actuari
acuity	agudesa
acumen	acumen
acupuncture	acupuntura
acute	agut
acutely	agudament
ad	anunci
adage	adagi
adamant	ferm
adapt	adaptar
adaptable	adaptable
adaptation	adaptació
add	afegir
added	afegit
addendum	addendum
adder	adder
addict	addicta
addicted	addicta
addiction	adicció
addictive	addictiu
addition	afegit
additional	addicional
additive	additiu
address	adreça
addressee	destinatari
addresses	adreces
adept	adepte
adequacy	adequació
adequate	adequat
adhere	s'adhereixen
adherence	adherència
adherent	adherent
adhering	adherir
adhesion	adhesió
adhesive	adhesiu
adieu	adieu
adipose	adipós
adjacency	adjacència
adjacent	adjacent
adjective	adjectiu
adjoining	adjacent
adjourn	ajornar
adjournment	ajornament
adjudicate	adjudicat
adjudication	adjudicació
adjunct	adjunt
adjust	ajustar
adjuster	ajustador
adjustment	ajust
adjuvant	adyuvante
admin	admin
administer	administrar
administration	Administració
administrative	administrativa
administrator	administrador
admirable	admirable
admiral	almirall
admiralty	almirantazgo
admiration	admiració
admire	admirar
admired	admirat
admirer	admirador
admiring	admirant
admissibility	admissibilitat
admissible	admissible
admission	admissió
admit	admitir
admittance	admissió
admitted	admès
admitting	admetent
admixture	barreja
admonition	admonició
ado	adéu
adobe	adobe
adolescence	adolescència
adolescent	adolescent
adopt	adoptar
adoption	adopció
adoptive	adoptiva
adorable	adorable
adoration	adoració
adore	adorar
adoring	adorant
adorn	adornar
adornment	adorn
adrenalin	adrenalina
adrenaline	adrenalina
adrift	a la deriva
adult	adult
adulterated	adulterat
adulterer	adúlter
adultery	adulteri
adulthood	edat adulta
advance	avance
advanced	avançat
advancement	avenç
advancing	avançant
advantage	avantatge
advantageous	avantatjós
