Word	ha
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	ƙaura
abalone	abalone
abandon	watsi
abandoned	watsi
abandonment	watsi
abashed	abashed
abate	abate
abatement	abatement
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	abbreviate
abbreviation	raguwa
abdomen	ciki
abdominal	ciki
abduct	sace
abduction	sata
aberrant	aberrant
aberration	aberration
abeyance	lalata
abhor	abhor
abhorrence	hauka
abhorrent	m
abide	zauna
abiding	zaune
ability	damar
abject	abject
ablation	ablation
ablaze	ablaze
able	iya
abnormal	mahaukaci
abnormality	rashin ciwo
aboard	a cikin jirgin
abode	gidan zama
abolish	soke
abolition	abolition
abominable	abin ƙyama
abominate	baƙanci
abomination	abin ƙyama
aboriginal	aboriginal
abort	abort
abortion	zubar da ciki
abortive	abortive
abound	yawa
abovementioned	abovementioned
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	abreast
abroad	kasashen waje
abrogate	soke
abrupt	abrupt
abruptly	abruptly
abscess	ƙurji
absence	babu
absent	babu
absentee	babu
absenteeism	absenteeism
absinthe	absinthe
absolute	cikakke
absolution	absolution
absolve	absolve
absorb	sha
absorbed	tunawa
absorbent	absorbent
absorbing	shawa
absorption	sha
abstain	dakata
abstention	abstention
abstinence	abstinence
abstract	m
abstraction	abstraction
absurd	m
absurdity	absurdity
abundance	yawa
abundant	m
abuse	zagi
abused	azaba
abusive	m
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	ilimi
academy	makarantar kimiyya
accede	amincewa
accelerant	accelerant
accelerate	hanzarta
accelerated	kara
acceleration	hanzari
accelerator	matatar
accent	sanarwa
accentuate	ƙaddamar
accept	karɓa
acceptable	yarda
acceptance	yarda
acceptances	yarda
access	damar shiga
accessible	m
accession	karɓa
accessory	kayan aiki
accident	hadari
accidental	hadari
accidentally	ba zato ba tsammani
acclaim	acclaim
accolade	karɓa
accommodate	saukarwa
accommodation	masauki
accompaniment	kunnawa
accompany	bi
accompanying	tare
accomplice	haɓakawa
accomplish	cika
accomplished	cika
accomplishment	cika
accord	yarjejeniya
accordance	daidai
accordion	ƙulla
account	asusu
accountability	lissafin kuɗi
accountable	lissafin kuɗi
accountant	lissafin
accounting	lissafin kuɗi
accounts	asusun
accredited	an yarda
accretion	haɓaka
accrue	kara
accueil	NO TRANSLATION
accumulate	tara
accumulation	tarawa
accuracy	daidaito
accurate	daidai
accursed	la'ananne
accusation	zargi
accusative	m
accuse	zargi
accused	zargi
accuser	mai zargi
accusing	zargin
accustomed	saba
ace	ace
acetic	acetic
acetylene	acetylene
ache	ciwo
achieve	cimma
achieved	cimma
achievement	nasara
aching	aching
achy	achy
acid	acid
acidity	acidity
acknowledge	amince
acknowledged	yarda
acknowledgement	yarda
acknowledgment	yarda
acme	acme
acne	kuraje
acorn	tsirara
acoustic	m
acoustics	acoustics
acquaint	sanarwa
acquaintance	sanarwa
acquainted	masani
acquiescence	amincewa
acquire	saya
acquiring	samuwa
acquisition	saye
acquisitions	Acquisitions
acquit	cikakke
acquittal	kwance
acre	acre
acreage	acreage
acres	kadada
acrobat	acrobat
acrylic	acrylic
act	yi aiki
acting	aiki
action	mataki
action figure	nau'i na aiki
actionable	aiki
activate	kunna
activation	kunnawa
active	aiki
activist	mai aiki
activity	aiki
actor	actor
actress	actress
actual	ainihin
actuality	ainihin
actuary	asibiti
acuity	acuity
acumen	acumen
acupuncture	acupuncture
acute	m
acutely	lafiya
ad	ad
adage	misali
adamant	m
adapt	daidaitawa
adaptable	daidaitacce
adaptation	gyare-gyare
add	ƙara
added	kara da cewa
addendum	ƙarawa
adder	adder
addict	magunguna
addicted	m
addiction	buri
addictive	jaraba
addition	Bugu da kari
additional	ƙarin
additive	Ƙari
address	adireshin
addressee	addresse
addresses	adiresoshin
adept	mara kyau
adequacy	dace
adequate	isasshen
adhere	bi
adherence	adherence
adherent	adherent
adhering	adhering
adhesion	adhesion
adhesive	m
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	kusa
adjective	m
adjoining	adjoining
adjourn	jinkirta
adjournment	adjournment
adjudicate	adjudicate
adjudication	adjudication
adjunct	adjunct
adjust	daidaita
adjuster	daidaita
adjustment	gyarawa
adjuvant	adjuvant
admin	admin
administer	gudanarwa
administration	gwamnatin
administrative	Gudanarwa
administrator	mai gudanarwa
admirable	m
admiral	admiral
admiralty	admiralty
admiration	sha'awa
admire	sha'awan
admired	ƙauna
admirer	sha'awan
admiring	sha'awa
admissibility	admissibility
admissible	mai yiwuwa
admission	shiga
admit	yarda
admittance	shigarwa
admitted	shigar da shi
admitting	yarda
admixture	admixture
admonition	gargadi
ado	ado
adobe	Adobe
adolescence	yaro
adolescent	yaro
adopt	karɓa
adoption	tallafi
adoptive	Tsarin
adorable	kyakkyawa
adoration	yin sujada
adore	ƙauna
adoring	yin sujada
adorn	ƙawata
adornment	ƙawata
adrenalin	adrenalin
adrenaline	adrenaline
adrift	adrift
adult	girma
adulterated	adulterated
adulterer	mazinata
