Word	be
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	трубказуб
aback	ззаду
abacus	абака
abalone	марское вушка
abandon	адмовіцца ад
abandoned	закінуты
abandonment	пакіданне
abashed	збянтэжаны
abate	сціхаць
abatement	зніжэнне
abba	авва
abbey	абацтва
abbot	абат
abbreviate	скарачаць
abbreviation	скарачэнне
abdomen	жывот
abdominal	абдамінальны
abduct	выкрадаць
abduction	адвядзенне
aberrant	адхіляцца
aberration	аберацыя
abeyance	латэнтнасьць
abhor	сілкаваць агіду
abhorrence	агіда
abhorrent	агідны
abide	выконваць
abiding	нязменны
ability	здольнасць
abject	прыніжаны
ablation	абляцыя
ablaze	палаць
able	ў стане
abnormal	ненармальны
abnormality	ненармальнасць
aboard	на борце
abode	месцазнаходжанне
abolish	касаваць
abolition	адмена
abominable	агідны
abominate	сілкаваць агіду
abomination	мярзота
aboriginal	абарыгенныя
abort	выкінуць
abortion	аборт
abortive	абартыўны
abound	мець шмат
abovementioned	вышэйзгаданы
abracadabra	абракадабра
abrasion	ізаляцыі
abrasive	абразіўны
abreast	ў шэраг
abroad	за мяжой
abrogate	касаваць
abrupt	круты
abruptly	рэзка
abscess	абсцэс
absence	адсутнасць
absent	адсутны
absentee	адсутны
absenteeism	абсентэізм
absinthe	абсэнт
absolute	абсалютны
absolution	адпушчэнне грахоў
absolve	вызваляць
absorb	абсарбаваць
absorbed	паглынуты
absorbent	абсарбавальныя
absorbing	паглынальны
absorption	паглынанне
abstain	устрымлівацца
abstention	ўстрыманасць
abstinence	абстыненцыя
abstract	анатацыя
abstraction	абстракцыя
absurd	абсурд
absurdity	недарэчнасць
abundance	багацце
abundant	багаты
abuse	злоўжыванне
abused	злоўжывалі
abusive	абразлівы
abutment	устой
aby	NO TRANSLATION
abysmal	бяздонны
abyss	бездань
academic	акадэмічны
academy	акадэмія
accede	далучацца
accelerant	паскаральнік
accelerate	паскараць
accelerated	паскораны
acceleration	паскарэнне
accelerator	паскаральнік
accent	акцэнт
accentuate	акцэнтаваць
accept	прымаць
acceptable	прымальны
acceptance	прыняцце
acceptances	акцэпт
access	доступ
accessible	даступнай
accession	далучэнне
accessory	аксэсуар
accident	аварыя
accidental	выпадковы
accidentally	выпадкова
acclaim	шумнае прывітанне
accolade	акколада
accommodate	мясціць
accommodation	жыллё
accompaniment	суправаджэнне
accompany	суправаджаць
accompanying	суправаджальны
accomplice	саўдзельнік
accomplish	выконваць
accomplished	ажыццяўляецца
accomplishment	дасягненне
accord	згоду
accordance	адпаведнасць
accordion	акардэон
account	кошт
accountability	падсправаздачнасць
accountable	падсправаздачны
accountant	бухгалтар
accounting	ўлік
accounts	рахункі
accredited	акрэдытаваны
accretion	зрастанне
accrue	даставацца
accueil	NO TRANSLATION
accumulate	запасіцца
accumulation	назапашванне
accuracy	дакладнасць
accurate	дакладны
accursed	пракляты
accusation	абвінавачванне
accusative	вінавальны
accuse	вінаваціць
accused	абвінавачваны
accuser	абвінаваўца
accusing	абвінавачванне
accustomed	звыкся
ace	туз
acetic	воцатны
acetylene	ацэтылен
ache	боль
achieve	дасягаць
achieved	дасягнуты
achievement	дасягненне
aching	дасьць хвораму
achy	хворы
acid	кіслата
acidity	кіслотнасць
acknowledge	прызнаваць
acknowledged	прызнаны
acknowledgement	прызнанне
acknowledgment	прызнанне
acme	кульмінацыя
acne	акне
acorn	жолуд
acoustic	акустычнае
acoustics	акустыка
acquaint	знаёміць
acquaintance	знаёмства
acquainted	знаёмы
acquiescence	падатлівасць
acquire	набываць
acquiring	набыццё
acquisition	набыццё
acquisitions	набыцця
acquit	апраўдаць
acquittal	апраўданне
acre	акр
acreage	плошчу
acres	акра
acrobat	акрабат
acrylic	акрыл
act	акт
acting	дзеючы
action	дзеянне
action figure	фігурка
actionable	дзейсныя
activate	актываваць
activation	актывацыя
active	актыўны
activist	актывіст
activity	дзейнасць
actor	акцёр
actress	актрыса
actual	фактычны
actuality	рэчаіснасць
actuary	Актуары
acuity	вастрыня
acumen	кемлівасць
acupuncture	іглаўколванне
acute	востры
acutely	востра
ad	аб'яву
adage	выслоўе
adamant	непахісны
adapt	адаптавацца
adaptable	адаптуюцца
adaptation	адаптацыя
add	дадаваць
added	дабаўленай
addendum	даданне
adder	суматар
addict	наркаман
addicted	схільны
addiction	наркаманія
addictive	прывыканне
addition	прыбаўленне
additional	дадатковы
additive	прысадка
address	адрас
addressee	адрасат
addresses	адрасы
adept	майстэрскі
adequacy	адэкватнасць
adequate	адэкватны
adhere	прытрымлівацца
adherence	захаванне
adherent	прыхільнік
adhering	прытрымліваючыся
adhesion	адгезія
adhesive	клей
adieu	даруйце
adipose	тлушчавай
adjacency	сумежна
adjacent	прымыкае
adjective	прыметнік
adjoining	прылеглы
adjourn	закрываць
adjournment	адклад
adjudicate	выносіць прысуд
adjudication	судовае рашэнне
adjunct	ад'юнкт
adjust	рэгуляваць
adjuster	ацэншчык
adjustment	рэгуляванне
adjuvant	адъювант
admin	адмін
administer	кіраваць
administration	адміністрацыя
administrative	адміністрацыйны
administrator	адміністратар
