Word	id
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	kembali
abacus	sempoa
abalone	pauhi
abandon	mengabaikan
abandoned	ditinggalkan
abandonment	pengabaian
abashed	malu
abate	mereda
abatement	pengurangan
abba	abba
abbey	biara
abbot	NO TRANSLATION
abbreviate	menyingkat
abbreviation	singkatan
abdomen	perut
abdominal	perut
abduct	menculik
abduction	penculikan
aberrant	menyimpang
aberration	penyimpangan
abeyance	penundaan
abhor	benci
abhorrence	kebencian
abhorrent	mengerikan
abide	tinggal
abiding	kekal
ability	kemampuan
abject	hina
ablation	ablasi
ablaze	terang benderang
able	sanggup
abnormal	abnormal
abnormality	kelainan
aboard	naik kapal
abode	tempat tinggal
abolish	menghapuskan
abolition	penghapusan
abominable	mengerikan
abominate	merasa jijik
abomination	kekejian
aboriginal	asli
abort	menggugurkan
abortion	abortus
abortive	gagal
abound	berlimpah
abovementioned	disebutkan di atas
abracadabra	omong kosong
abrasion	abrasi
abrasive	kasar
abreast	sejajar
abroad	di luar negeri
abrogate	membatalkan
abrupt	mendadak
abruptly	tiba-tiba
abscess	abses
absence	ketiadaan
absent	tidak hadir
absentee	absen
absenteeism	ketidakhadiran
absinthe	Absinth
absolute	mutlak
absolution	absolusi
absolve	membebaskan
absorb	menyerap
absorbed	terserap
absorbent	penyerap
absorbing	mengasyikkan
absorption	penyerapan
abstain	menjauhkan diri
abstention	abstensi
abstinence	pantang
abstract	abstrak
abstraction	abstraksi
absurd	konyol
absurdity	kemustahilan
abundance	kelimpahan
abundant	berlimpah
abuse	penyalahgunaan
abused	disalahgunakan
abusive	kasar
abutment	abutment
aby	NO TRANSLATION
abysmal	bukan kepalang
abyss	neraka
academic	akademik
academy	akademi
accede	menyetujui
accelerant	akselerator
accelerate	mempercepat
accelerated	dipercepat
acceleration	percepatan
accelerator	akselerator
accent	aksen
accentuate	menonjolkan
accept	menerima
acceptable	diterima
acceptance	penerimaan
acceptances	akseptasi
access	mengakses
accessible	dapat diakses
accession	pencapaian
accessory	tambahan
accident	kecelakaan
accidental	kebetulan
accidentally	tanpa sengaja
acclaim	tepuk tangan sorak
accolade	penghargaan
accommodate	menampung
accommodation	akomodasi
accompaniment	iringan
accompany	menemani
accompanying	menemani
accomplice	kaki tangan
accomplish	menyelesaikan
accomplished	ulung
accomplishment	prestasi
accord	sesuai
accordance	sesuai
accordion	akordeon
account	rekening
accountability	akuntabilitas
accountable	bertanggung jawab
accountant	akuntan
accounting	akuntansi
accounts	akun
accredited	terakreditasi
accretion	pertambahan
accrue	bertambah
accueil	NO TRANSLATION
accumulate	mengumpulkan
accumulation	akumulasi
accuracy	ketepatan
accurate	tepat
accursed	terkutuk
accusation	tuduhan
accusative	accusative
accuse	menuduh
accused	dituduh
accuser	penuduh
accusing	menuduh
accustomed	biasa
ace	kartu as
acetic	acetic
acetylene	asetilen
ache	sakit
achieve	mencapai
achieved	tercapai
achievement	prestasi
aching	sakit
achy	achy
acid	AC id
acidity	keasaman
acknowledge	mengakui
acknowledged	diakui
acknowledgement	pengakuan
acknowledgment	pengakuan
acme	puncak
acne	jerawat
acorn	biji pohon ek
acoustic	akustik
acoustics	akustik
acquaint	memperkenalkan
acquaintance	kenalan
acquainted	berkenalan
acquiescence	persetujuan
acquire	memperoleh
acquiring	memperoleh
acquisition	perolehan
acquisitions	akuisisi
acquit	membebaskan
acquittal	pembebasan
acre	acre
acreage	acreage
acres	hektar
acrobat	akrobat
acrylic	akrilik
act	bertindak
acting	akting
action	tindakan
action figure	figur aksi
actionable	dapat ditindaklanjuti
activate	mengaktifkan
activation	pengaktifan
active	aktif
activist	aktivis
activity	aktivitas
actor	aktor
actress	aktris
actual	sebenarnya
actuality	aktualitas
actuary	aktuaris
acuity	ketajaman
acumen	ketajaman
acupuncture	akupunktur
acute	akut
acutely	akut
ad	iklan
adage	pepatah
adamant	bersikukuh
adapt	menyesuaikan
adaptable	mudah beradaptasi
adaptation	adaptasi
add	menambahkan
added	ditambahkan
addendum	tambahan
adder	adder
addict	pecandu
addicted	kecanduan
addiction	kecanduan
addictive	Ketagihan
addition	tambahan
additional	tambahan
additive	aditif
address	alamat
addressee	penerima
addresses	alamat
adept	mahir
adequacy	kecukupan
adequate	memadai
adhere	mengikuti
adherence	ketaatan
adherent	penganut
adhering	mengikuti
adhesion	adhesi
adhesive	perekat
adieu	kata perpisahan
adipose	adipose
adjacency	kedekatan
adjacent	berdekatan
adjective	kata sifat
adjoining	berdampingan
adjourn	menunda
adjournment	penundaan
adjudicate	mengadili
adjudication	pengadilan
adjunct	tambahan
adjust	menyesuaikan
adjuster	adjuster
adjustment	pengaturan
adjuvant	pembantu
admin	admin
administer	mengelola
administration	administrasi
administrative	administratif
administrator	administrator
admirable	terpuji
admiral	laksamana
admiralty	admiralty
admiration	kekaguman
admire	mengagumi
admired	kagum
admirer	pengagum
admiring	mengagumi
admissibility	dapat diterima
admissible	diterima
admission	penerimaan
admit	mengakui
admittance	masuk
admitted	mengaku
admitting	mengakui
admixture	campuran
admonition	peringatan
ado	ribut
