Word	gd
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	s an Iar-
abacus	abacus
abalone	air bheag
abandon	thrèig
abandoned	thrèigte
abandonment	thrèigsinn
abashed	sgaoileadh
abate	tighinn
abatement	sgaoileadh
abba	abba
abbey	abaid
abbot	NO TRANSLATION
abbreviate	s an Iar-
abbreviation	giorrachadh
abdomen	abdomen
abdominal	bhoilg
abduct	smuaineachadh
abduction	a 'goid
aberrant	s an Iar-
aberration	ionaltradh
abeyance	stad
abhor	gràin
abhorrence	gràdh
abhorrent	sàmhach
abide	cumail suas
abiding	fuireach
ability	comas
abject	air falbh
ablation	ablation
ablaze	fuasgladh
able	comasach
abnormal	neo-àbhaisteach
abnormality	neo-àbhaisteach
aboard	air bòrd
abode	fuireach
abolish	cur às dha
abolition	cur às dha
abominable	gràineil
abominate	gràineil
abomination	gràineileachd
aboriginal	tùsanach
abort	stad
abortion	gort
abortive	sguir
abound	mòran
abovementioned	air an ainmeachadh
abracadabra	abracadabra
abrasion	ionnsaigh
abrasive	sgiobalta
abreast	an-diugh
abroad	thall thairis
abrogate	ath-ghairm
abrupt	brusnach
abruptly	ainneamh
abscess	abscess
absence	neo-làthaireachd
absent	neo-làthaireach
absentee	neo-làthaireach
absenteeism	neo-làthaireachd
absinthe	s an Iar-
absolute	iomlan
absolution	absolution
absolve	dìoghaltas
absorb	sguabadh às
absorbed	sgaoileadh
absorbent	sgaoileadh
absorbing	a 'gabhail a-steach
absorption	iongnadh
abstain	abstain
abstention	gealladh
abstinence	dìoghaltas
abstract	abairtean
abstraction	tarraing
absurd	annasach
absurdity	annasach
abundance	pailteas
abundant	pailteas
abuse	mì-ghnàthachadh
abused	mì-ghnàthachadh
abusive	mì-ghnàthach
abutment	sgaoileadh
aby	NO TRANSLATION
abysmal	dìomhaireachd
abyss	abyss
academic	acadaimigeach
academy	acadamaidh
accede	aontaich
accelerant	luathachadh
accelerate	luathaich
accelerated	luathaichte
acceleration	luathachadh
accelerator	luathadair
accent	accent
accentuate	ag atharrachadh
accept	gabhail
acceptable	iomchaidh
acceptance	gabhail ris
acceptances	gabhail ris
access	ruigsinneachd
accessible	ruigsinneach
accession	ruigsinneachd
accessory	uisge
accident	tubaist
accidental	tubaist
accidentally	gu dona
acclaim	cliù
accolade	s an Iar-
accommodate	gabh àite
accommodation	àite-fuirich
accompaniment	coise
accompany	gabh còmhla
accompanying	a 'dol còmhla
accomplice	coimheach
accomplish	deàrn
accomplished	air a choileanadh
accomplishment	coileanadh
accord	bòrd
accordance	rèir
accordion	bogsa-ciùil
account	cunntas
accountability	cunntachalachd
accountable	cunntachail
accountant	cunntasach
accounting	cunntasachd
accounts	cunntasan
accredited	dearbhaichte
accretion	creachadh
accrue	a 'fàs
accueil	NO TRANSLATION
accumulate	cruinneachadh
accumulation	cruinneachadh
accuracy	cruinneas
accurate	ceart
accursed	mallaichte
accusation	casaid
accusative	cùis-laghail
accuse	casaid
accused	a chaidh a chasaid
accuser	neach-casaid
accusing	a 'cur an cèill
accustomed	cleachdte
ace	ace
acetic	acetic
acetylene	acetylene
ache	diadhaidh
achieve	coileanadh
achieved	air a choileanadh
achievement	coileanadh
aching	a 'caoidh
achy	achy
acid	acid
acidity	acfhainn
acknowledge	ag aithneachadh
acknowledged	ag aithneachadh
acknowledgement	aideachadh
acknowledgment	aideachadh
acme	acme
acne	acne
acorn	dearcan
acoustic	acoustic
acoustics	acoustics
acquaint	eòlach
acquaintance	eòlach
acquainted	eòlach
acquiescence	eòlas
acquire	faighinn
acquiring	faighinn
acquisition	togail
acquisitions	togail
acquit	dìoghaltas
acquittal	sgaoileadh
acre	acair
acreage	acreage
acres	acair
acrobat	acrobat
acrylic	acrylic
act	act
acting	cleasachd
action	gnìomh
action figure	àireamh gnìomha
actionable	gnìomhach
activate	gnìomhaich
activation	gnìomhachd
active	gnìomhach
activist	gnìomhaiche
activity	gnìomhachd
actor	actar
actress	bana-chleasaiche
actual	fìor
actuality	Truailleadh
actuary	actuary
acuity	giùlan
acumen	acumen
acupuncture	acupuncture
acute	acute
acutely	gu math
ad	ad
adage	adage
adamant	s an Iar-
adapt	atharrachadh
adaptable	sùbailte
adaptation	atharrachadh
add	cuir
added	a bharrachd
addendum	addendum
adder	nathair
addict	ionnsaigh
addicted	glic
addiction	fulangas
addictive	duilich
addition	a bharrachd
additional	a bharrachd
additive	sgaoileadh
address	seòladh
addressee	neach-amharc
addresses	seòlaidhean
adept	sgiobalta
adequacy	freagarrachd
adequate	iomchaidh
adhere	cumail
adherence	cumail a 'dol
adherent	sgaoileadh
adhering	cumail suas
adhesion	adhesion
adhesive	gluasaid
adieu	adieu
adipose	adipose
adjacency	dlùth
adjacent	ri taobh
adjective	buadhair
adjoining	ri taobh
adjourn	ath-ghoirid
adjournment	ath-thagradh
adjudicate	breithneachadh
adjudication	breithneachadh
adjunct	sgaoileadh
adjust	atharrachadh
adjuster	Adhar Soilleir
adjustment	atharrachadh
adjuvant	adjuvant
admin	rianachd
administer	rianachd
administration	rianachd
administrative	rianachd
