Word	mr
aaaaaaah	अहाअआह
aaaah	NO TRANSLATION
aardvark	अर्डवर्कर
aback	मागे
abacus	अॅकॅकस
abalone	शिरोबिंदू
abandon	त्याग
abandoned	बेबंद
abandonment	विरक्ती
abashed	abashed
abate	कमी करा
abatement	कमी होणे
abba	अब्बा
abbey	मठ
abbot	NO TRANSLATION
abbreviate	संक्षिप्त करा
abbreviation	संक्षेप
abdomen	उदर
abdominal	उदरपोकळी
abduct	अपहरण करणे
abduction	अपहरण
aberrant	राजन
aberration	विचलन
abeyance	स्थगिती
abhor	तिरस्कार करणे
abhorrence	तिरस्कार
abhorrent	घृणास्पद
abide	पालन ​​करा
abiding	पालन ​​करणारा
ability	क्षमता
abject	बेपर्वा
ablation	प्रतिबंध
ablaze	ज्वलंत
able	सक्षम
abnormal	असामान्य
abnormality	विकृती
aboard	जहाजात
abode	निवासस्थान
abolish	रद्द
abolition	उन्मूलन
abominable	तिरस्करणीय
abominate	घृणास्पद
abomination	घृणा
aboriginal	आदिवासी
abort	निरस्त करा
abortion	गर्भपात
abortive	निष्फळ
abound	वैपुल्य
abovementioned	वर उल्लेख केल्याप्रमाणे
abracadabra	अब्रकडाब्रा
abrasion	ओरखडा
abrasive	अपघर्षक
abreast	बरोबरीने
abroad	परदेशात
abrogate	रद्द करा
abrupt	आकस्मिक
abruptly	एकाएकी
abscess	गळू
absence	अनुपस्थिती
absent	अनुपस्थित
absentee	अनुपस्थित
absenteeism	अनुपस्थिती
absinthe	अर्कांथि
absolute	परिपूर्ण
absolution	क्षमादान
absolve	मुक्त करणे
absorb	शोषणे
absorbed	गढून गेलेला
absorbent	शोषक
absorbing	चित्तवेधक
absorption	शोषण
abstain	दूर राहणे
abstention	स्थानांतर
abstinence	मदिरा
abstract	गोषवारा
abstraction	शून्यमनस्कता
absurd	हास्यास्पद
absurdity	विचित्रपणा
abundance	भरपूर प्रमाणात असणे
abundant	मुबलक
abuse	दुरुपयोग
abused	गैरवापर
abusive	अपमानास्पद
abutment	जागा
aby	NO TRANSLATION
abysmal	फारच थोडे
abyss	तळही दिसणार नाही असे खोल विवर
academic	शैक्षणिक
academy	अकादमी
accede	अभिस्वीकृत करा
accelerant	प्रवेगक
accelerate	गती वाढवा
accelerated	प्रवेगक
acceleration	प्रवेग
accelerator	प्रवेगक
accent	उच्चारण
accentuate	भर घालणे
accept	स्वीकारा
acceptable	स्वीकार्य
acceptance	स्वीकृती
acceptances	स्वीकृती
access	प्रवेश
accessible	प्रवेशयोग्य
accession	प्रवेश
accessory	ऍक्सेसरीसाठी
accident	अपघात
accidental	अपघाती
accidentally	चुकून
acclaim	प्रशंसा
accolade	प्रशंसा
accommodate	सामावून
accommodation	निवास
accompaniment	साथीदार
accompany	बरोबर सोबत
accompanying	जेथील
accomplice	साथीदार
accomplish	साध्य करा
accomplished	कुशल
accomplishment	सिद्धी
accord	एकमताने
accordance	नुसार
accordion	स्वरपटल असणारे वाद्य
account	खाते
accountability	जबाबदारी
accountable	जबाबदार
accountant	अकाउंटंट
accounting	लेखा
accounts	खाती
accredited	मान्यताप्राप्त
accretion	वाढ
accrue	वाढणे
accueil	NO TRANSLATION
accumulate	संचित करणे
accumulation	संचय
accuracy	अचूकता
accurate	अचूक
accursed	शापित
accusation	आरोप
accusative	आरोप
accuse	आरोप
accused	आरोपी
accuser	अभियोक्ता
accusing	आरोप करीत आहे
accustomed	नित्याचा
ace	निपुण
acetic	आभासी
acetylene	एसिटिलीन
ache	दुखणे
achieve	साध्य
achieved	साध्य
achievement	यश
aching	दुखणे
achy	अच्सी
acid	आम्ल
acidity	आंबटपणा
acknowledge	कबूल करा
acknowledged	कबूल केले
acknowledgement	पोचपावती
acknowledgment	पोचपावती
acme	कळस
acne	पुरळ
acorn	ओक वृक्षाचे फळ
acoustic	अकौस्टिक
acoustics	ध्वनिविज्ञान
acquaint	परिचित
acquaintance	परिचित
acquainted	परिचित
acquiescence	मूकसंस्कार
acquire	घेणे
acquiring	प्राप्त करीत आहे
acquisition	संपादन
acquisitions	अधिग्रहण
acquit	निर्दोष
acquittal	निर्दोष सुटलेला
acre	एकर
acreage	लागवडीखालील जमीन
acres	एकर
acrobat	अॅक्रॉबॅट
acrylic	सुपरगलू
act	कृती करा
acting	अभिनय
action	क्रिया
action figure	क्रिया आकृती
actionable	फिर्याद
activate	सक्रिय करा
activation	सक्रियण
active	सक्रिय
activist	कार्यकर्ते
activity	क्रियाकलाप
actor	अभिनेता
actress	अभिनेत्री
actual	वास्तविक
actuality	वास्तविकता
actuary	ऍक्चुअरी
acuity	तीक्ष्णता
