Word	sv
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	en rygg
abacus	kulram
abalone	havsöra
abandon	överge
abandoned	övergiven
abandonment	övergivenhet
abashed	förlägen
abate	avta
abatement	minskning
abba	abba
abbey	kloster
abbot	NO TRANSLATION
abbreviate	förkorta
abbreviation	förkortning
abdomen	buk
abdominal	abdominal
abduct	röva bort
abduction	bortförande
aberrant	abnorm
aberration	avvikelse
abeyance	vilande
abhor	avsky
abhorrence	avsky
abhorrent	motbjudande
abide	vistas
abiding	bestående
ability	förmåga
abject	abject
ablation	ablation
ablaze	i lågor
able	stånd
abnormal	onormal
abnormality	abnormitet
aboard	ombord
abode	boning
abolish	avskaffa
abolition	avskaffande
abominable	avskyvärd
abominate	hata
abomination	avsky
aboriginal	ursprunglig
abort	avbryta
abortion	abort
abortive	misslyckad
abound	finnas i överflöd
abovementioned	ovan nämnda
abracadabra	NO TRANSLATION
abrasion	abrasion
abrasive	slipmedel
abreast	i bredd
abroad	utomlands
abrogate	avskaffa
abrupt	abrupt
abruptly	tvärt
abscess	abscess
absence	frånvaro
absent	frånvarande
absentee	frånvarande
absenteeism	skolk
absinthe	absint
absolute	absolut
absolution	absolution
absolve	frikänna
absorb	absorbera
absorbed	absorberad
absorbent	absorberande
absorbing	absorberande
absorption	absorption
abstain	avstå
abstention	röstnedläggelse
abstinence	nykterhet
abstract	abstrakt
abstraction	abstraktion
absurd	absurd
absurdity	absurditet
abundance	överflöd
abundant	riklig
abuse	missbruk
abused	abused
abusive	missbruk
abutment	anliggning
aby	NO TRANSLATION
abysmal	bottenlös
abyss	avgrund
academic	akademisk
academy	akademi
accede	ansluta sig
accelerant	accelerator
accelerate	accelerera
accelerated	accelererad
acceleration	acceleration
accelerator	accelerator
accent	accent
accentuate	accentuera
accept	acceptera
acceptable	godtagbar
acceptance	godkännande
acceptances	accepter
access	tillgång
accessible	tillgänglig
accession	anslutning
accessory	tillbehör
accident	olycka
accidental	tillfällig
accidentally	av misstag
acclaim	hylla
accolade	accolade
accommodate	rymma
accommodation	boende
accompaniment	ackompanjemang
accompany	följa
accompanying	medföljande
accomplice	medbrottsling
accomplish	utföra
accomplished	skicklig
accomplishment	prestation
accord	bevilja
accordance	överensstämmelse
accordion	dragspel
account	konto
accountability	ansvarighet
accountable	ansvarig
accountant	revisor
accounting	bokföring
accounts	konton
accredited	ackrediterad
accretion	anhopning
accrue	falla
accueil	NO TRANSLATION
accumulate	ackumulera
accumulation	ackumulation
accuracy	noggrannhet
accurate	exakt
accursed	förbannad
accusation	anklagelse
accusative	ackusativ
accuse	anklaga
accused	den anklagade
accuser	åklagare
accusing	anklagar
accustomed	van vid
ace	ess
acetic	ättiksyra
acetylene	acetylen
ache	värk
achieve	uppnå
achieved	uppnått
achievement	prestation
aching	värk
achy	ömmande
acid	syra
acidity	aciditet
acknowledge	erkänna
acknowledged	erkänd
acknowledgement	bekräftelse
acknowledgment	bekräftelse
acme	höjdpunkt
acne	acne
acorn	ekollon
acoustic	akustisk
acoustics	akustik
acquaint	bekanta
acquaintance	bekantskap
acquainted	bekant
acquiescence	samtycke
acquire	tillägna sig
acquiring	förvärvande
acquisition	förvärv
acquisitions	förvärv
acquit	frikänna
acquittal	frikännande
acre	tunnland
acreage	areal
acres	tunnland
acrobat	akrobat
acrylic	akryl-
act	spela teater
acting	verkande
action	handling
action figure	åtgärdsfigur
actionable	angripbara
activate	Aktivera
activation	aktivering
active	aktiva
activist	aktivist
activity	aktivitet
actor	skådespelare
actress	skådespelerska
actual	faktisk
actuality	verklighet
actuary	aktuarie
acuity	skärpa
acumen	mannaskap
acupuncture	akupunktur
acute	akut
acutely	akut
ad	a.d
adage	ordspråk
adamant	orubblig
adapt	anpassa
adaptable	anpassbar
adaptation	anpassning
add	Lägg till
added	Lagt till
addendum	tillägg
adder	huggorm
addict	missbrukare
addicted	Beroende
addiction	missbruk
addictive	beroendeframkallande
addition	tillägg
additional	ytterligare
additive	tillsats
address	adress
addressee	adressat
addresses	adresser
adept	skicklig
adequacy	lämplighet
adequate	tillräcklig
adhere	ansluta sig
adherence	efterlevnad
adherent	anhängare
adhering	vidhäftning
adhesion	adhesion
adhesive	lim
adieu	adjö
adipose	adipös
adjacency	närbelägenhet
adjacent	intilliggande
adjective	adjektiv
adjoining	angränsande
adjourn	ajournera
adjournment	uppskov
adjudicate	döma
adjudication	prövning
adjunct	komplement
adjust	justera
adjuster	justerare
adjustment	justering
adjuvant	adjuvans
admin	administration
administer	administrera
administration	administrering
administrative	administrativ
administrator	administratör
admirable	beundransvärd
admiral	amiral
admiralty	admiralty
admiration	beundran
admire	beundra
admired	beundrade
admirer	beundrare
admiring	beundrande
admissibility	tillåtlighet
admissible	tillåtlig
admission	tillträde
admit	erkänna
admittance	tillträde
admitted	medgav
admitting	insläpp
admixture	blandning
admonition	förmaning
ado	väsen
adobe	adobe
adolescence	ungdom
adolescent	tonåring
adopt	anta
adoption	adoption
adoptive	adoptiv
adorable	förtjusande
adoration	tillbedjan
adore	älska
adoring	beundrande
