Word	mt
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abakus
abalone	widnet il-baħar
abandon	tabbanduna
abandoned	abbandunat
abandonment	abbandun
abashed	abashed
abate	abate
abatement	tnaqqis
abba	abba
abbey	Abbey
abbot	NO TRANSLATION
abbreviate	agħżel
abbreviation	taqsira
abdomen	addome
abdominal	addominali
abduct	abduct
abduction	ħtif
aberrant	aberrant
aberration	aberrazzjoni
abeyance	sospensjoni
abhor	abhor
abhorrence	abhorrence
abhorrent	abhorrent
abide	jirrispettaw
abiding	jobdu
ability	abbiltà
abject	abject
ablation	ablazzjoni
ablaze	ablaze
able	kapaċi
abnormal	anormali
abnormality	anormalità
aboard	abbord
abode	joqgħod
abolish	abolix
abolition	abolizzjoni
abominable	abominable
abominate	abominate
abomination	abomination
aboriginal	aboriġinali
abort	abort
abortion	abort
abortive	aborti
abound	naraw
abovementioned	hawn fuq imsemmi
abracadabra	abracadabra
abrasion	brix
abrasive	li joborxu
abreast	aġġornat
abroad	barra mill-pajjiż
abrogate	irrevoka
abrupt	f'daqqa
abruptly	f'daqqa
abscess	axxess
absence	nuqqas
absent	assenti
absentee	assenti
absenteeism	assenteiżmu
absinthe	absinthe
absolute	assoluta
absolution	assoluzzjoni
absolve	jeħles
absorb	jassorbu
absorbed	assorbita
absorbent	assorbenti
absorbing	assorbiment
absorption	assorbiment
abstain	jastjenu
abstention	astensjoni
abstinence	astinenza
abstract	astratt
abstraction	astrazzjoni
absurd	assurd
absurdity	assurdità
abundance	abbundanza
abundant	abbundanti
abuse	abbuż
abused	abbużat
abusive	abbużiv
abutment	ta 'kontra
aby	NO TRANSLATION
abysmal	mhux normali
abyss	abyss
academic	akkademiku
academy	akkademja
accede	taċċedi
accelerant	aċċelerant
accelerate	taċċellera
accelerated	Aċċelerat
acceleration	aċċelerazzjoni
accelerator	aċċeleratur
accent	aċċent
accentuate	aċċentwat
accept	taċċetta
acceptable	aċċettabbli
acceptance	aċċettazzjoni
acceptances	aċċettazzjonijiet
access	aċċess
accessible	aċċessibbli
accession	adeżjoni
accessory	aċċessorju
accident	aċċident
accidental	aċċidentali
accidentally	aċċidentalment
acclaim	akklamazzjoni
accolade	accolade
accommodate	jakkomoda
accommodation	akkomodazzjoni
accompaniment	akkumpanjament
accompany	jakkumpanjaw
accompanying	li takkumpanja
accomplice	kompliċi
accomplish	twettaq
accomplished	mwettqa
accomplishment	tlestija
accord	accord
accordance	b'konformità
accordion	accordion
account	kont
accountability	responsabilità
accountable	responsabbli
accountant	accountant
accounting	kontabilità
accounts	kontijiet
accredited	akkreditat
accretion	akkrezjoni
accrue	jakkumula
accueil	NO TRANSLATION
accumulate	jakkumulaw
accumulation	akkumulazzjoni
accuracy	preċiżjoni
accurate	preċiża
accursed	imdejqa
accusation	akkuża
accusative	akkużat
accuse	akkuża
accused	akkużat
accuser	akkużatur
accusing	akkuża
accustomed	imdorrija
ace	ass
acetic	aċetiku
acetylene	aċitilena
ache	uġigħ
achieve	tikseb
achieved	miksub
achievement	kisba
aching	uġigħ
achy	achy
acid	aċidu
acidity	Aċidità
acknowledge	nirrikonoxxi
acknowledged	rikonoxxut
acknowledgement	rikonoxximent
acknowledgment	rikonoxximent
acme	Acme
acne	akne
acorn	acorn
acoustic	akustiku
acoustics	akustika
acquaint	familjari
acquaintance	familjarità
acquainted	familjari
acquiescence	kunsens
acquire	jakkwistaw
acquiring	takkwista
acquisition	akkwist
acquisitions	akkwisti
acquit	acquit
acquittal	liberazzjoni
acre	acre
acreage	qisien
acres	acres
acrobat	acrobat
acrylic	akriliku
act	att
acting	jaġixxi
action	azzjoni
action figure	figura ta 'azzjoni
actionable	azzjonabbli
activate	attivat
activation	attivazzjoni
active	attiva
activist	attivist
activity	attività
actor	attur
actress	attriċi
actual	attwali
actuality	realtà
actuary	attwarju
acuity	akutezza
acumen	dehen
acupuncture	acupuncture
acute	akuta
acutely	b'mod akut
ad	ad
adage	qawl
adamant	b'saħħtu
adapt	tadatta
adaptable	adattabbli
adaptation	adattament
add	żid
added	miżjud
addendum	addendum
adder	adder
addict	ivvizzjat
addicted	vizzju
addiction	vizzju
addictive	vizzju
addition	żieda
additional	addizzjonali
additive	addittiv
address	indirizz
addressee	destinatarju
addresses	Indirizzi
adept	adept
adequacy	adegwatezza
adequate	adegwat
adhere	jaderixxu
adherence	aderenza
adherent	aderenti
adhering	aderazzjoni
adhesion	adeżjoni
adhesive	kolla
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	maġenb
adjective	aġġettiv
adjoining	kontigwi
adjourn	taġġorna
adjournment	aġġornament
adjudicate	tiddeċiedi
adjudication	aġġudikazzjoni
adjunct	flimkien
adjust	taġġusta
adjuster	jaġġusta
adjustment	aġġustament
adjuvant	adjuvant
admin	admin
administer	tamministra
administration	amministrazzjoni
administrative	amministrattiv
administrator	amministratur
admirable	ammirabbli
admiral	ammiral
admiralty	ammirali
admiration	ammirazzjoni
admire	jammiraw
admired	ammirajt
admirer	ammiratur
admiring	admiring
