Word	kk
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	шапалақ
abacus	абакус
abalone	абалон
abandon	бас тарт
abandoned	тасталған
abandonment	бас тарту
abashed	абзал
abate	азайтыңыз
abatement	қысқарту
abba	abba
abbey	Аббей
abbot	NO TRANSLATION
abbreviate	қысқартылған
abbreviation	аббревиатура
abdomen	іш
abdominal	ішек
abduct	ұрлау
abduction	ұрлау
aberrant	аберрант
aberration	аберрация
abeyance	абайла
abhor	жек көріңіз
abhorrence	жексұрындық
abhorrent	жексұрын
abide	сақтаңыз
abiding	ұстанатын
ability	қабілеті
abject	сәтсіздік
ablation	абляция
ablaze	жалған
able	қабілетті
abnormal	қалыпты емес
abnormality	ауытқушылық
aboard	бортында
abode	тұру
abolish	жою
abolition	жою
abominable	ұятсыз
abominate	ұятсыз
abomination	жындыру
aboriginal	байырғы
abort	тоқтату
abortion	түсік тастау
abortive	аборт
abound	мол
abovementioned	жоғарыда көрсетілген
abracadabra	abracadabra
abrasion	абразивті
abrasive	абразивті
abreast	жақсырақ
abroad	шетелде
abrogate	жою
abrupt	күрт
abruptly	кенеттен
abscess	абсцесс
absence	болмауы
absent	жоқ
absentee	сырттай
absenteeism	жоқтығы
absinthe	absinthe
absolute	абсолютті
absolution	абсолютті
absolve	абсолютті
absorb	жұтып
absorbed	жұтып қойды
absorbent	абсорбент
absorbing	жұту
absorption	жұту
abstain	қалыс қалмаңыз
abstention	қалыс қалмау
abstinence	абстиненция
abstract	дерексіз
abstraction	абстракция
absurd	абсурд
absurdity	абсурдтық
abundance	молшылық
abundant	мол
abuse	теріс пайдалану
abused	теріс пайдаланған
abusive	қорлаушы
abutment	абаттандыру
aby	NO TRANSLATION
abysmal	қараңғылық
abyss	шыңырау
academic	академиялық
academy	академия
accede	қосылуға
accelerant	жылдамдатқыш
accelerate	тездету
accelerated	жеделдетілген
acceleration	жеделдету
accelerator	үдеткіш
accent	екпін
accentuate	назар аударыңыз
accept	қабылдау
acceptable	қолайлы
acceptance	қабылдау
acceptances	қабылдау
access	қол жеткізу
accessible	қол жетімді
accession	қосылу
accessory	аксессуарлар
accident	апат
accidental	кездейсоқтық
accidentally	кездейсоқ емес
acclaim	мақтану
accolade	аккредиттеу
accommodate	орналастыру
accommodation	тұру
accompaniment	сүйемелдеу
accompany	жүреді
accompanying	сүйемелдеу
accomplice	серіктес
accomplish	орындаңыз
accomplished	орындады
accomplishment	жетістік
accord	келісім
accordance	сәйкес
accordion	аккордеон
account	есептік жазба
accountability	есеп берушілік
accountable	есеп беруші
accountant	есепші
accounting	бухгалтерлік есеп
accounts	шоттар
accredited	аккредиттелген
accretion	аккреция
accrue	жиналады
accueil	NO TRANSLATION
accumulate	жинақталады
accumulation	жинақтау
accuracy	дәлдігі
accurate	дәл
accursed	қарғыс
accusation	айыптау
accusative	айыптаушы
accuse	айыптау
accused	айыпталушы
accuser	айыптаушы
accusing	айыптау
accustomed	үйренді
ace	ace
acetic	сірке суы
acetylene	ацетилен
ache	ауырсыну
achieve	жету
achieved	қол жеткізілді
achievement	жетістік
aching	ащы
achy	ащы
acid	қышқыл
acidity	қышқылдығы
acknowledge	мойындау
acknowledged	мойындады
acknowledgement	тану
acknowledgment	тану
acme	акме
acne	безеу
acorn	пияз
acoustic	акустикалық
acoustics	акустика
acquaint	таныстырыңыз
acquaintance	танысу
acquainted	танысты
acquiescence	келісу
acquire	сатып алу
acquiring	сатып алу
acquisition	сатып алу
acquisitions	сатып алу
acquit	ақтау
acquittal	ақтау
acre	акр
acreage	алаңы
acres	акр
acrobat	акробат
acrylic	акрил
act	әрекет
acting	әрекет ету
action	әрекет
action figure	әрекет фигурасы
actionable	әрекет етуі мүмкін
activate	белсендіру
activation	белсендіру
active	белсенді
activist	белсенді
activity	белсенділік
actor	актер
actress	актриса
actual	нақты
actuality	өзектілігі
actuary	актуарий
acuity	өткірлігі
acumen	ақырын
acupuncture	Акупунктура
acute	өткір
acutely	өткір
ad	хабарландыру
adage	адалдық
adamant	еріксіз
adapt	бейімделу
adaptable	бейімделгіш
adaptation	бейімделу
add	қосу
added	қосылды
addendum	қосымша
adder	ұстаушы
addict	тәуелді адам
addicted	тәуелді
addiction	тәуелділік
addictive	тәуелділік
addition	қосу
additional	Қосымша
additive	қоспа
address	мекен-жайы
addressee	адресат
addresses	мекен-жайлары
adept	шебер
adequacy	жеткіліктілік
adequate	жеткілікті
adhere	ұстаңыз
adherence	адалдық
adherent	ұстамды
adhering	ұстану
adhesion	адгезиясы
adhesive	жабысқақ
adieu	adieu
adipose	май
adjacency	көрші
adjacent	көрші
adjective	сын есім
adjoining	жақын
adjourn	кейінге қалдыру
adjournment	кешіктіру
adjudicate	сот шешімі
adjudication	сот шешімі
adjunct	қосалқы
adjust	реттеу
adjuster	реттегіш
adjustment	реттеу
adjuvant	адъювант
admin	admin
administer	әкімшілік ету
administration	әкімшілік
administrative	әкімшілік
administrator	әкімші
admirable	таңғажайып
admiral	адмирал
admiralty	әуе көлігі
admiration	таңырқау
admire	таң
admired	таң қалдырды
