Word	lo
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	ງົດງາມ
abacus	abacus
abalone	ອືດ
abandon	ຍົກເລີກ
abandoned	ຖືກປະຖິ້ມໄວ້
abandonment	ການຍົກເລີກ
abashed	ຂັດຂວາງ
abate	abate
abatement	abatement
abba	abba
abbey	ໂບດ
abbot	NO TRANSLATION
abbreviate	ຫຍໍ້
abbreviation	abbreviation
abdomen	ທ້ອງ
abdominal	ທ້ອງ
abduct	ການລ່ວງລະເມີດ
abduction	ການລ່ວງລະເມີດ
aberrant	aberrant
aberration	aberration
abeyance	ຄວາມຊົ່ວຄາວ
abhor	ຂີ້ລັກ
abhorrence	ຫນ້າກຽດຊັງ
abhorrent	ຫນ້າກຽດຊັງ
abide	ປະຕິບັດຕາມ
abiding	abiding
ability	ຄວາມສາມາດ
abject	ຂີ້ຮ້າຍ
ablation	ablation
ablaze	ເຜົາ
able	ສາມາດ
abnormal	ຜິດປົກກະຕິ
abnormality	ຄວາມຜິດປົກກະຕິ
aboard	ເທິງເຮືອ
abode	ອາໃສຢູ່
abolish	ຍົກເລີກ
abolition	abolition
abominable	ຫນ້າກຽດຊັງ
abominate	ຂີ້ລັກ
abomination	ຄວາມຫນ້າກຽດຊັງ
aboriginal	native
abort	ຍົກເລີກ
abortion	ການທໍາແທ້ງ
abortive	abortive
abound	ອຸດົມສົມບູນ
abovementioned	ຂ້າງເທິງນີ້
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	abreast
abroad	ຢູ່ຕ່າງປະເທດ
abrogate	ຍົກເລີກ
abrupt	ຢ່າງກະທັນຫັນ
abruptly	ຢ່າງລວດໄວ
abscess	ຂີ້ຝຸ່ນ
absence	ຂາດ
absent	ບໍ່ມີ
absentee	absentee
absenteeism	absenteeism
absinthe	absinthe
absolute	ຢ່າງແທ້ຈິງ
absolution	absolution
absolve	ຍົກເວັ້ນ
absorb	ດູດເອົາ
absorbed	ດູດຊຶມ
absorbent	absorbent
absorbing	ດູດດື່ມ
absorption	absorption
abstain	ຫ້າມ
abstention	abstention
abstinence	abstinence
abstract	abstract
abstraction	abstraction
absurd	ໂງ່
absurdity	absurdity
abundance	ອຸດົມສົມບູນ
abundant	ອຸດົມສົມບູນ
abuse	ການຂົ່ມເຫັງ
abused	ຖືກທາລຸນ
abusive	ລ່ວງລະເມີດ
abutment	ຕໍາແຫນ່ງ
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	ການສຶກສາ
academy	ໂຮງຮຽນ
accede	accede
accelerant	accelerant
accelerate	ເລັ່ງ
accelerated	ເລັ່ງລັດ
acceleration	ການເລັ່ງ
accelerator	accelerator
accent	accent
accentuate	ເນັ້ນຫນັກ
accept	ຍອມ​ຮັບ
acceptable	acceptable
acceptance	ການຍອມຮັບ
acceptances	ການຍອມຮັບ
access	ເຂົ້າເຖິງ
accessible	ສາມາດເຂົ້າເຖິງໄດ້
accession	ເຂົ້າຮ່ວມ
accessory	ອຸປະກອນເສີມ
accident	ອຸບັດຕິເຫດ
accidental	accidental
accidentally	ໂດຍບັງເອີນ
acclaim	ຊົມເຊີຍ
accolade	ຊົມເຊີຍ
accommodate	ຮອງຮັບ
accommodation	ທີ່ພັກອາໄສ
accompaniment	accompaniment
accompany	ມາພ້ອມກັບ
accompanying	accompanying
accomplice	ສົມຈິງ
accomplish	ປະສົບຜົນສໍາເລັດ
accomplished	accomplished
accomplishment	ຜົນສໍາເລັດ
accord	ສອດຄ້ອງ
accordance	ສອດຄ້ອງ
accordion	accordion
account	ບັນຊີ
accountability	ຄວາມຮັບຜິດຊອບ
accountable	ຮັບຜິດຊອບ
accountant	ບັນຊີ
accounting	ການບັນຊີ
accounts	ບັນຊີ
accredited	accredited
accretion	accretion
accrue	ເພີ່ມຂຶ້ນ
accueil	NO TRANSLATION
accumulate	ສະສົມ
accumulation	ການເພີ່ມຂື້ນ
accuracy	ຄວາມຖືກຕ້ອງ
accurate	ຖືກຕ້ອງ
accursed	ຖືກກຽດຊັງ
accusation	ຂໍ້ກ່າວຫາ
accusative	ຂໍ້ກ່າວຫາ
accuse	ກ່າວຫາ
accused	ຖືກກ່າວຫາ
accuser	accuser
accusing	ການກ່າວຫາ
accustomed	ຄຸ້ນເຄີຍກັບ
ace	ace
acetic	acetic
acetylene	acetylene
ache	ເຈັບປວດ
achieve	ປະສົບຜົນສໍາເລັດ
achieved	ບັນລຸໄດ້
achievement	ຜົນສໍາເລັດ
aching	aching
achy	achy
acid	ອາຊິດ
acidity	acidity
acknowledge	ຮັບຮູ້
acknowledged	ຍອມຮັບ
acknowledgement	ການຍອມຮັບ
acknowledgment	ການຍອມຮັບ
acme	acme
acne	acne
acorn	acorn
acoustic	acoustic
acoustics	acoustics
acquaint	ຮູ້ຈັກ
acquaintance	ຄົນຮູ້ຈັກ
acquainted	ຮູ້ຈັກ
acquiescence	acquiescence
acquire	acquire
acquiring	acquiring
acquisition	ການໄດ້ມາ
acquisitions	ການຊື້ຂາຍ
acquit	acquit
