Word	hy
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	շեղում
abacus	անբավարարություն
abalone	abalone
abandon	լքել
abandoned	լքված
abandonment	հրաժարվելով
abashed	ցնցված
abate	քանդել
abatement	նվազեցում
abba	abba
abbey	Աբբեյ
abbot	աբբոթ
abbreviate	կրճատել
abbreviation	հապավումը
abdomen	որովայնը
abdominal	որովայնային
abduct	առեւանգում
abduction	առեւանգում
aberrant	անպտուղ
aberration	ավերումը
abeyance	անհանգստություն
abhor	զզվելի
abhorrence	նենգություն
abhorrent	նողկալի
abide	մնացեք
abiding	անընդհատ
ability	կարողություն
abject	խաբեություն
ablation	աբլյացիան
ablaze	կործանում
able	կարող
abnormal	աննորմալ
abnormality	աննորմալություն
aboard	երկայնքով
abode	բնակություն հաստատելու համար
abolish	վերացնել
abolition	վերացնելը
abominable	նողկալի
abominate	խաբեություն
abomination	նողկանք
aboriginal	բնիկ
abort	անջատել
abortion	աբորտ
abortive	անբավարար
abound	ընդարձակ
abovementioned	վերը նշված
abracadabra	Աբրահամյան
abrasion	քայքայում
abrasive	հղկող
abreast	ընդմիշտ
abroad	արտերկրում
abrogate	վերացնելը
abrupt	կտրուկ
abruptly	կտրուկ
abscess	անբավարարություն
absence	բացակայություն
absent	բացակայում է
absentee	բացակա
absenteeism	բացակայություն
absinthe	Աբսթիֆը
absolute	բացարձակ
absolution	անհեթեթություն
absolve	բացարձակ
absorb	կլանել
absorbed	կլանված
absorbent	ներծծող
absorbing	կլանող
absorption	կլանում
abstain	ձեռնպահ մնալ
abstention	ձեռնպահ մնալուց
abstinence	ձեռնպահ մնալով
abstract	վերացական
abstraction	Աբստրակցիա
absurd	անհեթեթ
absurdity	անհեթեթություն
abundance	առատություն
abundant	առատ
abuse	չարաշահում
abused	չարաշահել
abusive	չարաշահող
abutment	ամբարտակը
aby	NO TRANSLATION
abysmal	անբարոյական
abyss	անդունդ
academic	ակադեմիական
academy	ակադեմիա
accede	միանալը
accelerant	արագացնող
accelerate	արագացնել
accelerated	արագացված
acceleration	արագացումը
accelerator	արագացուցիչ
accent	շեշտը
accentuate	ընդգծում
accept	ընդունել
acceptable	ընդունելի
acceptance	ընդունում
acceptances	ընդունումներ
access	մուտք
accessible	մատչելի
accession	միանալը
accessory	Աքսեսուարը
accident	վթար
accidental	պատահական
accidentally	պատահաբար
acclaim	վայելեք
accolade	մրցանակաբաշխություն
accommodate	տեղավորել
accommodation	բնակեցումը
accompaniment	ուղեկցությամբ
accompany	ուղեկցում
accompanying	ուղեկցող
accomplice	մեղադրյալ
accomplish	իրականացնել
accomplished	ավարտվեց
accomplishment	ավարտելը
accord	համաձայնություն
accordance	համաձայն
accordion	ակորդեոն
account	հաշիվը
accountability	պատասխանատվություն
accountable	հաշվետու
accountant	հաշվապահ
accounting	հաշվապահական հաշվառում
accounts	հաշիվներ
accredited	հավատարմագրված
accretion	ընդլայնում
accrue	հավաքել
accueil	NO TRANSLATION
accumulate	կուտակվում
accumulation	կուտակումը
accuracy	ճշգրտություն
accurate	ճշգրիտ
accursed	անիծված
accusation	մեղադրանք
accusative	մեղադրող
accuse	մեղադրեց
accused	մեղադրյալը
accuser	մեղադրող
accusing	մեղադրելով
accustomed	սովոր
ace	ace
acetic	քացախ
acetylene	ացետիլեն
ache	ցավ
achieve	հասնել
achieved	հասնելը
achievement	ձեռքբերումը
aching	ցավոտ
achy	ցավոտ
acid	թթու
acidity	թթվայնությունը
acknowledge	ընդունեք
acknowledged	ընդունեց
acknowledgement	ճանաչում
acknowledgment	ճանաչում
acme	ակամա
acne	պզուկներ
acorn	կաղամբ
acoustic	ակուստիկ
acoustics	ակուստիկա
acquaint	ծանոթացնել
acquaintance	ծանոթություն
acquainted	ծանոթացավ
acquiescence	համաձայնությամբ
acquire	ձեռք բերեք
acquiring	ձեռք բերելու համար
acquisition	ձեռք բերում
acquisitions	ձեռքբերումներ
acquit	արդարացում
acquittal	արդարացում
acre	ակր
acreage	տարածք
acres	ակրքեր
acrobat	ակրոբատ
acrylic	ակրիլ
act	գործել
acting	գործողություն
action	գործողություն
action figure	գործողությունների ցուցանիշը
actionable	կիրառելի
activate	ակտիվացնել
activation	ակտիվացում
active	ակտիվ
activist	ակտիվիստ
activity	գործունեությունը
actor	դերասան
actress	դերասանուհի
actual	փաստացի
actuality	իրողությունը
actuary	դերասանուհի
acuity	կտրուկություն
acumen	հացադուլ
acupuncture	ասեղնաբուժություն
acute	սուր
acutely	կտրուկ
ad	Հայտարարություն
adage	կեղծիք
adamant	անհանգիստ
adapt	հարմարեցնել
adaptable	հարմարվողական
adaptation	հարմարեցում
add	ավելացրեք
added	ավելացրեց
addendum	հավելված
adder	հագեցած
addict	թմրամոլ
addicted	կախվածություն
addiction	կախվածություն
addictive	կախարդական
addition	լրացուցիչ
additional	լրացուցիչ
additive	հավելում
address	հասցեով
addressee	հասցեատեր
addresses	հասցեներ
adept	խորամիտ
adequacy	համապատասխանությունը
adequate	համարժեք
adhere	հավատարիմ մնալուն
adherence	հավատարմությունը
