Word	so
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	iska dhaaf
abandoned	ka tagay
abandonment	ka tagid
abashed	waa laga xishooday
abate	abate
abatement	dhimista
abba	Abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	soo gaabin
abbreviation	gaaban
abdomen	caloosha
abdominal	caloosha
abduct	afduubka
abduction	afduub
aberrant	aberrant
aberration	aberration
abeyance	abeenance
abhor	necbahay
abhorrence	Necbaan
abhorrent	abhorrent
abide	sii joog
abiding	u hoggaansama
ability	awoodda
abject	gardarrada
ablation	ablation
ablaze	dabacsan
able	awood u leh
abnormal	aan caadi ahayn
abnormality	Dhibaato la'aan
aboard	ku xiran
abode	joogaa
abolish	joojiso
abolition	baabi'inta
abominable	abominable
abominate	abominate
abomination	abomin
aboriginal	aboriginal
abort	soo daayo
abortion	ilmo iska soo ridid
abortive	soo dejin
abound	badisay
abovementioned	kor ku xusan
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	xayawaanka
abroad	dibadda
abrogate	daqma
abrupt	kacsan
abruptly	si kadis ah
abscess	xayawaanka
absence	maqnaansho
absent	maqan
absentee	maqnaanshaha
absenteeism	maqnaanshaha
absinthe	maqnaashaha
absolute	isku dhafan
absolution	xayiraadda
absolve	gooyaan
absorb	nuugo
absorbed	nuugay
absorbent	nuugaya
absorbing	nuujinta
absorption	nuugista
abstain	iska dhaaf
abstention	joojinta
abstinence	dhaafis
abstract	abstract
abstraction	isdhaafsi
absurd	qarsoodi
absurdity	cillad la'aan
abundance	faro badan
abundant	badan
abuse	xadgudub
abused	lagu xadgudbay
abusive	xadgudub ah
abutment	iska-horimaadka
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	tacliin
academy	akadeemiyadda
accede	isku dhafan
accelerant	dhakhso ah
accelerate	Dheecaan
accelerated	dardargeliyey
acceleration	dardargelinta
accelerator	gawaarida
accent	muqaalka
accentuate	muujinayaan
accept	aqbalo
acceptable	la aqbali karo
acceptance	aqbalida
acceptances	aqbalida
access	helitaanka
accessible	la heli karo
accession	galitaanka
accessory	gaaban
accident	shilka
accidental	shil ahaan
accidentally	shil ahaan
acclaim	qirasho
accolade	abaalmarin
accommodate	la soco
accommodation	hoy
accompaniment	raacsan
accompany	raacaya
accompanying	raacaya
accomplice	fulin
accomplish	dhammaystir
accomplished	dhammeystiray
accomplishment	guuleysiga
accord	heshiis
accordance	raacaya
accordion	Aqoonta
account	xisaabta
accountability	xisaabtan
accountable	xisaabtan
accountant	xisaabiye
accounting	xisaabinta
accounts	xisaabaadka
accredited	la aqoonsan yahay
accretion	isku kalsoonaan
accrue	isu keenid
accueil	NO TRANSLATION
accumulate	isku ururin
accumulation	isku-darka
accuracy	saxsanaanta
accurate	sax ah
accursed	ladilay
accusation	eedayn
accusative	eedeeysane
accuse	eedayn
accused	lagu eedeeyay
accuser	eedeeysane
accusing	eedeeyay
accustomed	caadaysteen
ace	ace
acetic	acetic
acetylene	acetylene
ache	xanuunka
achieve	gaari
achieved	guulaystay
achievement	guuleysiga
aching	xanaaqa
achy	xanaaqa
acid	aashito
acidity	acidity
acknowledge	qirasho
acknowledged	qiray
acknowledgement	Aqoonsi
acknowledgment	Aqoonsi
acme	acme
acne	finan
acorn	waa la furay
acoustic	acoustic
acoustics	akustik
acquaint	aqoonta
acquaintance	Aqoonta
acquainted	yaqaan
acquiescence	qaadashada
acquire	helitaanka
acquiring	helitaanka
acquisition	iibsiga
acquisitions	iibsiga
acquit	ka gooyaan
acquittal	iibsashada
acre	waa
acreage	Beeridda
acres	acres
acrobat	acrobat
acrylic	acrylic
act	fal
acting	jilitaanka
action	ficil
action figure	shaxda shaqada
actionable	waxqaban kara
activate	dhaqaajiso
activation	dhaqdhaqaaqa
active	firfircoon
activist	dhaqdhaqaaqa
activity	waxqabadka
actor	jilaa
actress	actress
actual	dhab ah
actuality	dhabta ah
actuary	dhaqdhaqaaqa
acuity	qummanaanta
acumen	acumen
acupuncture	acupuncture
acute	degdeg ah
acutely	si degdeg ah
ad	ad
adage	adage
adamant	kalsooni
adapt	la qabsadaan
adaptable	la qabsan karo
adaptation	iswaafajinta
add	ku dar
added	ku daray
addendum	Lifaaq
adder	adder
addict	isticmaalka
addicted	qabatimay
addiction	qabatinka
addictive	qabatimo
addition	iskudar
additional	dheeraad ah
additive	kudheer
address	cinwaanka
addressee	cinwaanka
addresses	cinwaanada
adept	adept
adequacy	ku filan
adequate	ku filan
adhere	ade
adherence	adherence
adherent	adherent
adhering	adhering
adhesion	adhesion
adhesive	adhesive
adieu	adieu
adipose	adipose
adjacency	xadka
adjacent	ku dhawdhaw
adjective	tilmaamaha
adjoining	isku xirka
adjourn	dib u dhig
adjournment	dib u dhigid
adjudicate	garsoore
adjudication	Xukunka
adjunct	isku dhafan
adjust	la qabsado
adjuster	dejiye
adjustment	hagaajinta
adjuvant	caawiye
admin	admin
administer	maamulaa
administration	maamulka
administrative	maamul
administrator	maamulaha
admirable	farxad leh
