Word	ps
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	ژغورل
aback	ناڅاپه
abacus	abacus
abalone	ابلون
abandon	پرېښودل
abandoned	پرېښودل شوی
abandonment	پرېښودل
abashed	وتښتیدل
abate	خوندیتوب
abatement	تاوان
abba	abba
abbey	ابی
abbot	NO TRANSLATION
abbreviate	لنډیز
abbreviation	لنډیز
abdomen	پيښې
abdominal	پوټکي
abduct	تښتول
abduction	اختطاف
aberrant	الوتونکو
aberration	تاوان
abeyance	پاتې کیدل
abhor	خوره
abhorrence	بښنه
abhorrent	خوندور
abide	ژوندی
abiding	ژغورل
ability	وړتیا
abject	غصب
ablation	تښتول
ablaze	سترګو
able	وړ
abnormal	غیر معمولي
abnormality	نا امني
aboard	ساتل
abode	ځای
abolish	ړنګول
abolition	اختطاف
abominable	ناڅاپه
abominate	زیانمن کړئ
abomination	ککړتيا
aboriginal	اصلي
abort	ځورول
abortion	سقط
abortive	بدبختی
abound	ډوب
abovementioned	پورته یاد شوي دي
abracadabra	abracadabra
abrasion	تاوان
abrasive	ککړتیا
abreast	بډایټ
abroad	بهر
abrogate	لغوه
abrupt	ناڅاپه
abruptly	ناڅاپه
abscess	استثنا
absence	نشتوالى
absent	غیر حاضر
absentee	غیر حاضر
absenteeism	ناپوهۍ
absinthe	غیر حاضر
absolute	مطلق
absolution	ناڅاپه
absolve	مطلق
absorb	جذب کول
absorbed	جذب شوی
absorbent	جذب
absorbing	جذب کول
absorption	جذب
abstain	خلاصون
abstention	خساره
abstinence	ناڅاپه
abstract	لنډیز
abstraction	بندیز
absurd	ناڅاپه
absurdity	ناڅاپه
abundance	کثرت
abundant	ډیر زیات
abuse	ناوړه ګټه اخیستنه
abused	ناوړه ګټه اخیستنه
abusive	ناوړه ګټه پورته کول
abutment	خوندیتوب
aby	NO TRANSLATION
abysmal	بې وزله
abyss	اوړه
academic	اکادمیک
academy	اکادمۍ
accede	اعتراف
accelerant	چټک
accelerate	چټک کړئ
accelerated	چټک شوی
acceleration	سرعت
accelerator	چټکونکی
accent	تلفات
accentuate	تلفات
accept	منل
acceptable	منلو وړ
acceptance	منل
acceptances	منل
access	لاس رسی
accessible	لاس رسی
accession	لاس رسی
accessory	لاس رسی
accident	حادثه
accidental	ناڅاپه
accidentally	په ناڅاپه توګه
acclaim	تعریف
accolade	مستند
accommodate	ځای پر ځای کول
accommodation	استوګنې
accompaniment	ملګرتیا
accompany	سره
accompanying	ملګري
accomplice	ملګري
accomplish	ترسره کول
accomplished	بشپړ شوی
accomplishment	لاسته راوړنه
accord	تړون
accordance	تعهد
accordion	تړون
account	ګڼون
accountability	احتساب
accountable	ځواب ورکوونکی
accountant	محاسبې
accounting	محاسبه
accounts	حسابونه
accredited	باورلیک شوی
accretion	اعتراف
accrue	اعتراف
accueil	NO TRANSLATION
accumulate	جمع کول
accumulation	راغونډول
accuracy	سمه
accurate	سمه ده
accursed	تکرار شوی
accusation	تورونه
accusative	تورونه
accuse	تورونه
accused	تورن دی
accuser	تورونه
accusing	تورونه
accustomed	عادي
ace	Ace
acetic	acetic
acetylene	اکټیلین
ache	درد
achieve	ترلاسه کول
achieved	ترلاسه شوی
achievement	لاسته راوړنه
aching	درد
achy	achy
acid	اسيد
acidity	استعداد
acknowledge	منل
acknowledged	منل شوی
acknowledgement	منل
acknowledgment	منل
acme	acme
acne	مڼه
acorn	کښت
acoustic	صوتيک
acoustics	صوتي
acquaint	پوهیږي
acquaintance	واقف
acquainted	پوهیدل
acquiescence	لیوالتیا
acquire	ترلاسه کول
acquiring	ترلاسه کول
acquisition	استمالک
acquisitions	لاسته راوړنې
acquit	ترلاسه کول
acquittal	اختلال
acre	اکري
acreage	اکریج
acres	جریبه
acrobat	اکروب
acrylic	اکیلیک
act	عمل وکړئ
acting	عمل کوي
action	عمل
action figure	د عمل انځور
actionable	عمل وړ
activate	فعال کړئ
activation	فعالیت
active	فعال
activist	فعاله
activity	فعالیت
actor	اداکار
actress	اداکار
actual	حقیقي
actuality	حقیقت
actuary	عمل
acuity	یووالی
acumen	اکسیجن
acupuncture	اکپونیکچر
acute	حاد
acutely	په چټکۍ سره
ad	اعلان
adage	منډه
adamant	مننه
adapt	تطابق
adaptable	تطبیق وړ
adaptation	تطابق
add	اضافه کړئ
added	اضافه شوه
addendum	اضافه کول
adder	کڅوړی
addict	روږدي
addicted	روږدي
addiction	روږدي
addictive	روږدي
addition	اضافه کول
additional	اضافي
additive	اضافه کول
address	پته
addressee	پته
addresses	پته
adept	مننه
adequacy	کافیتوب
adequate	کافی
adhere	تعقیب
adherence	تعقیب
adherent	مننه
adhering	تعقیب
adhesion	عضوي
adhesive	چپکشی
adieu	اډییو
adipose	زېرمه
adjacency	نږدې
adjacent	نږدې
adjective	صفت
adjoining	نښلول
adjourn	ځنډول
adjournment	اختلاط
adjudicate	پرځای کیدل
adjudication	محکمه
adjunct	ضمیمه
adjust	سمون
adjuster	پلستر
adjustment	سمون
adjuvant	نږدې
admin	اداره
administer	اداره کول
administration	اداره
administrative	اداري
administrator	مدیر
