Word	ht
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	natirèl
aback	aback
abacus	abacus
abalone	abalone
abandon	abandone
abandoned	abandone
abandonment	abandon
abashed	abbade
abate	abate
abatement	abatement
abba	abba
abbey	Abbey
abbot	NO TRANSLATION
abbreviate	abreje
abbreviation	abrevyasyon
abdomen	vant
abdominal	nan vant
abduct	kidnape
abduction	anlèvman
aberrant	anòmal
aberration	Aberration
abeyance	absans
abhor	dezòd
abhorrence	abominasyon
abhorrent	abondan
abide	rete
abiding	respekte
ability	kapasite
abject	abi
ablation	ablasyon
ablaze	dife
able	kapab
abnormal	nòmal
abnormality	anòmal
aboard	abò
abode	rete
abolish	aboli
abolition	abolisyon
abominable	abominab
abominate	abominab
abomination	abominasyon
aboriginal	Aborijèn
abort	abò
abortion	avòtman
abortive	avètisman
abound	gen anpil
abovementioned	Reyaksyon
abracadabra	abrakadabra
abrasion	fwotman
abrasive	abrazif
abreast	okouran
abroad	aletranje
abrogate	abrogate
abrupt	brid sou kou
abruptly	sibitman
abscess	absè
absence	absans
absent	absan
absentee	absan
absenteeism	absans
absinthe	Absentee
absolute	absoli
absolution	absolution
absolve	absòbe
absorb	absòbe
absorbed	absòbe
absorbent	absòbe
absorbing	absòbe
absorption	absòpsyon
abstain	konsakre
abstention	refansyon
abstinence	Abstinans
abstract	abstrè
abstraction	abstraksyon
absurd	absid
absurdity	absurdite
abundance	abondans
abundant	abondan
abuse	abi
abused	abize
abusive	abizif
abutment	abutman
aby	NO TRANSLATION
abysmal	malè
abyss	gwo twou san fon
academic	akademik
academy	akademi
accede	akote
accelerant	akseleratè
accelerate	akselere
accelerated	akselere
acceleration	akselerasyon
accelerator	akseleratè
accent	aksan
accentuate	aksantué
accept	aksepte
acceptable	akseptab
acceptance	aksepte
acceptances	aksepte
access	aksè
accessible	aksesib
accession	asansyon
accessory	akseswar
accident	aksidan
accidental	aksidan
accidentally	aksidantèlman
acclaim	aklame
accolade	akolad
accommodate	akomode
accommodation	aranjman
accompaniment	akonpayman
accompany	akonpanye
accompanying	akonpaye
accomplice	konplis
accomplish	akonpli
accomplished	akonpli
accomplishment	akonplisman
accord	akò
accordance	dapre
accordion	akòdeyon
account	kont
accountability	responsabilite
accountable	responsab
accountant	kontab
accounting	kontablite
accounts	kont
accredited	akredite
accretion	Aksyon
accrue	akimile
accueil	NO TRANSLATION
accumulate	akimile
accumulation	akimilasyon
accuracy	presizyon
accurate	egzat
accursed	madichon
accusation	akizasyon
accusative	Aksyon
accuse	akize
accused	akize
accuser	akize
accusing	akize
accustomed	abitye
ace	Ace
acetic	Acetic
acetylene	asetilèn
ache	fè mal
achieve	reyalize
achieved	reyalize
achievement	siksè
aching	douloureux
achy	achy
acid	asid
acidity	asidite
acknowledge	rekonèt
acknowledged	rekonèt
acknowledgement	rekonesans
acknowledgment	rekonesans
acme	Akme
acne	akne
acorn	glase
acoustic	akoustik
acoustics	akoustik
acquaint	konnen
acquaintance	zanmi
acquainted	konnen
acquiescence	akeri
acquire	jwenn
acquiring	akeri
acquisition	akizisyon
acquisitions	akizisyon
acquit	achte
acquittal	Aksè
acre	acre
acreage	sipèfisi
acres	kawo tè
acrobat	Acrobat
acrylic	Acrylic
act	aji
acting	aji
action	aksyon
action figure	aksyon figi
actionable	aksyonèl
activate	aktive
activation	aktivasyon
active	aktif
activist	aktivis
activity	aktivite
actor	aktè
actress	aktris
actual	aktyèl
actuality	Reyalite
actuary	aktuèl
acuity	akwite
acumen	akim
acupuncture	akuponktur
acute	egi
acutely	aktyèlman
ad	anons
adage	adage
adamant	detèmine
adapt	adapte
adaptable	adaptab
adaptation	adaptasyon
add	ajoute
added	te ajoute
addendum	ajoute
adder	adisyone
addict	adikte
addicted	dejwe
addiction	Dejwe
addictive	depandans
addition	adisyon
additional	plis
additive	aditif
address	adrès
addressee	adrese
addresses	adrès
adept	adept
adequacy	konpetans
adequate	adekwat
adhere	adhere
adherence	aderans
adherent	aderan
adhering	konfòme
adhesion	adezyon
adhesive	adezif
adieu	adieu
adipose	adipoz
adjacency	adjasans
adjacent	adjasan
adjective	Adjektif
adjoining	vwazin
adjourn	ajoune
adjournment	ajounman
adjudicate	Adjwen
adjudication	Adjwen
adjunct	adjunct
adjust	ajiste
adjuster	ajisteman
adjustment	ajisteman
adjuvant	adjuvant
admin	admin
administer	administre
administration	administrasyon an
administrative	administratif
administrator	administratè
admirable	admirab
admiral	admiral
admiralty	admiralite
admiration	admirasyon
admire	admire
admired	admire
admirer	admiratè
admiring	admirasyon
admissibility	admisibilite
admissible	admisib
admission	admisyon
admit	admèt
admittance	Admisyon
admitted	admèt
admitting	admèt
admixture	admixture
admonition	avètisman
ado	ado
adobe	Adobe
adolescence	adolesans
adolescent	adolesan
adopt	adopte
adoption	adopsyon
adoptive	adopsyon
adorable	adorabl
adoration	Adoration
adore	adore
adoring	adore
adorn	dekore
adornment	dekorasyon
adrenalin	adrenalin
adrenaline	adrenalin
adrift	Adjwen
adult	adilt
adulterated	adiltè
adulterer	adiltè
adultery	adiltè
