Word	ky
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Aardvark
aback	артка кетенчиктей
abacus	Эдгар
abalone	зоот
abandon	баш
abandoned	таштап кеткен
abandonment	баш тартуу
abashed	кызарып,
abate	Abate
abatement	каршы күрөшүүчү
abba	Abba
abbey	Эби
abbot	NO TRANSLATION
abbreviate	кыскартуу
abbreviation	аббревиатура
abdomen	курсак
abdominal	Курсак
abduct	уурдап кетүү
abduction	уурдоо
aberrant	бузук
aberration	бурмалануу
abeyance	тогон
abhor	жек
abhorrence	жек
abhorrent	жийиркеничтүү
abide	баш ийүүсү
abiding	Кечиримдүү
ability	жөндөмдүүлүгү
abject	жек көрүмчү
ablation	кыскарышына
ablaze	жалтыраган
able	алат
abnormal	нормада болбогон
abnormality	бузулуулар
aboard	бортунда
abode	жайы
abolish	жокко чыгаруу
abolition	алып салуу
abominable	жийиркеничтүү
abominate	abominate
abomination	жийиркеничтүү
aboriginal	жергиликтүү
abort	жокко чыгаруу
abortion	боюнан алдыруу
abortive	болбой калды
abound	көп
abovementioned	Көрсөтүлгөн
abracadabra	Abracadabra
abrasion	майдалоо
abrasive	кесек
abreast	кабардар
abroad	чет
abrogate	насх
abrupt	тике
abruptly	кескин
abscess	туюк жара
absence	жок болуу
absent	келбей калган
absentee	тизмеден чыгуу
absenteeism	барбайт
absinthe	пихталуу
absolute	абсолюттук
absolution	акталууну
absolve	аруулайм
absorb	сиңдирүү
absorbed	арна
absorbent	тизесинде
absorbing	кызыктуу
absorption	жутуу
abstain	өзүн өзү тыйуу
abstention	кечиримдүүлүк
abstinence	кармануу
abstract	жалпылаган
abstraction	суу
absurd	мааниси жок
absurdity	орунсуз
abundance	кенч
abundant	мол
abuse	кыянаттык
abused	кыянаттык
abusive	кордогон
abutment	машаларга
aby	NO TRANSLATION
abysmal	пастыктан
abyss	түпсүз
academic	академиялык
academy	академия
accede	кошула
accelerant	accelerant
accelerate	тездетүү
accelerated	тездетилген
acceleration	ылдамдатуу
accelerator	тездеткич
accent	туура айтуу
accentuate	буруу
accept	кабыл алуу
acceptable	алгылыктуу
acceptance	таануу
acceptances	кабыл алуу
access	мүмкүндүк алуу
accessible	мүмкүн болгон
accession	кошулуу
accessory	шерик
accident	кокустук
accidental	кокус
accidentally	кокустан
acclaim	Acclaim
accolade	ТААНУУ
accommodate	ылайыкташтыруу
accommodation	жайлуулук
accompaniment	узатуу
accompany	кошо жүрүү
accompanying	коштоочу
accomplice	көмөкчү
accomplish	аткаруу
accomplished	Аткарылды
accomplishment	оорундоо
accord	юнча
accordance	ылайык
accordion	аккордеон
account	каттоо эсеби
accountability	жоопкерчилик
accountable	жооптуу
accountant	эсепчи эркек
accounting	эсепке алуу
accounts	каттоо
accredited	аккредиттелген
accretion	кёбёйъъ
accrue	жыйноо
accueil	NO TRANSLATION
accumulate	чогултуу
accumulation	чогултуу
accuracy	тактык
accurate	так
accursed	каргышка
accusation	айыптоо
accusative	табыш жөндөмө
accuse	айыптоо
accused	айыпталуучу
accuser	айыптоочу
accusing	айыпташты
accustomed	мактанчаак
ace	карта ойунундагы туз
acetic	уксус
acetylene	менен иштөөчү
ache	оору
achieve	жетүү
achieved	жетишилди
achievement	жетишкендик
aching	ооруп
achy	Ачы
acid	кислота
acidity	кычкылдыгы
acknowledge	моюнга
acknowledged	мойнуна алды
acknowledgement	тааныгандык
acknowledgment	тааныгандык
acme	акматикалык
acne	бетке чыккан ысык
acorn	желудь
acoustic	акустикалык
acoustics	акустика
acquaint	тааныштыруу
acquaintance	таанышчылык
acquainted	тааныш
acquiescence	катышмайынча
acquire	ээ болуу
acquiring	сатып алуу
acquisition	табылга
acquisitions	сатып алуулар
acquit	ак деп табуу
acquittal	актоо
acre	акр
acreage	гадан
acres	акр
acrobat	акробат эркек
acrylic	акрил
act	иш
acting	актердук
action	иш-аракеттер
action figure	иш-көрсөткүч
actionable	иш жүзүнө
activate	жандыруу
activation	жандандыруу
active	активдүү
activist	активист аял
activity	иш
actor	актер
actress	актриса
actual	чыныгы
actuality	актуалдуулугу
actuary	актуардык
acuity	көчүүсү
acumen	Хунайнда
acupuncture	акупунктура
acute	курч
acutely	тийет
ad	жарнама
adage	деген сөздү
adamant	адамант / катуу
adapt	көнүү
adaptable	көнүмдүү
adaptation	кайра жасоо
add	кошуу
added	Досторду кошо элек
addendum	толуктоо
adder	үрөйүн учурат
addict	бир нерсеге берилген аял
addicted	көз каранды
addiction	зыян нерсеге берилүү
addictive	көз каранды
addition	толуктоо
additional	кошумча
additive	кошумча
address	дарек
addressee	дареги
addresses	даректери
adept	жакшыраак
adequacy	шайкештиги
adequate	шайкеш
adhere	карманышат
adherence	сактоо
adherent	жактоочу
adhering	кармануу
adhesion	адгезия
adhesive	жабышчаак
adieu	кош
adipose	Майлуу
adjacency	жакындык
adjacent	жакынкы
adjective	сын атооч
adjoining	жайгашкан
adjourn	убактысын узартуу
adjournment	токтотуп
adjudicate	мыйзым
adjudication	чечими
adjunct	иши
adjust	тууралоо
adjuster	кураштыруучу
adjustment	тууралоо
