Word	yi
aaaaaaah	אַאַאַאַאַאַאַה
aaaah	NO TRANSLATION
aardvark	aardvark
aback	אַבאַק
abacus	אַבאַקוס
abalone	אַבאַלאָון
abandon	פאַרלאָזן
abandoned	פארלאזן
abandonment	פארלאנגט
abashed	אַבאַשעד
abate	abate
abatement	abatement
abba	abba
abbey	אַבי
abbot	NO TRANSLATION
abbreviate	אַבריוויייט
abbreviation	אַבריווייישאַן
abdomen	בויך
abdominal	אַבדאָמינאַל
abduct	אַבדאַקט
abduction	אַבדאַקשאַן
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	פאַרטראָגן
abhorrence	אַבאָררענסע
abhorrent	אַבלאָרענט
abide	בלייַבן
abiding	בלייַבן
ability	ability
abject	אַבדזשעקט
ablation	אַבלאַטיאָן
ablaze	אַבלייז
able	קענען
abnormal	אַבנאָרמאַל
abnormality	אַבנאָרמאַלאַטיז
aboard	אַבאָרד
abode	abode
abolish	אָפּשאַפן
abolition	אַבאַלישאַן
abominable	אַבאַמאַנאַבאַל
abominate	אַבאַמאַנייטאַד
abomination	אַבאַמאַניישאַן
aboriginal	אַבאָריגינאַל
abort	abort
abortion	אַבאָרשאַן
abortive	אַבאָרטיוו
abound	abound
abovementioned	אויבן דערמאנטער
abracadabra	NO TRANSLATION
abrasion	אַברייזשאַן
abrasive	אַברייסיוו
abreast	אַבזאָרבד
abroad	אויסלאנד
abrogate	אַבראָגאַטע
abrupt	פּלוצעמדיק
abruptly	פּלוצלינג
abscess	אַבסעסס
absence	absence
absent	absent
absentee	absentee
absenteeism	absenteeism
absinthe	absinthe
absolute	אַבסאָלוט
absolution	אַבסאָלוט
absolve	absolve
absorb	אַרייַנציען
absorbed	אַבזאָרבד
absorbent	אַבזאָרבאַנט
absorbing	אַבזאָרבינג
absorption	אַבזאָרפּשאַן
abstain	abstain
abstention	abstention
abstinence	abstinence
abstract	אַבסטראַקט
abstraction	אַבסטראַקציע
absurd	אַבסורד
absurdity	אַבסורדיטי
abundance	גראָב
abundant	שעפעדיק
abuse	זידלען
abused	אַביוזד
abusive	אַביוזינג
abutment	אַבוטמענט
aby	NO TRANSLATION
abysmal	אַביסמאַל
abyss	אַביס
academic	אַקאַדעמיק
academy	אַקאַדעמי
accede	באַפרייַען
accelerant	אַקסעלעראַנט
accelerate	פאַרגיכערן
accelerated	אַקסעלערייטיד
acceleration	אַקסעלעריישאַן
accelerator	אַקסעלעראַטאָר
accent	אַקצענט
accentuate	אַקצענט
accept	אָננעמען
acceptable	פּאַסיק
acceptance	אַקסעפּטאַנס
acceptances	אַקסעסעריז
access	צוטריט
accessible	accessible
accession	אַקסעססיאָן
accessory	אַקסעסערי
accident	accident
accidental	אַקסאַדענטאַל
accidentally	אַקסאַדענטאַלי
acclaim	אַקליימד
accolade	צוקונפֿט
accommodate	צושטעלן
accommodation	אַקאַמאַדיישאַן
accompaniment	accompaniment
accompany	accompany
accompanying	באגלייטעטע
accomplice	אַקשלי
accomplish	ויספירן
accomplished	accomplished
accomplishment	אַקאַמפּלישמאַנט
accord	accord
accordance	לויט
accordion	accordion
account	חשבון
accountability	אַקאַונטאַביליטי
accountable	אַקאַונטאַבאַל
accountant	קאָנטראָטאַנט
accounting	אַקאַונטינג
accounts	אַקאַונץ
accredited	אַקרעדיטיד
accretion	accretion
accrue	accrue
accueil	NO TRANSLATION
accumulate	אָנקלייַבן
accumulation	אַקיומיאַליישאַן
accuracy	אַקיעראַסי
accurate	פּינטלעך
accursed	געהיילט
accusation	אַקיוזיישאַן
accusative	אַקיומיאַלייטיד
accuse	באַשולדיקן
accused	אָנגעקלאָגט
accuser	אַקיוזער
accusing	אַקיוזינג
accustomed	צוגעוווינט
ace	ace
acetic	acetic
acetylene	acetylene
ache	שאַטן
achieve	דערגרייכן
achieved	אַטשיווד
achievement	achievement
aching	וויי טאָן
achy	אַטשיעוו
acid	זויער
acidity	אַסידאַטי
acknowledge	באַשטעטיקן
acknowledged	אַקקנאָוואַלד
acknowledgement	דערקענטעניש
acknowledgment	דערקענטעניש
acme	acme
acne	אַקנע
acorn	acorn
acoustic	אַקוסטיש
acoustics	אַקוסטיקס
acquaint	באַקענען זיך
acquaintance	באַקאַנט
acquainted	באַקאַנט
acquiescence	אַקוויסעססענסע
acquire	קריגן
acquiring	אַקוויירינג
acquisition	אַקוואַזישאַן
acquisitions	אַקוואַזישאַנז
acquit	acquisition
acquittal	acquittal
acre	acre
acreage	acreage
acres	acres
acrobat	אַקראָבאַט
acrylic	אַקריליק
act	אַקט
acting	אַקטינג
action	קאַמף
action figure	action figure
actionable	actionable
activate	אַקטאַווייט
activation	אַקטאַוויישאַן
active	אַקטיוו
activist	אַקטיוויסט
activity	טעטיקייט
actor	אַקטיאָר
actress	אַקטריסע
actual	actual
actuality	actuality
actuary	אַקטואַרי
acuity	אַקווייט
acumen	אַקומען
acupuncture	אַקיופּאַנגקטשער
acute	אַקוטע
acutely	acutely
ad	אַד
adage	adage
adamant	אַדאַמאַנט
adapt	אַדאַפּט
adaptable	אַדאַפּטאַבאַל
adaptation	אַדאַפּטאַטיאָן
add	לייג צו
added	צוגעגעבן
addendum	Addendum
adder	אַדדרעססער
addict	נאַרקאָמאַן
addicted	אַדדיקטעד
addiction	אַדיקשאַן
addictive	אַדיקטיוו
addition	דערצו
additional	additional
additive	אַדאַטיוו
address	אַדרעס
addressee	אַדרעסיי
addresses	ווענדט
adept	adept
adequacy	adequacy
adequate	adequate
adhere	אַדכיר
adherence	adherence
adherent	adherent
adhering	אַדכירינג
adhesion	adhesion
adhesive	קלעפּיק
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	שכייניש
adjective	אַדישנאַל
adjoining	אַדזשוינינג
adjourn	יבעררעדן
adjournment	סענדז
adjudicate	באַשטעטיקן
adjudication	אדרעס
adjunct	אַדזשונקט
adjust	סטרויערן
adjuster	adjuster
adjustment	אַדזשאַסטמאַנט
adjuvant	אַדדזשווואַנט
admin	אַדמין
administer	פירן
administration	אַדמיניסטראַציע
administrative	אַדמיניסטראַטיווע
administrator	administrator
admirable	admirable
admiral	אַדמיראַל
admiralty	אַדמיראַלטי
admiration	אַדמיירינג
admire	admire
admired	admired
admirer	אַדמיירער
admiring	אַדמיירינג
admissibility	admissibility
admissible	admissible
admission	אַרייַנטרעטן
admit	אַרייַנלאָזן
admittance	admittance
admitted	אַדמיטאַד
admitting	אַדמיטינג
admixture	צומיש
admonition	ווארענונג
ado	אַזוי
adobe	אַדאָובי
adolescence	אַדאָלעססענסע
adolescent	adolescent
adopt	אַדאַפּט
adoption	קינדער
adoptive	אַדאַפּטיוו
adorable	טייַער
adoration	adoration
adore	adore
adoring	adoring
adorn	באַצירן
adornment	אָרנאַמאַנץ
adrenalin	אַדרענאַלין
adrenaline	אַדרענאַלאַן
adrift	שעדיקן
adult	דערוואַקסן
adulterated	אַדאַלטערייטיד
adulterer	adulterer
adultery	ניעף
adulthood	adulthood
advance	advance
advanced	advanced
advancement	advancement
advancing	אַדוואַנסינג
advantage	advant
advantageous	אַדוואַנטיידזשאַס
advent	advent
adventure	פּאַסירונג
adventurer	אַדווענטשערער
adventures	אַדווענטורעס
adventurous	אַדווענטשעראַס
adversary	קעגנער
adverse	אַדווערס
adversity	ומגליק
advertise	advertise
advertisement	אַדווערטייזמאַנט
advertising	גאַנצע
adverts	אַדווערץ
advice	עצה
advisable	advisable
advise	רעקאָמענדירן
advised	advised
advisement	אַדווייזער
adviser	אַדווייזער
advisor	אַדווייזער
advisory	אַדווייזערי
advocacy	אַדוואָקאַסי
advocate	שטיצן
aegis	אַעגיס
aeration	אַעראַטיאָן
aerial	לופט
aerobics	עראָוביקס
aerodrome	אַעראָדראָם
aerodynamic	אַעראָדינאַמיק
aerodynamics	אַעראָדינאַמיקס
aeronautics	אַעראָנאַוטיקס
aeroplane	אַעראָפּלאַן
aerospace	עראָוספּייס
aesthetic	עסטעטיש
aesthetics	עסטעטיק
aetiology	אַעטיאָלאָגי
afar	ווייַט
affable	affable
affair	affair
affect	ווירקן
affecting	אַפעקטינג
affection	ליבשאַפט
affectionate	ליבהאָבער
affections	ליבהאבערס
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	אַפיליייטאַד
affiliation	אַפילייישאַן
affinity	affinity
affirm	affirm
affirmation	אַפערמיישאַן
affirmative	affirmative
affirmatively	אַפערמאַטיוולי
affix	affix
afflict	פּייַניקן
afflicted	אַפליקטאַד
affliction	צרה
affluence	שלום
affluent	affluent
afford	afford
affordable	אַפאָרדאַבאַל
affront	אַפראַנט
affronted	אַפראַנטיד
afield	afield
afire	afire
afloat	פלאַוערינג
afore	איידער
aforementioned	aforementioned
aforesaid	aforesaid
afraid	דערשראָקן
afresh	ווידער
african	אפריקאנער
aft	aft
afterlife	afterlife
aftermath	aftermath
afternoon	נאָכמיטאָג
aftershave	aftershave
aftertaste	אַפטערטייסט
afterthought	afterthought
aga	NO TRANSLATION
agape	אַגאַפּע
agate	agate
age	עלטער
aged	אַלט
agency	אַגענטור
agenda	agenda
agent	אַגענט
agglomeration	agglomeration
aggravate	פאַרשטאַרקן
aggravated	aggravated
aggravates	aggravates
aggravating	aggravating
aggravation	אַגראַוויישאַן
aggregate	aggregate
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	אַגרעסיוו
aggressive	אַגרעסיוו
aggressively	aggressively
aggressiveness	אַגרעסיוונאַס
aggressor	אַגרעסער
agh	אַה
aghast	אַהאַסט
aghhh	NO TRANSLATION
agile	גרייט
agility	פלינקייַט
aging	עלטער
agitate	אַגיטירן
agitated	agitated
agitation	agitation
aglow	אַגלאָו
agnostic	agnostic
ago	ago
agonizing	agonizing
agony	ווייטאג
agoraphobia	agoraphobia
agree	שטימען
agreeable	agreeable
agreed	agreed
agreeing	שטייענדיק
agreement	מיטגליד
agressive	NO TRANSLATION
agricultural	agricultural
agriculture	אַגריקולטורע
aground	אַגראַונד
agua	NO TRANSLATION
ahead	פאָרויס
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	הילף
aide	הילף
aiding	אַיידינג
aids	אַידס
ail	ail
ailing	ailing
ailment	ייל
aim	ציל
aimless	ייסאַס
air	לופט
airbag	airbag
airborne	ערבאָרן
aircraft	ערקראַפט
aircraft carrier	ערקראַפט טרעגער
airfield	ערפילד
airhead	airhead
airlift	אַיריפט
airline	ערליין
airliner	אַירלינער
airlock	אַירלאָקק
airman	airman
airplane	אַעראָפּלאַן
airport	אַעראָפּאָרט
airs	airs
airship	ערשיפּ
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	אַירטיגהט
airway	airway
aisle	דורכגאַנג
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	אַקאַ
akin	ווי
alabaster	אַלאַבאַסטער
alarm	שרעק
alarm clock	וועקער זייגער
alarmed	alarmed
alarming	alarming
alas	וויי
alb	NO TRANSLATION
albatross	אַלבאַטראָסס
albino	אַלבינאָ
album	אלבאם
alchemy	אַלטשעמי
alcohol	אַלקאָהאָל
alcoholic	אַלקאָהאָליקער
alcoholism	אַלקאַכאָליזאַם
alcove	אַלקאָהאָל
