Word	fi
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	maasika
aback	taaksepäin
abacus	abacus
abalone	merikorva
abandon	luopua
abandoned	hylätty
abandonment	hylkääminen
abashed	hämillään
abate	tyyntyä
abatement	vähennys
abba	Abba
abbey	luostarikirkko
abbot	NO TRANSLATION
abbreviate	lyhentää
abbreviation	lyhenne
abdomen	vatsa
abdominal	vatsan-
abduct	ryöstää
abduction	sieppaus
aberrant	poikkeuksellinen
aberration	poikkeama
abeyance	ratkaisun viipyminen
abhor	inhota
abhorrence	kammo
abhorrent	vastenmielinen
abide	asua
abiding	Abiding
ability	kyky
abject	viheliäinen
ablation	ablaatio
ablaze	ilmiliekeissä
able	pystyä
abnormal	poikkeava
abnormality	poikkeavuus
aboard	laivaan
abode	asunto
abolish	poistaa
abolition	poistaminen
abominable	iljettävä
abominate	inhota
abomination	inhottavuus
aboriginal	alku-
abort	keskeyttää
abortion	abortti
abortive	epäonnistunut
abound	runsaasti
abovementioned	yllämainittu
abracadabra	simsalabim
abrasion	hiertymä
abrasive	hiova
abreast	rinnakkain
abroad	ulkomailla
abrogate	kumota
abrupt	äkillinen
abruptly	yhtäkkiä
abscess	paise
absence	poissaolo
absent	poissa
absentee	poissaolija
absenteeism	poissaolot
absinthe	absintti
absolute	absoluuttinen
absolution	synninpäästö
absolve	antaa synninpäästö
absorb	omaksua
absorbed	imeytyy
absorbent	imukykyinen
absorbing	imevää
absorption	imeytyminen
abstain	pidättyä
abstention	tyhjää
abstinence	pidättyvyys
abstract	abstrakti
abstraction	abstraktio
absurd	järjetön
absurdity	järjettömyys
abundance	yltäkylläisyys
abundant	runsas
abuse	väärinkäyttö
abused	väärin
abusive	loukkaava
abutment	rajoittuminen
aby	NO TRANSLATION
abysmal	pohjaton
abyss	syvyys
academic	akateeminen
academy	akatemia
accede	liittymään
accelerant	kiihdyttimen
accelerate	kiihdyttää
accelerated	kiihtyi
acceleration	kiihtyvyys
accelerator	kiihdytin
accent	aksentti
accentuate	painottaa
accept	hyväksyä
acceptable	hyväksyttävä
acceptance	hyväksyminen
acceptances	hyväksynnät
access	pääsy
accessible	saatavilla
accession	liittymistä
accessory	lisävaruste
accident	onnettomuus
accidental	satunnainen
accidentally	vahingossa
acclaim	tervehtiä suosionhuudoin
accolade	kunnianosoitus
accommodate	majoittaa
accommodation	majoitus
accompaniment	säestys
accompany	seurata
accompanying	mukana
accomplice	rikoskumppani
accomplish	suorittaa
accomplished	aikaan
accomplishment	suoritus
accord	sopimus
accordance	mukaisesti
accordion	harmonikka
account	tili
accountability	vastuullisuutta
accountable	vastuussa
accountant	kirjanpitäjä
accounting	kirjanpito
accounts	tilit
accredited	valtuutettu
accretion	vesijättö
accrue	kertyä
accueil	NO TRANSLATION
accumulate	kerätä
accumulation	kertymä
accuracy	tarkkuus
accurate	tarkka
accursed	kirottu
accusation	syytös
accusative	akkusatiivi
accuse	moittia
accused	syytetty
accuser	syyttäjä
accusing	syyttäen
accustomed	tottunut
ace	ässä
acetic	etikka-
acetylene	asetyleeni
ache	särky
achieve	saavuttaa
achieved	saavutettu
achievement	saavutus
aching	kipeä
achy	achy
acid	happo
acidity	happamuus
acknowledge	tunnustaa
acknowledged	tunnustettu
acknowledgement	tunnustus
acknowledgment	tunnustus
acme	huippukohta
acne	finni
acorn	tammenterho
acoustic	akustinen
acoustics	akustiikka
acquaint	tutustuttaa
acquaintance	tuttavuus
acquainted	tutustunut
acquiescence	suostumus
acquire	hankkia
acquiring	hankkiminen
acquisition	hankinta
acquisitions	yritysostot
acquit	vapauttaa
acquittal	vapauttava tuomio
acre	eekkeri
acreage	pinta-ala
acres	eekkeriä
acrobat	akrobaatti
acrylic	akryyli-
act	toimia
acting	näytteleminen
action	toiminta
action figure	toimintahahmo
actionable	kannekelpoinen
activate	aktivoida
activation	aktivointi
active	aktiivinen
activist	aktivisti
activity	aktiviteetti
actor	näyttelijä
actress	näyttelijä
actual	todellinen
actuality	todellisuus
actuary	aktuaari
acuity	terävyys
acumen	terävyys
acupuncture	akupunktio
acute	akuutti
acutely	akuutisti
ad	ilmoitus
adage	sananparsi
adamant	järkkymätön
adapt	sopeuttaa
adaptable	mukautuva
adaptation	sovittaminen
add	lisätä
added	lisättyä
addendum	lisäys
adder	kyykäärme
addict	addikti
addicted	riippuvainen
addiction	riippuvuus
addictive	riippuvuutta aiheuttava
addition	lisäys
additional	lisä-
additive	lisäaine
address	osoite
addressee	vastaanottaja
addresses	osoitteet
adept	mestari
adequacy	riittävyys
adequate	riittävä
adhere	noudattaa
adherence	kiinnittyminen
adherent	kannattaja
adhering	kiinni
adhesion	kiinnittyminen
adhesive	tarttuva
adieu	hyvästi
adipose	rasva-
adjacency	läheisyytensä
adjacent	vierekkäinen
adjective	adjektiivi
adjoining	viereinen
adjourn	lykätä
adjournment	hajaantuminen
adjudicate	ratkaista
adjudication	tuomio
adjunct	lisä
adjust	säätää
adjuster	säädin
adjustment	säätö
adjuvant	adjuvanttia
admin	admin
administer	hallita
administration	antaminen
administrative	hallinnollinen
