Word	si
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	පල්ලිය
aback	අවාසනාවන්ත මෙන්ය
abacus	අවපීඩනය
abalone	අම්බලන්තොට
abandon	අතහැර දමන්න
abandoned	අත්හැර දමා ඇත
abandonment	අත්හැර දැමීම
abashed	නැමී ඇත
abate	පහව ය
abatement	අවම කිරීම
abba	අබා
abbey	අබීදි
abbot	NO TRANSLATION
abbreviate	සංක්ෂිප්තව පවතී
abbreviation	කෙටි යෙදුමකි
abdomen	උදරය
abdominal	උදරයි
abduct	පැහැරගෙන ගොස් තිබේ
abduction	පැහැර ගැනීම
aberrant	අසරණයි
aberration	විකාරයකි
abeyance	නොසලකා හැරීමකි
abhor	පිළිකුල්
abhorrence	කැළඹී ඇත
abhorrent	පිළිකුල් සහගතය
abide	නොසිටිනු ඇත
abiding	අනුකම්පා විරහිතයි
ability	හැකියාව
abject	ආගන්තුක ය
ablation	උච්චාවචනය
ablaze	ගිනි අවුලුවා
able	පුළුවන්
abnormal	අසාමාන්ය ය
abnormality	අසාමාන්යතාව
aboard	පිටත් වෙයි
abode	වාසය කළහ
abolish	ඉවත් කරනවා
abolition	අහෝසි කිරීමයි
abominable	පිළිකුල් සහගතය
abominate	පිළිකුල්
abomination	පිළිකුලකි
aboriginal	ආදිවාසී
abort	අහෝසි කරන්න
abortion	ගබ්සා කිරීම
abortive	අබ්බාස්
abound	බහුලයි
abovementioned	ඉහතින් සදහන් කර ඇත
abracadabra	අබ්රකාදාබ්රා
abrasion	පාචනය
abrasive	උල්ෙල්ඛ
abreast	නැරැඹීම
abroad	විදේශගතව සිටී
abrogate	අහෝසි කරන්න
abrupt	හදිසියේ
abruptly	හදිසියේම
abscess	පෙරට වඩා
absence	නොපැමිණෙයි
absent	නොපැමිණෙයි
absentee	නොපැමිණීමයි
absenteeism	නොපැමිණෙයි
absinthe	නොපැමිණෙයි
absolute	නිරපේක්ෂ
absolution	විවාදය
absolve	නිරපරාදේ
absorb	අවශෝෂණය කරති
absorbed	අවශෝෂණය කර ඇත
absorbent	අවෙශෝෂකයක්
absorbing	අවෙශෝෂණය කර ඇත
absorption	අවශෝෂණය
abstain	වැළකී සිටියහ
abstention	වැලකී සිටීමයි
abstinence	වැළකී සිටීමයි
abstract	වියුක්ත
abstraction	වියුක්ත කිරීමයි
absurd	විකාරයකි
absurdity	අභූතයකි
abundance	බහුලත්වය
abundant	බහුලයි
abuse	අපයෙදුම්
abused	අපයෝජනය
abusive	අපවාදාත්මකය
abutment	උබුන්ටු
aby	NO TRANSLATION
abysmal	ප්රබලයි
abyss	අගාධයකි
academic	ශාස්ත්රාලිකයෙක්
academy	ඇකඩමිය
accede	අනුචිතය
accelerant	ත්වරණය
accelerate	වේගවත් වේ
accelerated	වේගවත් විය
acceleration	ත්වරණය
accelerator	ත්වරකය
accent	අවධාරණය කරයි
accentuate	අවධාරණය කරයි
accept	පිළිගන්නවා
acceptable	පිළිගත හැකිය
acceptance	පිළිගැනීමයි
acceptances	පිළිගැනීමයි
access	ප්රවේශ
accessible	ප්රවේශ විය හැකිය
accession	පිවිසීමයි
accessory	උපාංගයකි
accident	අනතුරක්
accidental	අහම්බයක්
accidentally	අහම්බෙන්
acclaim	ගෞරවයට පාත්රවිය
accolade	සම්මානයට පාත්ර විය
accommodate	නවාතැන්
accommodation	නවාතැන්
accompaniment	සහායකයා
accompany	සමග ය
accompanying	කැටුව යන
accomplice	සහකාරියකි
accomplish	ඉටු කරන්න
accomplished	ඉෂ්ට විය
accomplishment	ඉටු
accord	එකඟතාවය
accordance	අනුකූල වේ
accordion	සූචිය
account	ගිණුම
accountability	වගකීමයි
accountable	ගණන් දිය යුතුය
accountant	ගණකාධිවරයෙක්
accounting	ගිණුම්කරණය
accounts	ගිණුම්
accredited	ප්රතීතනය කර ඇත
accretion	අක්රිය වීම
accrue	ලැබෙනු ඇත
accueil	NO TRANSLATION
accumulate	එකතු විය යුතුය
accumulation	සමුච්චයනයයි
accuracy	නිරවද්යතාව
accurate	නිවැරදි
accursed	සාප ලද්දෙකි
accusation	චෝදනාවකි
accusative	දෝෂාරෝපණය කර තිබේ
accuse	චෝදනා කරයි
accused	චෝදනා කළේය
accuser	චෝදනා කරති
accusing	චෝදනා කරයි
accustomed	පුරුදුව සිටියහ
ace	Ace
acetic	ඇසිටික්
acetylene	ඇසිටිලීන්
ache	කණගාටුදායකයි
achieve	සාක්ෂාත් කර ගන්න
achieved	අත්පත් කරගත්හ
achievement	ජයග්රහණයකි
aching	කැක්කුම
achy	අඳුරේ
acid	අම්ලය
acidity	ආම්ලිකතාවය
acknowledge	පිළිගන්නවා
acknowledged	පිලිගෙන ඇත
acknowledgement	පිළිගැනීමයි
acknowledgment	පිළිගැනීමයි
acme	අම්මේ
acne	කුරුලෑ
acorn	අක්මා
acoustic	අති ධ්වනි
acoustics	ධ්වනි විද්යාව
acquaint	හඳුනමි
acquaintance	අඳුනන කෙනෙක්
acquainted	දැන හඳුනමි
acquiescence	එකඟ නොවූහ
acquire	අත්පත් කර ගන්න
