Word	uk
aaaaaaah	аааааааа
aaaah	NO TRANSLATION
aardvark	арадварк
aback	огидно
abacus	абак
abalone	вуса
abandon	відмовитися
abandoned	покинутий
abandonment	залишення
abashed	набридло
abate	зменшувати
abatement	зменшення
abba	абба
abbey	абатство
abbot	NO TRANSLATION
abbreviate	скоротити
abbreviation	абревіатура
abdomen	черевце
abdominal	черевна порожнина
abduct	викрадають
abduction	викрадення
aberrant	анодний
aberration	аберація
abeyance	припинення
abhor	лякайся
abhorrence	відчайдушність
abhorrent	відчайдушний
abide	дотримуйся
abiding	що зберігається
ability	здібності
abject	абсурдний
ablation	абляція
ablaze	запалювати
able	здатний
abnormal	ненормальний
abnormality	аномалії
aboard	на борту
abode	проживання
abolish	скасувати
abolition	скасування
abominable	мерзенний
abominate	мерзость
abomination	гидота
aboriginal	абориген
abort	скасувати
abortion	аборт
abortive	непридатний
abound	багато
abovementioned	вищезазначений
abracadabra	NO TRANSLATION
abrasion	знос
abrasive	абразивний
abreast	у всьому
abroad	за кордоном
abrogate	скасувати
abrupt	різко
abruptly	різко
abscess	абсцес
absence	відсутність
absent	відсутній
absentee	відступок
absenteeism	прогулянки
absinthe	абсент
absolute	абсолютний
absolution	розпуста
absolve	звільнити
absorb	поглинати
absorbed	поглинається
absorbent	абсорбуючий
absorbing	поглинаючи
absorption	поглинання
abstain	утриматися
abstention	утримання
abstinence	стриманість
abstract	абстрактний
abstraction	абстракція
absurd	абсурдний
absurdity	абсурдність
abundance	достаток
abundant	рясний
abuse	зловживання
abused	зловживали
abusive	зловмисне
abutment	абатмент
aby	NO TRANSLATION
abysmal	жахливий
abyss	безодня
academic	академічний
academy	академія
accede	приєднатися
accelerant	прискорювач
accelerate	прискорити
accelerated	прискорений
acceleration	прискорення
accelerator	прискорювач
accent	акцент
accentuate	підкреслити
accept	приймати
acceptable	прийнятний
acceptance	прийом
acceptances	акцепти
access	доступ
accessible	доступний
accession	приєднання
accessory	аксесуар
accident	аварія
accidental	випадковий
accidentally	випадково
acclaim	визнати
accolade	нагорода
accommodate	розмістити
accommodation	житло
accompaniment	супровід
accompany	супроводжувати
accompanying	супроводжуючий
accomplice	співучасник
accomplish	виконати
accomplished	виконаний
accomplishment	досягнення
accord	згода
accordance	відповідність
accordion	гармошка
account	рахунок
accountability	підзвітність
accountable	підзвітний
accountant	бухгалтер
accounting	бухгалтерський облік
accounts	рахунки
accredited	акредитований
accretion	посилення
accrue	накопичувати
accueil	NO TRANSLATION
accumulate	накопичуються
accumulation	накопичення
accuracy	точність
accurate	точний
accursed	проклятий
accusation	звинувачення
accusative	обвинувальний
accuse	звинуватити
accused	обвинувачений
accuser	обвинувачений
accusing	звинувачують
accustomed	звик
ace	туз
acetic	оцтова
acetylene	ацетилен
ache	болить
achieve	домогтися
achieved	досягнуто
achievement	досягнення
aching	болить
achy	ахій
acid	кислота
acidity	кислотність
acknowledge	визнати
acknowledged	визнано
acknowledgement	підтвердження
acknowledgment	підтвердження
acme	око
acne	вугри
acorn	жолудь
acoustic	акустичний
acoustics	акустика
acquaint	знайомий
acquaintance	знайомство
acquainted	знайомий
acquiescence	згоду
acquire	придбати
acquiring	придбання
acquisition	придбання
acquisitions	придбання
acquit	виправдати
acquittal	виправдання
acre	акр
acreage	земельна ділянка
acres	акрів
acrobat	акробат
acrylic	акрил
act	діяти
acting	діючи
action	дія
action figure	дія фігура
actionable	справний
activate	активувати
activation	активація
active	активний
activist	активіст
activity	діяльність
actor	актор
actress	актриса
actual	фактичний
actuality	дійсність
actuary	актуарій
acuity	гострота
acumen	спритність
acupuncture	акупунктура
acute	гострий
acutely	гостро
ad	реклама
adage	приказка
adamant	адамант
adapt	адаптуватися
adaptable	адаптований
