Word	yo
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	kọ silẹ
abandoned	abandoned
abandonment	abandonment
abashed	abashed
abate	abate
abatement	abatement
abba	abba
abbey	Opopona
abbot	NO TRANSLATION
abbreviate	abbreviate
abbreviation	abbreviation
abdomen	ikun
abdominal	inu
abduct	fifa
abduction	ifasilẹ
aberrant	aberrant
aberration	aberration
abeyance	abe
abhor	korira
abhorrence	ẹgan
abhorrent	aboruru
abide	duro
abiding	gbigbe
ability	agbara
abject	abject
ablation	ablation
ablaze	pa
able	anfani
abnormal	ohun ajeji
abnormality	ohun ajeji
aboard	ọkọ oju omi
abode	ibugbe
abolish	pa
abolition	abolition
abominable	ohun irira
abominate	olododo
abomination	irira
aboriginal	aboriginal
abort	abort
abortion	iṣẹyun
abortive	abortive
abound	pọ
abovementioned	loke
abracadabra	NO TRANSLATION
abrasion	abrasion
abrasive	abrasive
abreast	abreast
abroad	odi
abrogate	pa
abrupt	abrupt
abruptly	abruptly
abscess	Abscess
absence	isanwo
absent	ko si
absentee	ko si
absenteeism	isinigbagbo
absinthe	absinthe
absolute	idiyele
absolution	absolution
absolve	daakọ
absorb	fa
absorbed	o gba
absorbent	absorbent
absorbing	absorbing
absorption	absorption
abstain	abstain
abstention	idaduro
abstinence	abstinence
abstract	akọle
abstraction	abstraction
absurd	aipe
absurdity	absurdity
abundance	ọpọlọpọ
abundant	lọpọlọpọ
abuse	abuse
abused	ipalara
abusive	ipalara
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	ẹkọ
academy	ile ẹkọ
accede	gbawọn
accelerant	accelerant
accelerate	mu yarayara
accelerated	onikiakia
acceleration	isare
accelerator	oluṣeto
accent	ohun
accentuate	accentuate
accept	gba
acceptable	itẹwọgba
acceptance	gbigba
acceptances	awọn gbigba wọle
access	wiwọle
accessible	wiwọle
accession	gbigba wọle
accessory	ẹya ẹrọ
accident	ijamba
accidental	lairotẹlẹ
accidentally	lairotẹlẹ
acclaim	sọ
accolade	accolade
accommodate	gba
accommodation	ibugbe
accompaniment	igbasilẹ
accompany	tẹle-tẹle
accompanying	tẹle pẹlu
accomplice	Aṣeyọri
accomplish	ṣe iṣe
accomplished	ti pari
accomplishment	iṣẹ-ṣiṣe
accord	Idahun
accordance	ibamu
accordion	accordion
account	iroyin
accountability	ijẹrisi
accountable	ṣe idajọ
accountant	Oniṣiro
accounting	iṣiro
accounts	awọn iroyin
accredited	ti o gba
accretion	ifarahan
accrue	pọ sii
accueil	NO TRANSLATION
accumulate	kojọpọ
accumulation	ikojọpọ
accuracy	didara
accurate	deede
accursed	ẹni ifibu
accusation	ẹsun
accusative	olufisun
accuse	ẹsùn
accused	onimo
accuser	olufisun
accusing	sùn
accustomed	saba
ace	bẹbẹ
acetic	acetic
acetylene	acetylene
ache	ache
achieve	ṣe aṣeyọri
achieved	ti ṣe
achievement	aṣeyọri
aching	aching
achy	achy
acid	acid
acidity	acidity
acknowledge	gbawọ
acknowledged	ti gba
acknowledgement	acknowledgment
acknowledgment	acknowledgment
acme	acme
acne	irorẹ
acorn	acorn
acoustic	akosile
acoustics	acoustics
acquaint	awọn olùmọ
acquaintance	ojulumọ
acquainted	faramọ
acquiescence	igbasilẹ
acquire	gba
acquiring	ra
acquisition	akomora
acquisitions	awọn ohun ini
acquit	ti gba
acquittal	idasile
acre	acre
acreage	adreage
acres	awon eka
acrobat	acrobat
acrylic	akiriliki
act	sise
acting	anesitetiki
action	iṣẹ
action figure	oluṣe iṣẹ
actionable	ti o ṣeeṣe
activate	mu ṣiṣẹ
activation	ti fi si ibere
active	lọwọ
activist	alagbọọ
activity	iṣẹ
actor	olukopa
actress	oṣere
actual	gangan
actuality	gangan
actuary	arufin
acuity	acuity
acumen	acumen
acupuncture	acupuncture
acute	nla
acutely	nitõtọ
ad	ipolongo
adage	ọran
adamant	adamant
adapt	muṣe
adaptable	adaptable
adaptation	iyipada
add	fi kun
added	fi kun
addendum	afikun afẹfẹ
adder	adder
addict	okudun
addicted	mowonlara
addiction	afẹsodi
addictive	addictive
addition	afikun
additional	afikun
additive	imuduro
address	adirẹsi
addressee	idasile
addresses	adirẹsi
adept	adept
adequacy	adequacy
adequate	deedee
adhere	tẹle
adherence	adherence
adherent	adherent
adhering	adhering
adhesion	adhesion
adhesive	alemora
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	nitosi
adjective	adjective
adjoining	adjoining
adjourn	adjourn
adjournment	adjournment
adjudicate	adjudicate
adjudication	adjudication
adjunct	adjunct
adjust	ṣatunṣe
adjuster	ṣatunṣe
adjustment	atunṣe
adjuvant	adjuvant
admin	abojuto
administer	itọju
administration	isakoso
administrative	Isakoso
administrator	Alabojuto
admirable	admirable
admiral	admiral
admiralty	admiralty
admiration	admiration
admire	ṣe ẹwà
admired	admired
admirer	admirer
admiring	igbimọ
admissibility	gbigba agbara
admissible	o ṣee ṣe
admission	gbigba wọle
admit	gba
admittance	admittance
admitted	gbawọ
admitting	gbigba
