Word	iw
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	נבוך
abacus	אַבַּקוּס
abalone	אָבָּלוֹנֶה
abandon	לִנְטוֹשׁ
abandoned	נָטוּשׁ
abandonment	נְטִישָׁה
abashed	נבוך
abate	לְשַׁכֵּך
abatement	הַפחָתָה
abba	abba
abbey	מִנזָר
abbot	NO TRANSLATION
abbreviate	לְקַצֵר
abbreviation	נוֹטָרִיקוֹן
abdomen	בֶּטֶן
abdominal	בִּטנִי
abduct	לַחטוֹף
abduction	חֲטִיפָה
aberrant	סוֹטֶה
aberration	סְטִיָה
abeyance	העמידה
abhor	לְתַעֵב
abhorrence	התיעוב
abhorrent	שָׂנוּא
abide	לציית
abiding	ציד
ability	יְכוֹלֶת
abject	בָּזוּי
ablation	כְּרִיתָה
ablaze	בָּאֵשׁ
able	יכול
abnormal	לֹא נוֹרמָלִי
abnormality	חֲרִיגוּת
aboard	עַל
abode	מָקוֹם
abolish	לְבַטֵל
abolition	ביטול
abominable	מְתוֹעָב
abominate	תועבה
abomination	תוֹעֵבָה
aboriginal	קַדמוֹן
abort	לְהַפִּיל
abortion	הפלה
abortive	כּוֹשֵׁל
abound	בשפע
abovementioned	לְעֵיל
abracadabra	אברה קדברה
abrasion	שְׁחִיקָה
abrasive	מְשַׁפשֵׁף
abreast	צמודים
abroad	מחוץ לארץ
abrogate	ביטול
abrupt	פִּתְאוֹמִי
abruptly	פִּתְאוֹם
abscess	מוּרְסָה
absence	הֶעְדֵר
absent	נֶעדָר
absentee	נִפקָד
absenteeism	הֵעָדְרוּת
absinthe	אַבְּסִינְתְ
absolute	מוּחלָט
absolution	מְחִילָה
absolve	לִפְטוֹר
absorb	לִסְפּוֹג
absorbed	ספג
absorbent	סוֹפֵג
absorbing	מְרַתֵק
absorption	קְלִיטָה
abstain	לְהִתְנַזֵר
abstention	הִתנַזְרוּת
abstinence	פְּרִישׁוּת
abstract	תַקצִיר
abstraction	הַפשָׁטָה
absurd	אַבּסוּרדִי
absurdity	אַבּסוּרדִיוּת
abundance	שפע
abundant	שׁוֹפֵעַ
abuse	התעללות
abused	התעללות
abusive	מַעֲלִיב
abutment	מִשׁעֶנֶת
aby	NO TRANSLATION
abysmal	תְהוֹמִי
abyss	תהום
academic	אקדמי
academy	אֲקָדֶמִיָה
accede	לְהַסכִּים
accelerant	מאיץ
accelerate	להאיץ
accelerated	מוּאָץ
acceleration	תְאוּצָה
accelerator	מֵאִיץ
accent	מִבטָא
accentuate	לְהַדגִישׁ
accept	לְקַבֵּל
acceptable	קָבִיל
acceptance	קַבָּלָה
acceptances	קבלה
access	גִישָׁה
accessible	נגיש
accession	הִצטָרְפוּת
accessory	אבזר
accident	תְאוּנָה
accidental	מִקרִי
accidentally	בטעות
acclaim	תְשׁוּאוֹת
accolade	לְהַעֲנִיק תוֹאַר אַבִּיר
accommodate	להתאים
accommodation	דִיוּר
accompaniment	לִוּוּי
accompany	ללוות
accompanying	מתלווה
accomplice	שׁוּתָף
accomplish	לְהַשִׂיג
accomplished	השיג
accomplishment	הישג
accord	הֶסכֵּם
accordance	בהתאם
accordion	אַקוֹרדִיוֹן
account	חֶשְׁבּוֹן
accountability	דין וחשבון
accountable	אַחֲרַאִי
accountant	רואת חשבון
accounting	חשבונאות
accounts	חשבונות
accredited	מוכר
accretion	הִצטַבְּרוּת
accrue	לצבור
accueil	NO TRANSLATION
accumulate	לִצְבּוֹר
accumulation	הצטברות
accuracy	דיוק
accurate	מְדוּיָק
accursed	אָרוּר
accusation	הַאֲשָׁמָה
accusative	אשם
accuse	לְהַאֲשִׁים
accused	מואשם
accuser	מַאֲשִׁים
accusing	מאשים
accustomed	רָגִיל
ace	אֵס
acetic	אצטית
acetylene	אֲצֵיטִילֵן
ache	כְּאֵב
achieve	לְהַשִׂיג
achieved	הושג
achievement	הֶשֵׂג
aching	כּוֹאֵב
achy	כואב
acid	חוּמצָה
acidity	חוּמצִיוּת
acknowledge	לְהוֹדוֹת
acknowledged	הודה
acknowledgement	הכרה
acknowledgment	הכרה
acme	שִׂיא
acne	אקנה
acorn	בַּלוּט
acoustic	אֲקוּסְטִי
acoustics	אֲקוּסְטִיקָה
acquaint	להכיר
acquaintance	הֶכֵּרוּת
acquainted	היכרות
acquiescence	הסכמה
acquire	לִרְכּוֹשׁ
acquiring	רכישה
acquisition	רְכִישָׁה
acquisitions	רכישות
acquit	לִזכּוֹת
acquittal	זיכוי
acre	אַקְר
acreage	אקרים
acres	דונם
acrobat	אַקרוֹבָּט
acrylic	אַקרִילִי
act	פעולה
acting	משחק
action	פעולה
action figure	דמות פעולה
actionable	ניתנת לפעולה
activate	לְהַפְעִיל
activation	הַפעָלָה
active	פָּעִיל
activist	פעיל
activity	פעילות
actor	שַׂחְקָן
actress	שַׂחְקָנִית
actual	מַמָשִׁי
actuality	מְצִיאוּת
actuary	אַקטוּאָר
acuity	חדות
acumen	החריפה
acupuncture	אַקוּפּוּנקטוּרָה
acute	חַד
acutely	למעשה
ad	מוֹדָעָה
adage	פִּתגָם
