Word	ceb
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abako
abalone	abalone
abandon	biyaan
abandoned	gibiyaan
abandonment	abandonment
abashed	nanglipaghong
abate	pagpaubos
abatement	abatement
abba	abba
abbey	abbey
abbot	abbot
abbreviate	pag-abbreviate
abbreviation	minubo
abdomen	tiyan
abdominal	tiyan
abduct	pagdakop
abduction	pagdagit
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	kasilag
abhorrence	pagdumot
abhorrent	kasilag
abide	magpabilin
abiding	magpabilin
ability	abilidad
abject	abject
ablation	ablation
ablaze	ablaze
able	makahimo
abnormal	abnormal
abnormality	abnormality
aboard	sakay
abode	nagpuyo
abolish	pagwagtang
abolition	pagwagtang
abominable	dulumtanan
abominate	Kahadlok
abomination	dulumtanan
aboriginal	aboriginal
abort	abort
abortion	aborsyon
abortive	aborton
abound	dagaya
abovementioned	awhag
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	abay
abroad	sa gawas
abrogate	bungkag
abrupt	kalit
abruptly	kalit lang
abscess	abscess
absence	pagkawala
absent	wala
absentee	absentee
absenteeism	absenteeism
absinthe	absinthe
absolute	hingpit
absolution	absolution
absolve	hingpit
absorb	sipyata
absorbed	masuhop
absorbent	pagsuyop
absorbing	pagsabwag
absorption	pagsuyup
abstain	paglikay
abstention	abstention
abstinence	pagdumili
abstract	abstract
abstraction	abstraction
absurd	absurd
absurdity	dili makatarunganon
abundance	kabuhong
abundant	abunda
abuse	abuso
abused	giabusohan
abusive	abusado
abutment	abutment
aby	NO TRANSLATION
abysmal	dili maayo
abyss	kahiladman
academic	academic
academy	academy
accede	pagsugot
accelerant	paspas
accelerate	palihug
accelerated	paspas
acceleration	pagpadali
accelerator	accelerator
accent	accent
accentuate	pagpasabut
accept	pagdawat
acceptable	madawat
acceptance	pagdawat
acceptances	pagdawat
access	access
accessible	accessible
accession	accession
accessory	accessory
accident	aksidente
accidental	aksidente
accidentally	sa aksidente
acclaim	pasidunggan
accolade	pasidungog
accommodate	pag-accommodate
accommodation	accommodation
accompaniment	duyog
accompany	nagauban
accompanying	nag-uban
accomplice	kakonsabo
accomplish	matuman
accomplished	natapos
accomplishment	kalampusan
accord	uyon
accordance	uyon
accordion	akusasyon
account	account
accountability	pagkamay tulubagon
accountable	may tulubagon
accountant	accountant
accounting	accounting
accounts	mga asoy
accredited	accredited
accretion	accretion
accrue	makaipon
accueil	NO TRANSLATION
accumulate	makaipon
accumulation	pagtipon
accuracy	katarungan
accurate	tukma
accursed	tinunglo
accusation	akusasyon
accusative	akusado
accuse	akusar
accused	akusado
accuser	akusado
accusing	akusar
accustomed	naanad na
ace	ace
acetic	acetic
acetylene	acetylene
ache	sakit
achieve	pagkab-ot
achieved	nakab-ot
achievement	kalampusan
aching	sakit
achy	achy
acid	acid
acidity	acidity
acknowledge	moila
acknowledged	giila
acknowledgement	pag-ila
acknowledgment	pag-ila
acme	acme
acne	acne
acorn	acorn
acoustic	acoustic
acoustics	acoustics
acquaint	pagpahibalo
acquaintance	kaila
acquainted	pamilyar
acquiescence	pag-uyon
acquire	makuha
acquiring	pagbaton
acquisition	pag-angkon
acquisitions	pag-angkon
acquit	pagpagawas
acquittal	pagbayad
acre	acre
acreage	acreage
acres	acres
acrobat	acrobat
acrylic	acrylic
act	molihok
acting	naglihok
action	aksyon
action figure	aksyon nga numero
actionable	mahimo nga buhaton
activate	aktibo
activation	pagpaaktibo
active	aktibo
activist	aktibista
activity	kalihokan
actor	aktor
actress	aktres
actual	tinuod
actuality	pagkatinuod
actuary	actuary
acuity	katin-awan
acumen	kahibalo
acupuncture	acupuncture
acute	mahait
acutely	husto nga
ad	ad
adage	adage
adamant	adamant
adapt	mopahiangay
adaptable	mapailin-ilinon
adaptation	pagpahiangay
add	Dugang pa
added	dugang pa
addendum	addendum
adder	adder
addict	adik
addicted	adik
addiction	pagkaadik
addictive	makaadik
addition	Dugang pa
additional	dugang pa
additive	additive
address	adres
addressee	pagtawag
addresses	mga pakigpulong
adept	maayo
adequacy	katakus
adequate	igo
adhere	sundon
adherence	pagsunod
adherent	adherent
adhering	adhering
adhesion	pagpilit
adhesive	patapot
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	adjacent
adjective	adhetibo
adjoining	adjoining
adjourn	adjourn
adjournment	adjournment
adjudicate	paghusay
adjudication	adjudication
adjunct	adjunct
adjust	pag-adjust
adjuster	adjuster
adjustment	pagpasibo
adjuvant	adjuvant
admin	admin
administer	pagpangalagad
administration	administrasyon
administrative	pagdumala
administrator	administrador
admirable	dalaygon
admiral	admiral
admiralty	admiralty
admiration	pagdayeg
admire	Pagdayeg
admired	nakadayeg
admirer	admirer
admiring	pagdayeg
admissibility	admissibility
admissible	madawat
admission	admission
admit	angkona
admittance	pagdawat
admitted	miangkon
admitting	miangkon
admixture	admixture
admonition	tambag
ado	ado
adobe	adobe
adolescence	pagkatin-edyer
adolescent	tin-edyer
adopt	pagsagop
adoption	pagsagop
adoptive	pagsagop
adorable	madanihon
