Word	sw
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	tamaa
abacus	Abacus
abalone	abalone
abandon	kuacha
abandoned	kutelekezwa
abandonment	kuacha
abashed	kufadhaika
abate	abate
abatement	kulazimishwa
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	kifupi
abbreviation	abbreviation
abdomen	tumbo
abdominal	tumbo
abduct	kukamata
abduction	kukatwa
aberrant	kibali
aberration	uhamisho
abeyance	uasi
abhor	chukia
abhorrence	chuki
abhorrent	chuki
abide	Fuata
abiding	kuendelea
ability	uwezo
abject	inakabiliwa
ablation	upungufu
ablaze	tamaa
able	inaweza
abnormal	isiyo ya kawaida
abnormality	ukosefu wa kawaida
aboard	kuingia
abode	kukaa
abolish	kukomesha
abolition	kukomesha
abominable	ni machukizo
abominate	chuki
abomination	chukizo
aboriginal	asili ya asili
abort	kupuuza
abortion	utoaji mimba
abortive	utoaji mimba
abound	wingi
abovementioned	hapo juu
abracadabra	NO TRANSLATION
abrasion	kupasuka
abrasive	abrasive
abreast	upendeleo
abroad	nje ya nchi
abrogate	kukataa
abrupt	ghafla
abruptly	ghafla
abscess	kisasi
absence	kutokuwepo
absent	haipo
absentee	kuondoka
absenteeism	kukosa
absinthe	absinthe
absolute	kabisa
absolution	upungufu
absolve	onyesha
absorb	pata
absorbed	kufyonzwa
absorbent	absorbent
absorbing	kunyonya
absorption	ngozi
abstain	kuepuka
abstention	kujizuia
abstinence	kujizuia
abstract	abstract
abstraction	kinyume
absurd	si ajabu
absurdity	upuuzi
abundance	wingi
abundant	wingi
abuse	unyanyasaji
abused	vibaya
abusive	vurugu
abutment	mshikamano
aby	NO TRANSLATION
abysmal	uharibifu
abyss	kuzimu
academic	kitaaluma
academy	chuo
accede	kuharakisha
accelerant	kuharakisha
accelerate	kuharakisha
accelerated	iliharakisha
acceleration	kasi
accelerator	accelerator
accent	msisitizo
accentuate	accentuate
accept	kukubali
acceptable	kukubalika
acceptance	kukubalika
acceptances	kukubalika
access	upatikanaji
accessible	kupatikana
accession	upatikanaji
accessory	vifaa
accident	ajali
accidental	ajali
accidentally	bahati mbaya
acclaim	sifa
accolade	kulazimisha
accommodate	pata
accommodation	malazi
accompaniment	kuambatana
accompany	kuongozana
accompanying	kuandamana
accomplice	accomplice
accomplish	fidia
accomplished	ilikamilishwa
accomplishment	ufanisi
accord	mkataba
accordance	kwa mujibu
accordion	accordion
account	akaunti
accountability	uwajibikaji
accountable	kuwajibika
accountant	mhasibu
accounting	uhasibu
accounts	akaunti
accredited	vibali
accretion	accretion
accrue	ongezea
accueil	NO TRANSLATION
accumulate	kukusanya
accumulation	mkusanyiko
accuracy	usahihi
accurate	sahihi
accursed	alilaaniwa
accusation	mashtaka
accusative	mashtaka
accuse	kumshtaki
accused	mtuhumiwa
accuser	mshtakiwa
accusing	akashtaki
accustomed	wamezoea
ace	ace
acetic	acetiki
acetylene	acetylene
ache	maumivu
achieve	kufikia
achieved	mafanikio
achievement	mafanikio
aching	kuumwa
achy	achy
acid	asidi
acidity	acidity
acknowledge	Tambua
acknowledged	alikubali
acknowledgement	kukubali
acknowledgment	kukubali
acme	acme
acne	Acne
acorn	pamba
acoustic	acoustic
acoustics	acoustics
acquaint	kujua
acquaintance	marafiki
acquainted	kujua
acquiescence	upungufu
acquire	kupata
acquiring	kupata
acquisition	upatikanaji
acquisitions	upatikanaji
acquit	toa
acquittal	kuhukumiwa
acre	ekari
acreage	acreage
acres	ekari
acrobat	acrobat
acrylic	akriliki
act	tenda
acting	kaimu
action	hatua
action figure	takwimu ya hatua
actionable	inayoweza kutekelezwa
activate	kuamsha
activation	uanzishaji
active	kazi
activist	mwanaharakati
activity	shughuli
actor	mwigizaji
actress	mwigizaji
actual	halisi
actuality	hali halisi
actuary	mkataba
acuity	acuity
acumen	acumeni
acupuncture	acupuncture
acute	papo hapo
acutely	acutely
ad	tangazo
adage	adage
adamant	kukataa
adapt	toa
adaptable	yanaweza kubadilika
adaptation	mabadiliko
add	ongeza
added	aliongeza
addendum	nyongeza
adder	nyongeza
addict	addict
addicted	addicted
addiction	utata
addictive	addictive
addition	kuongeza
additional	ziada
additive	vyema
address	anwani
addressee	kijiji
addresses	anwani
adept	halali
adequacy	kutosheleza
adequate	kutosha
adhere	kuzingatia
adherence	kuzingatia
adherent	kuzingatia
adhering	kushikamana
adhesion	kujitoa
adhesive	adhesive
adieu	adieu
adipose	adipose
adjacency	karibu
adjacent	karibu
adjective	kivumbuzi
adjoining	kuunganishwa
adjourn	kurudi
adjournment	uhamisho
adjudicate	adjudicate
adjudication	kuhukumiwa
adjunct	panga
adjust	rekebisha
adjuster	adjuster
adjustment	marekebisho
adjuvant	adjuvant
admin	admin
administer	kuongoza
administration	utawala
administrative	utawala
administrator	msimamizi
admirable	admirable
admiral	admiral
admiralty	admiralty
admiration	sifa
admire	admire
admired	alivutiwa
admirer	admirer
admiring	admiring
admissibility	kukubalika
admissible	inakubalika
admission	kuingia
admit	kukubali
admittance	kukubali
admitted	alikiri
admitting	kukubali
