Word	de
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Erdferkel
aback	verblüfft
abacus	Abakus
abalone	Abalone
abandon	verlassen
abandoned	verlassen
abandonment	Aufgabe
abashed	beschämt
abate	ablassen
abatement	Minderung
abba	abba
abbey	Abtei
abbot	NO TRANSLATION
abbreviate	abkürzen
abbreviation	Abkürzung
abdomen	Abdomen
abdominal	Bauchmuskel
abduct	entführen
abduction	Entführung
aberrant	abwegig
aberration	Abweichung
abeyance	schwebend
abhor	verabscheuen
abhorrence	Abscheu
abhorrent	abscheulich
abide	bleib
abiding	bleibend
ability	Fähigkeit
abject	erbärmlich
ablation	Ablation
ablaze	in Flammen
able	fähig
abnormal	abnormal
abnormality	Anomalie
aboard	an Bord
abode	Aufenthalt
abolish	abschaffen
abolition	Abschaffung
abominable	abscheulich
abominate	verabscheuen
abomination	Gräuel
aboriginal	Ureinwohner
abort	abbrechen
abortion	Abtreibung
abortive	fehlgeschlagen
abound	im Überfluss
abovementioned	oben erwähnt
abracadabra	Abrakadabra
abrasion	Abrieb
abrasive	Schleifmittel
abreast	nebeneinander
abroad	im Ausland
abrogate	aufheben
abrupt	abrupt
abruptly	plötzlich
abscess	Abszess
absence	Abwesenheit
absent	abwesend
absentee	Abwesenheit
absenteeism	Fehlzeiten
absinthe	Absinth
absolute	absolut
absolution	Absolution
absolve	entbinden
absorb	absorbieren
absorbed	absorbiert
absorbent	absorbierend
absorbing	absorbierend
absorption	Absorption
abstain	verzichten
abstention	Enthaltung
abstinence	Abstinenz
abstract	abstrakt
abstraction	Abstraktion
absurd	absurd
absurdity	Absurdität
abundance	Fülle
abundant	reichlich
abuse	Missbrauch
abused	missbraucht
abusive	missbräuchlich
abutment	Widerlager
aby	NO TRANSLATION
abysmal	miserabel
abyss	Abgrund
academic	akademisch
academy	Akademie
accede	beitreten
accelerant	Beschleuniger
accelerate	beschleunigen
accelerated	beschleunigt
acceleration	Beschleunigung
accelerator	Beschleuniger
accent	Akzent
accentuate	akzentuieren
accept	akzeptieren
acceptable	akzeptabel
acceptance	Annahme
acceptances	Annahmen
access	Zugriff
accessible	zugänglich
accession	Beitritt
accessory	Zubehörteil
accident	Unfall
accidental	zufällig
accidentally	zufällig
acclaim	Anerkennung
accolade	Akkolade
accommodate	unterbringen
accommodation	Unterkunft
accompaniment	Begleitung
accompany	begleiten
accompanying	Begleitet
accomplice	Komplize
accomplish	erreichen
accomplished	erreicht
accomplishment	Leistung
accord	Übereinstimmung
accordance	Übereinstimmung
accordion	Akkordeon
account	Konto
accountability	Rechenschaftspflicht
accountable	verantwortlich
accountant	Buchhalter
accounting	Buchhaltung
accounts	Konten
accredited	akkreditiert
accretion	Akkretion
accrue	anfallen
accueil	NO TRANSLATION
accumulate	akkumulieren
accumulation	Akkumulation
accuracy	Richtigkeit
accurate	genau
accursed	verflucht
accusation	Anklage
accusative	Akkusativ
accuse	beschuldigen
accused	Angeklagte
accuser	Ankläger
accusing	beschuldigt
accustomed	gewohnt
ace	As
acetic	Essigsäure
acetylene	Acetylen
ache	schmerzen
achieve	leisten
achieved	erreicht
achievement	Leistung
aching	Schmerz
achy	schmerzhaft
acid	Acid
acidity	Säure
acknowledge	bestätigen
acknowledged	anerkannt
acknowledgement	Wissen
acknowledgment	Wissen
acme	Gipfel
acne	Akne
acorn	Eichel
acoustic	akustisch
acoustics	Akustik
acquaint	bekannt machen
acquaintance	Bekanntschaft
acquainted	bekannt
acquiescence	Einwilligung
acquire	erwerben
acquiring	erwerben
acquisition	Erwerb
acquisitions	Akquisitionen
acquit	freisprechen
acquittal	Freispruch
acre	Acre
acreage	Anbaufläche
acres	Morgen
acrobat	Akrobat
acrylic	Acryl-
act	Handlung
acting	Schauspielkunst
action	Aktion
action figure	Action Figur
actionable	umsetzbar
activate	aktivieren Sie
activation	Aktivierung
active	aktiv
activist	Aktivist
activity	Aktivität
actor	Darsteller
actress	Darstellerin
actual	tatsächlich
actuality	Wirklichkeit
actuary	Aktuar
acuity	Schärfe
acumen	Scharfsinn
acupuncture	Akupunktur
acute	akut
acutely	akut
ad	Anzeige
adage	Sprichwort
adamant	unnachgiebig
adapt	anpassen
adaptable	anpassungsfähig
adaptation	Anpassung
add	hinzufügen
added	hinzugefügt
addendum	Nachtrag
adder	Addierer
addict	Süchtiger
addicted	süchtig
addiction	Sucht
addictive	süchtig machend
addition	Zusatz
additional	zusätzlich
additive	Zusatzstoff
address	Adresse
addressee	Adressat
addresses	Adressen
adept	geschickt
adequacy	Angemessenheit
adequate	angemessene
adhere	haften
adherence	Adhärenz
adherent	Anhänger
adhering	haftend
adhesion	Adhäsion
adhesive	Klebstoff
adieu	Adieu
adipose	fettleibig
adjacency	Nachbarschaft
adjacent	benachbart
adjective	Adjektiv
adjoining	angrenzend
adjourn	vertagen
adjournment	Unterbrechung
adjudicate	entscheiden
adjudication	Entscheidung
adjunct	Zusatz
adjust	einstellen
adjuster	Einsteller
adjustment	Einstellung
adjuvant	adjuvant
admin	Administrator
administer	verwalten
administration	Verwaltung
administrative	administrativ
