Word	mk
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	абакус
abalone	abalone
abandon	напушти
abandoned	напуштени
abandonment	напуштање
abashed	порасна
abate	пониски
abatement	намалување
abba	abba
abbey	опатија
abbot	NO TRANSLATION
abbreviate	скратена
abbreviation	кратенка
abdomen	абдомен
abdominal	абдоминална
abduct	киднапирање
abduction	киднапирање
aberrant	несоодветно
aberration	аберација
abeyance	непослушност
abhor	одвратам
abhorrence	одвратност
abhorrent	одвратни
abide	се придржуваат
abiding	почитувани
ability	способност
abject	абјект
ablation	аблација
ablaze	запали
able	способен
abnormal	абнормални
abnormality	абнормалност
aboard	во странство
abode	живеам
abolish	укинување
abolition	укинување
abominable	одвратни
abominate	абонираат
abomination	мерзост
aboriginal	абориџини
abort	прекине
abortion	абортус
abortive	неуспешен
abound	изобилува
abovementioned	погоре
abracadabra	abracadabra
abrasion	абразија
abrasive	абразивни
abreast	чекор напред
abroad	во странство
abrogate	укинување
abrupt	нагло
abruptly	нагло
abscess	апсцес
absence	отсуство
absent	отсутен
absentee	отсутен
absenteeism	отсуство од работа
absinthe	absinthe
absolute	апсолутно
absolution	отпуштање
absolve	ослободи
absorb	апсорбира
absorbed	апсорбира
absorbent	абсорбента
absorbing	апсорбира
absorption	апсорпција
abstain	апстинираат
abstention	воздржаност
abstinence	апстиненција
abstract	апстракт
abstraction	апстракција
absurd	апсурдно
absurdity	апсурдност
abundance	изобилство
abundant	изобилство
abuse	злоупотреба
abused	злоупотребувани
abusive	навредлив
abutment	абатмент
aby	NO TRANSLATION
abysmal	бездна
abyss	бездната
academic	академски
academy	академија
accede	пристапи
accelerant	забрзувач
accelerate	забрза
accelerated	забрзана
acceleration	забрзување
accelerator	акцелератор
accent	акцент
accentuate	истакнуваат
accept	прифати
acceptable	прифатливо
acceptance	прифаќање
acceptances	прифаќања
access	пристап
accessible	достапни
accession	пристапување
accessory	додаток
accident	несреќа
accidental	случајно
accidentally	случајно
acclaim	признание
accolade	признание
accommodate	се приспособат
accommodation	сместување
accompaniment	придружба
accompany	придружува
accompanying	придружува
accomplice	соучесник
accomplish	оствари
accomplished	остварен
accomplishment	достигнување
accord	договор
accordance	согласност
accordion	хармоника
account	сметка
accountability	одговорност
accountable	одговорна
accountant	сметководител
accounting	сметководство
accounts	сметки
accredited	акредитирани
accretion	аккреција
accrue	натрупвам
accueil	NO TRANSLATION
accumulate	акумулира
accumulation	акумулација
accuracy	точност
accurate	точен
accursed	проклети
accusation	обвинение
accusative	акузативен
accuse	обвини
accused	обвинети
accuser	обвинител
accusing	обвинувајќи
accustomed	навикнати
ace	кец
acetic	оцет
acetylene	ацетилен
ache	болка
achieve	постигне
achieved	постигне
achievement	достигнување
aching	болки
achy	achy
acid	киселина
acidity	киселост
acknowledge	признае
acknowledged	признати
acknowledgement	признание
acknowledgment	признание
acme	acme
acne	акни
acorn	acorn
acoustic	акустичен
acoustics	акустика
acquaint	запознајте
acquaintance	познаник
acquainted	запознаени
acquiescence	согласување
acquire	стекне
acquiring	стекнување
acquisition	стекнување
acquisitions	превземања
acquit	ослободи
acquittal	ослободување
acre	акр
acreage	површина
acres	хектари
acrobat	акробат
acrylic	акрилик
act	чин
acting	дејствување
action	акција
action figure	акција фигура
actionable	актуелен
activate	активирај
activation	активирање
active	активен
activist	активист
activity	активност
actor	актер
actress	актерка
actual	вистински
actuality	актуелност
actuary	актуар
acuity	острина
acumen	acumen
acupuncture	акупунктура
acute	акутен
acutely	акутно
ad	реклама
adage	поговорка
adamant	непопустлив
adapt	адаптирај се
adaptable	адаптибилен
adaptation	адаптација
add	додадете
added	додадена
addendum	додаток
adder	седерот
addict	зависник
addicted	зависник
addiction	зависност
addictive	зависност
addition	Покрај тоа
additional	дополнителни
additive	додаток
address	адреса
addressee	примач
addresses	адреси
adept	адепт
adequacy	адекватноста
adequate	соодветен
adhere	се придржуваат
adherence	придржување
adherent	приврзаник
adhering	придржувајќи се
adhesion	адхезија
adhesive	лепило
adieu	adieu
adipose	маснотии
adjacency	соседство
adjacent	соседните
adjective	придавка
adjoining	соседство
adjourn	одложување
adjournment	одложување
adjudicate	судијата
adjudication	пресуда
adjunct	додаток
adjust	прилагоди
adjuster	регулатор
adjustment	прилагодување
adjuvant	адјувантна
admin	admin
administer	администрирај
administration	администрација
administrative	административно
administrator	администратор
admirable	восхитувачки
admiral	адмирал
admiralty	адмиралитет
admiration	восхит
admire	му се восхитувам
admired	восхитуван
admirer	обожавател
admiring	се восхитував
admissibility	допуштеност
admissible	допуштена
admission	прием
admit	признаам
admittance	прием
admitted	призна
admitting	признавајќи
admixture	мешавина
admonition	опомена
ado	Адо
adobe	adobe
adolescence	адолесценција
adolescent	адолесцент
adopt	прифати
adoption	посвојување
adoptive	посвојувач
adorable	симпатична
adoration	обожување
adore	обожавам
adoring	обожавајќи се
adorn	украсен
adornment	украсување
adrenalin	адреналин
adrenaline	адреналин
adrift	бегам
adult	возрасен
adulterated	развратен
adulterer	прељубник
adultery	прељуба
adulthood	зрелоста
advance	однапред
