Word	bn
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	পশ্চাতে
abacus	গণনা-যন্ত্রবিশেষ
abalone	ঝিনুক
abandon	বর্জিত করা
abandoned	পরিত্যক্ত
abandonment	বিসর্জন
abashed	লজ্জিত
abate	ক্ষীণ করা
abatement	উপশম
abba	Abba
abbey	মঠ
abbot	মঠাধ্যক্ষ
abbreviate	খাট করা
abbreviation	সংক্ষেপ
abdomen	উদর
abdominal	উদরিক
abduct	অপহরণ করা
abduction	অপহরণ
aberrant	নীতিভ্রষ্ট
aberration	স্খলন
abeyance	মুলতবি অবস্থা
abhor	ঘৃণাসহকারে পরিহার করা
abhorrence	ন্যক্কার
abhorrent	জঘন্য
abide	মেনে চলা
abiding	স্থায়ী
ability	ক্ষমতা
abject	পতিত
ablation	অপসারণ
ablaze	বহ্নিমান
able	সক্ষম
abnormal	অস্বাভাবিক
abnormality	অস্বাভাবিকতা
aboard	জাহাজের উপরে
abode	গৃহ
abolish	উঠান
abolition	রদ
abominable	জঘন্য
abominate	ঘৃণায় পরিহার করা
abomination	কদর্যতা
aboriginal	আদিবাসী
abort	গর্ভপাত করান
abortion	গর্ভপাত
abortive	ব্যর্থ
abound	উড়া
abovementioned	উপরে উল্লেখিত
abracadabra	অবোধ্য বুলি
abrasion	ঘর্ষণ
abrasive	ঘষিয়া তুলিয়া ফেলিতে সক্ষম
abreast	পাশাপাশি
abroad	বিদেশে
abrogate	উচ্ছেদ করা
abrupt	আকস্মিক
abruptly	হঠাৎ
abscess	ফোড়া
absence	অনুপস্থিতি
absent	অনুপস্থিত
absentee	অনুপস্থিত ব্যক্তি
absenteeism	কর্মক্ষেত্রাদিতে অনুপসি্থত থাকার অভ্যাস
absinthe	বৃক্ষবিশেষ
absolute	পরম
absolution	আত্মসমর্থন
absolve	মুক্তিদান করা
absorb	শোষণ করা
absorbed	শোষিত
absorbent	বিশোষক
absorbing	শোষক
absorption	শোষণ
abstain	বিরত থাকা
abstention	নিবৃত্তি
abstinence	পরিহার
abstract	বিমূর্ত
abstraction	বিমূর্তন
absurd	কিম্ভুতকিমাকার
absurdity	অর্থহীনতা
abundance	প্রাচুর্য
abundant	প্রচুর
abuse	অপব্যবহার
abused	নির্যাতিত
abusive	অবমাননাকর
abutment	মোড়
aby	NO TRANSLATION
abysmal	অতল
abyss	রসাতল
academic	কেতাবি
academy	শিক্ষায়তন
accede	গদিলাভ করা
accelerant	accelerant
accelerate	দ্রুততর করা
accelerated	দ্রুততর
acceleration	ত্বরণ
accelerator	বেগবর্ধক ব্যক্তি
accent	স্বরাঘাত
accentuate	উচ্চারণ করা
accept	গ্রহণ করা
acceptable	গ্রহণযোগ্য
acceptance	গ্রহণযোগ্যতা
acceptances	স্বীকৃতি
access	প্রবেশ
accessible	প্রবেশযোগ্য
accession	সংযোজন
accessory	আনুষঙ্গিক
accident	দুর্ঘটনা
accidental	আপতিক
accidentally	ঘটনাক্রমে
acclaim	জয়ধ্বনি
accolade	প্রশংসা
accommodate	মিটমাট করা
accommodation	বাসস্থান
accompaniment	সঙ্গত
accompany	সহগমন করা
accompanying	সহচারী
accomplice	যোগদানকারী
accomplish	সাধা
accomplished	সম্পন্ন
accomplishment	সংসাধন
accord	সঙ্গতি
accordance	অনুযায়ী
accordion	বাদ্যযন্ত্রবিশেষ
account	হিসাব
accountability	দায়িত্ব
accountable	দায়ী
accountant	হিসাবরক্ষক
accounting	হিসাবরক্ষণ
accounts	অ্যাকাউন্ট
accredited	নিসৃষ্ঠ
accretion	পুষ্টি
accrue	জমা
accueil	NO TRANSLATION
accumulate	স্তূপাকার করা
accumulation	আহরণ
accuracy	সঠিকতা
accurate	সঠিক
accursed	অভিশপ্ত
accusation	অভিযোগ
accusative	দ্বিতীয়া-বিভক্তি
accuse	অভিযুক্ত করা
accused	অভিযুক্ত
accuser	ফরিয়াদী
accusing	অভিযুক্ত করলেও
accustomed	অভ্যস্ত
ace	টেক্কা
acetic	সির্কাম্লযুক্ত
acetylene	উজ্জ্বল শিখাযুক্ত বর্ণহীন গ্যাসবিশেষ
ache	ব্যাথা
achieve	অর্জন করা
achieved	অর্জন
achievement	কৃতিত্ব
aching	ধরা
achy	Achy
acid	অ্যাসিড
acidity	অম্লতা
acknowledge	স্বীকার করা
acknowledged	স্বীকৃত
acknowledgement	স্বীকৃতি
acknowledgment	স্বীকৃতি
acme	চূড়া
acne	ব্রণ
acorn	ত্তক্ বৃক্ষের ফল
acoustic	শাব্দ
acoustics	শ্রবণশক্তি
acquaint	পরিচিত করান
acquaintance	জানাশোনা
acquainted	পরিচিত
acquiescence	মৌনসন্মতি
acquire	অর্জন
acquiring	অর্জন
acquisition	অর্জন
acquisitions	অধিগ্রহণ
acquit	নির্দোষ প্রমাণ করা
acquittal	বেকসুর খালাস
acre	ভূসম্পত্তি
acreage	মোট খেতের পরিমাণ
acres	জমি
acrobat	মল্ল
acrylic	এক্রাইলিক
act	আইন
acting	অভিনয়
action	কর্ম
action figure	কর্ম চিত্র
actionable	অভিযোগ্য
