Word	pt
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Porco-da-terra
aback	surpresa
abacus	ábaco
abalone	abalone
abandon	abandono
abandoned	abandonado
abandonment	abandono
abashed	embaraçado
abate	diminuir
abatement	redução
abba	abba
abbey	Mosteiro
abbot	NO TRANSLATION
abbreviate	abreviar
abbreviation	abreviação
abdomen	abdômen
abdominal	abdominal
abduct	raptar
abduction	rapto
aberrant	aberrante
aberration	aberração
abeyance	suspensão
abhor	abominar
abhorrence	aversão
abhorrent	repugnante
abide	respeitar
abiding	permanência
ability	habilidade
abject	abjeto
ablation	ablação
ablaze	em chamas
able	capaz
abnormal	anormal
abnormality	anormalidade
aboard	a bordo
abode	morada
abolish	abolir
abolition	abolição
abominable	abominável
abominate	abominar
abomination	abominação
aboriginal	aborígene
abort	abortar
abortion	aborto
abortive	abortivo
abound	abundam
abovementioned	mencionado acima
abracadabra	abracadabra
abrasion	abrasão
abrasive	abrasivo
abreast	a par
abroad	no exterior
abrogate	revogar
abrupt	abrupto
abruptly	abruptamente
abscess	abscesso
absence	ausência
absent	ausente
absentee	ausente
absenteeism	absentismo
absinthe	absinto
absolute	absoluto
absolution	absolvição
absolve	absolver
absorb	absorver
absorbed	absorvido
absorbent	absorvente
absorbing	absorvente
absorption	absorção
abstain	abster-se
abstention	abstenção
abstinence	abstinência
abstract	abstrato
abstraction	abstração
absurd	absurdo
absurdity	absurdo
abundance	abundância
abundant	abundante
abuse	Abuso
abused	abusado
abusive	abusivo
abutment	pilar
aby	NO TRANSLATION
abysmal	abismal
abyss	abismo
academic	académico
academy	Academia
accede	aderir
accelerant	acelerador
accelerate	acelerar
accelerated	acelerado
acceleration	aceleração
accelerator	acelerador
accent	sotaque
accentuate	acentuar
accept	aceitar
acceptable	aceitável
acceptance	aceitação
acceptances	aceitações
access	Acesso
accessible	acessível
accession	adesão
accessory	acessório
accident	acidente
accidental	acidental
accidentally	acidentalmente
acclaim	aclamação
accolade	elogio
accommodate	acomodar
accommodation	alojamento
accompaniment	acompanhamento
accompany	acompanhar
accompanying	acompanhando
accomplice	cúmplice
accomplish	realizar
accomplished	realizado
accomplishment	realização
accord	acordo
accordance	conformidade
accordion	acordeão
account	conta
accountability	prestação de contas
accountable	responsável
accountant	contador
accounting	contabilidade
accounts	contas
accredited	acreditado
accretion	acreção
accrue	acumular
accueil	NO TRANSLATION
accumulate	acumular
accumulation	acumulação
accuracy	precisão
accurate	preciso
accursed	amaldiçoado
accusation	acusação
accusative	acusativo
accuse	acusar
accused	acusado
accuser	acusador
accusing	acusando
accustomed	acostumado
ace	ás
acetic	acético
acetylene	acetileno
ache	dor
achieve	conquistar
achieved	alcançado
achievement	realização
aching	doendo
achy	doloroso
acid	ácido
acidity	acidez
acknowledge	reconhecer
acknowledged	reconhecido
acknowledgement	reconhecimento
acknowledgment	reconhecimento
acme	acme
acne	acne
acorn	bolota
acoustic	acústico
acoustics	acústica
acquaint	familiarizar
acquaintance	conhecido
acquainted	familiarizado
acquiescence	aquiescência
acquire	adquirir
acquiring	aquisição
acquisition	aquisição
acquisitions	aquisições
acquit	absolver
acquittal	absolvição
acre	Acre
acreage	área cultivada
acres	acres
acrobat	acrobata
acrylic	acrílico
act	Aja
acting	agindo
action	açao
action figure	figura de ação
actionable	acionável
activate	ativar
activation	ativação
active	ativo
activist	ativista
activity	atividade
actor	ator
actress	atriz
actual	real
actuality	realidade
actuary	atuário
acuity	acuidade
acumen	perspicácia
acupuncture	acupuntura
acute	agudo
acutely	agudamente
ad	de Anúncios
adage	adágio
adamant	diamante
adapt	adaptar
adaptable	adaptável
adaptation	adaptação
add	adicionar
added	adicionado
addendum	termo aditivo
adder	adicionador
addict	viciado
addicted	viciado
addiction	vício
addictive	viciante
addition	Adição
additional	adicional
additive	aditivo
address	endereço
addressee	destinatário
addresses	Endereços
adept	adepto
adequacy	adequação
adequate	adequado
adhere	aderir
adherence	aderência
adherent	aderente
adhering	aderindo
adhesion	adesão
adhesive	adesivo
adieu	adeus
adipose	adiposo
adjacency	adjacência
adjacent	adjacente
adjective	adjetivo
adjoining	adjacente
adjourn	adiar
adjournment	adiamento
adjudicate	julgar
adjudication	adjudicação
adjunct	adjunto
adjust	ajustar
adjuster	ajustador
adjustment	ajustamento
adjuvant	adjuvante
admin	admin
administer	administrador
administration	administração
administrative	administrativo
administrator	administrador
admirable	admirável
admiral	almirante
admiralty	almirantado
admiration	admiração
admire	admirar
admired	admirado
admirer	admirador
admiring	admirando
admissibility	admissibilidade
admissible	admissível
admission	admissão
admit	Admitem
admittance	admissão
admitted	admitido
admitting	admitir
admixture	mistura
admonition	admoestação
ado	delirante
adobe	adobe
adolescence	adolescência
adolescent	adolescente
adopt	adotar
adoption	adoção
adoptive	adotivo
adorable	adorável
adoration	adoração
adore	adoro
adoring	adorador
adorn	enfeitar
adornment	adorno
adrenalin	adrenalina
adrenaline	adrenalina
adrift	à deriva
adult	adulto
adulterated	adulterado
adulterer	adúltero
adultery	adultério
adulthood	vida adulta
advance	avançar
advanced	avançado
advancement	avanço
